[LXX | EL | OT | Judith | Chapter 6 | Verse 1] Καὶ ὡς κατέπαυσεν ὁ θόρυβος τῶν ἀνδρῶν τῶν κύκλῳ τῆς συνεδρείας, καὶ εἶπεν Ὀλοφέρνης ὁ ἀρχιστράτηγος δυνάμεως Ἀσσοὺρ πρὸς Ἀχιὼρ ἐναντίον παντὸς τοῦ δήμου ἀλλοφύλων, καὶ πρὸς πάντας υἱοὺς Μωὰβ,
[LXX | EL | OT | Judith | Chapter 6 | Verse 2] καὶ τίς εἶ σὺ, Ἀχιὼρ, καὶ οἱ μισθωτοὶ τοῦ Ἐφραὶμ, ὅτι προεφήτευσας ἐν ἡμῖν καθὼς σήμερον, καὶ εἶπας τὸ γένος Ἰσραὴλ μὴ πολεμῆσαι, ὅτι ὁ Θεὸς αὐτῶν ὑπερασπιεῖ αὐτῶν; καὶ τίς ὁ Θεὸς εἰ μὴ Ναβουχοδονόσορ;
[LXX | EL | OT | Judith | Chapter 6 | Verse 3] Οὗτος ἀποστελεῖ τὸ κράτος αὐτοῦ, καὶ ἐξολοθρεύσει αὐτοὺς ἀπὸ προσώπου τῆς γῆς, καὶ οὐ ῥύσεται αὐτοὺς ὁ Θεὸς αὐτῶν· ἀλλʼ ἡμεῖς οἱ δοῦλοι αὐτοῦ πατάξομεν αὐτοὺς ὡς ἄνθρωπον ἕνα, καὶ οὐχ ὑποστήσονται τὸ κράτος τῶν ἵππων ἡμῶν.
[LXX | EL | OT | Judith | Chapter 6 | Verse 4] Κατακαύσομεν γὰρ αὐτοὺς ἐν αὐτοῖς, καὶ τὰ ὄρη αὐτῶν μεθυσθήσεται ἐν τῷ αἵματι αὐτῶν, καὶ τὰ πεδία αὐτῶν πληρωθήσεται νεκρῶν αὐτῶν· καὶ οὐκ ἀντιστήσεται τὸ ἴχνος τῶν ποδῶν αὐτῶν κατὰ πρόσωπον ἡμῶν, ἀλλὰ ἀπωλείᾳ ἀπολοῦνται, λάλει ὁ βασιλεὺς Ναβουχοδονόσορ ὁ κύριος πάσης τῆς γῆς· εἶπε γὰρ, οὐ ματαιωθήσεται τὰ ῥήματα τῶν λόγων αὐτοῦ.
[LXX | EL | OT | Judith | Chapter 6 | Verse 5] Σὺ δὲ Ἀχιὼρ μισθωτὲ τοῦ Ἀμμὼν, ὃς ἐλάλησας τοὺς λόγους τούτους ἐν ἡμέρᾳ ἀδικίας σου, οὐκ ὄψει ἔτι τὸ πρόσωπόν μου ἀπὸ τῆς ἡμέρας ταύτης, ἕως οὗ ἐκδικήσω τὸ γένος τῶν ἐκ Αἰγύπτου.
[LXX | EL | OT | Judith | Chapter 6 | Verse 6] Καὶ τότε διελεύσεται ὁ σίδηρος τῆς στρατιᾶς μου, καὶ ὁ λαὸς τῶν θεραπόντων μου τὰς πλευράς σου, καὶ πεσῇ ἐν τοῖς τραυματίαις αὐτῶν, ὅταν ἐπιστρέψω.
[LXX | EL | OT | Judith | Chapter 6 | Verse 7] Καὶ ἀποκαταστήσουσί σε οἱ δοῦλοί μου εἰς τὴν ὀρεινὴν, καὶ θήσουσί σε ἐν μιᾷ τῶν πόλεων τῶν ἀναβάσεων,
[LXX | EL | OT | Judith | Chapter 6 | Verse 8] καὶ οὐκ ἀπολῇ ἕως οὗ ἐξολοθρευθῇς μετʼ αὐτῶν.
[LXX | EL | OT | Judith | Chapter 6 | Verse 9] Καὶ εἴπερ ἐλπίζεις τῇ καρδίᾳ σον ὅτι οὐ λημφθήσονται, μὴ συμπεσέτω σου τὸ πρόσωπον· ἐλάλησα, καὶ οὐδὲν διαπεσεῖται τῶν ῥημάτων μου.
[LXX | EL | OT | Judith | Chapter 6 | Verse 10] Καὶ προσέταξεν Ὀλοφέρνης τοῖς δούλοις αὐτοῦ, οἳ ἦσαν παρεστηκότες ἐν τῇ σκηνῇ αὐτοῦ, συλλαβεῖν τὸν Ἀχιὼρ, καὶ ἀποκαταστῆσαι αὐτὸν εἰς Βετυλούα, καὶ πάραδοῦναὶ εἰς χεῖρας υἱῶν Ἰσραήλ.
[LXX | EL | OT | Judith | Chapter 6 | Verse 11] Καὶ συνέλαβον αὐτὸν οἱ δοῦλοι αὐτοῦ, καὶ ἤγαγον αὐτὸν ἔξω τῆς παρεμβολῆς εἰς τὸ πεδίον, καὶ ἀπῇραν ἐκ μέσου τῆς πεδινῆς εἰς τὴν ὀρεινὴν, καὶ παρεγένοντο ἐπὶ τὰς πηγὰς αἳ ἦσαν ὑποκάτω Βετυλούα.
