[LXX | EL | OT | Judith | Chapter 14 | Verse 1] Καὶ εἶπε πρὸς αὐτοὺς Ἰουδὶθ, ἀκούσατε δή μου, ἀδελφοὶ, καὶ λαβόντες τὴν κεφαλὴν ταύτην, κρεμάσατε αὐτὴν ἐπὶ τῆς ἐπάλξεως τοῦ τείχους ὑμῶν.
[LXX | EL | OT | Judith | Chapter 14 | Verse 2] Καὶ ἔσται ἡνίκα ἂν διαφαύσῃ ὁ ὄρθρος, καὶ ἐξέλθῃ ὁ ἥλιος ἐπὶ τὴν γῆν, ἀναλήψεσθε ἕκαστος τὰ σκεύη τὰ πολεμικὰ ὑμῶν, καὶ ἐξελεύσεσθε πᾶς ἀνὴρ ἰσχύων ἔξω τῆς πόλεως, καὶ δώσετε ἀρχηγὸν εἰς αὐτοὺς, ὡς καταβαίνοντες ἐπὶ τὸ πεδίον εἰς τὴν προφυλακὴν υἱῶν Ἀσσοὺρ, καὶ οὐ καταβήσεσθε.
[LXX | EL | OT | Judith | Chapter 14 | Verse 3] Καὶ ἀναλαβόντες οὗτοι τὰς πανοπλίας αὐτῶν, πορεύσονται εἰς τὴν παρεμβολὴν αὐτῶν, καὶ ἐγεροῦσι τοὺς στρατηγοὺς τῆς δυνάμεως Ἀσσοὺρ, καὶ συνδραμοῦνται ἐπὶ τὴν σκηνὴν Ὀλοφέρνου, καὶ οὐχ εὑρήσουσιν αὐτὸν, καὶ ἐπιπεσεῖται ἐπʼ αὐτοὺς φόβος, καὶ φεύξονται ἀπὸ προσώπου ὑμῶν.
[LXX | EL | OT | Judith | Chapter 14 | Verse 4] Καὶ ἐπακολουθήσαντες ὑμεῖς, καὶ πάντες οἱ κατοικοῦντες πᾶν ὅριον Ἰσραὴλ, καταστρώσατε αὐτοὺς ἐν ταῖς ὁδοῖς αὐτῶν.
[LXX | EL | OT | Judith | Chapter 14 | Verse 5] Πρὸ δὲ τοῦ ποιῆσαι ταῦτα, καλέσατέ μοι Ἀχιὼρ τὸν Ἀμμανίτην, ἵνα ἰδὼν ἐπιγνῷ τὸν ἐκφαυλίσαντα τὸν οἶκον τοῦ Ἰσραὴλ, καὶ αὐτὸν ὡς εἰς θάνατον ἀποστείλαντα εἰς ἡμᾶς.
[LXX | EL | OT | Judith | Chapter 14 | Verse 6] Καὶ ἐκάλεσαν τὸν Ἀχιὼρ ἐκ τοῦ οἴκου Ὀζία· ὡς δὲ ἦλθε, καὶ εἶδε τὴν κεφαλὴν Ὀλοφέρνου ἐν χειρὶ ἀνδρὸς ἑνὸς ἐν τῇ ἐκκλησίᾳ τοῦ λαοῦ, ἔπεσεν ἐπὶ πρόσωπον, καὶ ἐξελύθη τὸ πνεῦμα αὐτοῦ.
[LXX | EL | OT | Judith | Chapter 14 | Verse 7] Ὡς δὲ ἀνέλαβον αὐτὸν, προσέπεσε τοῖς ποσὶν Ἰουδὶθ, καὶ προσεκύνησε τῷ προσώτῳ αὐτῆς, καὶ εἶπεν, εὐλογημένη σὺ ἐν παντὶ σκηνώματι Ἰούδα, καὶ ἐν παντὶ ἔθνει, οἵτινες ἀκούσαντες τὸ ὄνομά σου ταραχθήσονται.
[LXX | EL | OT | Judith | Chapter 14 | Verse 8] Καὶ νῦν ἀνάγγειλόν μοι ὅσα ἐποίησας ἐν ταῖς ἡμέραις ταύταις· καὶ ἀπήγγειλεν αὐτῷ Ἰουδὶθ ἐν μέσῳ τοῦ λαοῦ πάντα ὅσα ἦν πεποιηκυῖα, ἀφʼ ἧς ἡμέρας ἐξῆλθεν ἕως οὗ ἐλάλει αὐτοῖς.
[LXX | EL | OT | Judith | Chapter 14 | Verse 9] Ὡς δὲ ἐπαύσατο λαλοῦσα, ἠλάλαξεν ὁ λαὸς φωνῇ μεγάλῃ, καὶ ἔδωκε φωνὴν εὐφρόσυνον ἐν τῇ πόλει αὐτῶν.
[LXX | EL | OT | Judith | Chapter 14 | Verse 10] Ἰδὼν δὲ Ἀχιὼρ πάντα ὅσα ἐποίησεν ὁ Θεὸς τοῦ Ἰσραὴλ, ἐπίστευσε τῷ Θεῷ σφόδρα, καὶ περιετέμετο τὴν σάρκα τῆς ἀκροβυστίας αὐτοῦ, καὶ προσετέθη πρὸς τὸν οἶκον Ἰσραὴλ ἕως τῆς ἡμέρας ταύτης.
[LXX | EL | OT | Judith | Chapter 14 | Verse 11] Ἡνίκα δὲ ὁ ὄρθρος ἀνέβη, καὶ ἐκρέμασαν τὴν κεφαλὴν Ὀλοφέρνου ἐκ τοῦ τείχους, καὶ ἀνέλαβε πᾶς ἀνὴρ Ἰσραὴλ τὰ ὅπλα αὐτοῦ, καὶ ἐξήλθοσαν κατὰ σπείρας ἐπὶ τὰς ἀναβάσεις τοῦ ὄρους.
