[LXX | EL | OT | Judith | Chapter 15 | Verse 1] Καὶ ὡς ἤκουσαν οἱ ἐν τοῖς σκηνώμασιν ὄντες, ἐξέστησαν ἐπὶ τὸ γεγονός·
[LXX | EL | OT | Judith | Chapter 15 | Verse 2] καὶ ἐπέπεσεν ἐπʼ αὐτοὺς φόβος καὶ τρόμος, καὶ οὐκ ἦν ἄνθρωπος μένων κατὰ πρόσωπον τοῦ πλησίον ἔτι, ἀλλʼ ἐκχυθέντες ὁμοθυμαδὸν ἔφευγον ἐπὶ πᾶσαν ὁδὸν τοῦ πεδίου καὶ τῆς ὀρεινῆς.
[LXX | EL | OT | Judith | Chapter 15 | Verse 3] Καὶ οἱ παρεμβεβληκότες ἐν τῇ ὀρεινῇ κύκλῳ Βετυλούα καὶ ἐτράπησαν εἰς φυγήν· καὶ τότε οἱ υἱοὶ Ἰσραὴλ πᾶς ἀνὴρ πολεμιστὴς ἐξ αὐτῶν ἐξεχύθησαν ἐπʼ αὐτούς.
[LXX | EL | OT | Judith | Chapter 15 | Verse 4] Καὶ ἀπέστειλεν Ὀζίας εἰς Βαιτομασθαῒμ, καὶ Χωβαῒ, καὶ Χωλὰ, καὶ εἰς πᾶν ὅριον Ἰσραὴλ, τοὺς ἀπαγγέλλοντας ὑπὲρ τῶν συντετελεσμένων, καὶ ἵνα πάντες ἐπεκχυθῶσι τοῖς πολεμίοις εἰς τὴν ἀναίρεσιν αὐτῶν.
[LXX | EL | OT | Judith | Chapter 15 | Verse 5] Ὡς δὲ ἤκουσαν οἱ υἱοὶ Ἰσραὴλ, πάντες ὁμοθυμαδὸν ἐπέπεσον ἐπʼ αὐτοὺς, καὶ ἔκοπτον αὐτοὺς ἕως Χωβά. ὡσαύτως δὲ καὶ οἱ ἐξ Ἱερουσαλὴμ παρεγενήθησαν καὶ ἐκ πάσης τῆς ὀρεινῆς· ἀνήγγειλαν γὰρ αὐτοῖς τὰ γεγονότα τῇ παρεμβολῇ τῶν ἐχθρῶν αὐτῶν· καὶ οἱ ἐν Γαλαὰδ καὶ οἱ ἐν τῇ Γαλιλαίᾳ ὑπερεκέρασαν αὐτοὺς πληγῇ μεγάλῃ, ἕως οὗ παρῆλθον Δαμασκὸν, καὶ τὰ ὅρια αὐτῆς.
[LXX | EL | OT | Judith | Chapter 15 | Verse 6] Οἱ δὲ λοιποὶ οἱ κατοικοῦντες Βετυλούα, ἐπέπεσαν τῇ παρεμβολῇ Ἀσσοὺρ, καὶ ἐπρονόμευσαν αὐτοὺς, καὶ ἐπλούτησαν σφόδρα.
[LXX | EL | OT | Judith | Chapter 15 | Verse 7] Οἱ δὲ υἱοὶ Ἰσραὴλ ἀναστρέψαντες ἀπὸ τῆς κοπῆς, ἐκυρίευσαν τῶν λοιπῶν, καὶ αἱ κῶμαι καὶ ἐπαύλεις ἐν τῇ ὀρείνῃ καὶ πεδινῇ ἐκράτησαν πολλῶν λαφύρων· ἦν γὰρ πλῆθος πολὺ σφόδρα.
[LXX | EL | OT | Judith | Chapter 15 | Verse 8] Καὶ Ἰωακὶμ ὁ ἱερεὺς ὁ μέγας καὶ ἡ γερουσία τῶν υἱῶν Ἰσραὴλ οἱ κατοικοῦντες ἐν Ἱερουσαλὴμ ἦλθον τοῦ θεάσασθαι τὰ ἀγαθὰ ἃ ἐποίησε Κύριος τῷ Ἰσραήλ, καὶ τοῦ ἰδεῖν τὴν Ἰουδὶθ, καὶ λαλῆσαι μετʼ αὐτῆς εἰρήνην.
[LXX | EL | OT | Judith | Chapter 15 | Verse 9] Ὡς δὲ εἰσῆλθον πρὸς αὐτὴν, εὐλόγησαν αὐτὴν πάντες ὁμοθυμαδὸν, καὶ εἶπαν πρὸς αὐτὴν, σὺ ὕψωμα Ἰσραὴλ, σὺ γαυρίαμα μέγα τοῦ Ἰσραὴλ, σὺ καύχημα μέγα τοῦ γένους ἡμῶν.
[LXX | EL | OT | Judith | Chapter 15 | Verse 10] Ἐποίησας πάντα ταῦτα ἐν χειρί σου, ἐποίησας τὰ ἀγαθὰ μετὰ Ἰσραήλ· καὶ εὐδοκήσαι ἐπʼ αὐτοῖς ὁ Θεός· εὐλογημένη γίνου παρὰ τῷ παντοκράτορι Κυρίῳ εἰς τὸν αἰῶνα χρόνον· καὶ εἶπε πᾶς ὁ λαὸς, γένοιτο.
[LXX | EL | OT | Judith | Chapter 15 | Verse 11] Καὶ ἐλαφύρευσε πᾶς ὁ λαὸς τὴν παρεμβολὴν ἐφʼ ἡμέρας τριάκοντα, καὶ ἔδωκαν τῇ Ἰουδὶθ τὴν σκηνὴν Ὀλοφέρνου, καὶ πάντα τὰ ἀργυρώματα, καὶ τὰς κλίνας καὶ τὰ ὅλκια· καὶ πάντα τὰ σκευάσματα αὐτοῦ· καὶ λαβοῦσα αὕτη ἐπέθηκεν ἐπὶ τὴν ἡμίονον αὐτῆς, καὶ ἔζευξε τὰς ἁμάξας αὐτῆς, καὶ ἐσώρευσεν αὐτὰ ἐπʼ αὐτῶν.
