[LXX | EL | OT | Judith | Chapter 9 | Verse 1] Ἰουδὶθ δὲ ἔπεσεν ἐπὶ πρόσωπον, καὶ ἐπέθετο σποδὸν ἐπὶ τὴν κεφαλὴν αὐτῆς, καὶ ἐγύμνωσεν ὃν ἐνεδιδύσκετο σάκκον· καὶ ἦν ἄρτι προσφερόμενον ἐν Ἱερουσαλὴμ εἰς τὸν οἶκον τοῦ Θεοῦ τὸ θυμίαμα τῆς ἑσπέρας ἐκείνης· καὶ ἐβόησε φωνῇ μεγάλῃ Ἰουδὶθ πρὸς Κύριον, καὶ εἶπε,
[LXX | EL | OT | Judith | Chapter 9 | Verse 2] κύριε ὁ Θεὸς τοῦ πατρός μου Συμεὼν, ᾧ ἔδωκας ἐν χειρὶ ῥομφαίαν εἰς ἐκδίκησιν ἀλλογενῶν, οἳ ἔλυσαν μήτραν παρθένου εἰς μίασμα, καὶ ἐγύμνωσαν μηρὸν εἰς αἰσχύνην, καὶ ἐβεβήλωσαν μήτραν εἰς ὄνειδος· εἶπας γὰρ, οὐχ οὕτως ἔσται, καὶ ἐποίησαν·
[LXX | EL | OT | Judith | Chapter 9 | Verse 3] ἀνθʼ ὧν ἔδωκας ἄρχοντας αὐτῶν εἰς φόνον, καὶ τὴν στρωμνὴν αὐτῶν ἣ ᾐδέσατο τὴν ἀπάτην αὐτῶν, εἰς αἷμα, καὶ ἐπάταξας δούλους ἐπὶ δυνάσταις, καὶ δυνάστας ἐπὶ θρόνους αὐτῶν·
[LXX | EL | OT | Judith | Chapter 9 | Verse 4] καὶ ἔδωκας γυναῖκας αὐτῶν εἰς προνομὴν, καὶ θυγατέρας εἰς αἰχμαλωσίαν, καὶ πάντα τὰ σκῦλα εἰς διαίρεσιν υἱῶν ἠγαπημένων ὑπὸ σοῦ, οἳ καὶ ἐζήλωσαν τὸν ζῆλόν σου, καὶ ἐβδελύξαντο μίασμα αἵματος αὐτῶν, καὶ ἐπεκαλέσαντό σε εἰς βοηθόν· ὁ Θεὸς ὁ Θεὸς ὁ ἐμὸς, καὶ εἰσάκουσον ἐμοῦ τῆς χήρας.
[LXX | EL | OT | Judith | Chapter 9 | Verse 5] Σὺ γὰρ ἐποίησας τὰ πρότερα ἐκείνων, καὶ ἐκεῖνα, καὶ τὰ μετέπειτα, καὶ τὰ νῦν, καὶ τὰ ἐπερχόμενα διενοήθης, καὶ ἐγενήθησαν ἃ ἐνενοήθης,
[LXX | EL | OT | Judith | Chapter 9 | Verse 6] καὶ παρέστησαν ἃ ἐβουλεύσω, καὶ εἶπαν, ἰδοὺ πάρεσμεν· πᾶσαι γὰρ αἱ ὁδοί σου ἕτοιμοι, καὶ ἡ κρίσις σου ἐν προγνώσει.
[LXX | EL | OT | Judith | Chapter 9 | Verse 7] Ἰδοὺ γὰρ Ἀσσύριοι ἐπληθύνθησαν ἐν δυνάμει αὐτῶν, ὑψώθησαν ἐφʼ ἵππῳ καὶ ἀναβάτῃ, ἐγανρίασαν ἐν βραχίονι πεζῶν, ἤλπισαν ἐν ἀσπίδι καὶ ἐν γαισῷ καὶ τόξῳ καὶ σφενδόνῃ, καὶ οὐκ ἔγνωσαν ὅτι σὺ εἶ Κύριος συντρίβων πολέμους· Κύριος ὄνομά σοι.
[LXX | EL | OT | Judith | Chapter 9 | Verse 8] Σὺ ῥάξον αὐτῶν τὴν ἰσχὺν ἐν δυνάμει σου, καὶ κάταξον τὸ κράτος αὐτῶν ἐν τῷ θυμῷ σου· ἐβουλεύσαντο γὰρ βεβηλῶσαι τὰ ἅγιά σου, μιᾶναι τὸ σκήνωμα τῆς καταπαύσεως τοῦ ὀνόματος τῆς δόξης σου, καὶ καταβαλεῖν σιδήρῳ κέρας θυσιαστηρίου σου.
[LXX | EL | OT | Judith | Chapter 9 | Verse 9] Βλέψον εἰς ὑπερηφανίαν αὐτῶν, ἀπόστειλον τὴν ὀργήν σου εἰς κεφαλὰς αὐτῶν· δὸς ἐν χειρί μου τῆς χήρας ὃ διενοήθην κράτος,
[LXX | EL | OT | Judith | Chapter 9 | Verse 10] πάταξον δοῦλον ἐκ χειλέων ἀπάτης μου ἐπʼ ἄρχοντι, καὶ ἄρχοντα ἐπὶ θεράποντι αὐτοῦ, θραῦσον αὐτῶν τὸ ἀνάστεμα ἐν χειρὶ θηλείας.
[LXX | EL | OT | Judith | Chapter 9 | Verse 11] Οὐ γὰρ ἐν πλήθει τὸ κράτος σου, οὐδὲ ἡ δυναστεία σου ἐν ἰσχύουσιν, ἀλλὰ ταπεινῶν εἶ Θεὸς, ἐλαττόνων εἶ βοηθὸς, ἀντιλήπτωρ ἀσθενούντων, ἀπεγνωσμένων σκεπαστὴς, ἀπηλπισμένων σωτήρ.
