[IRV | PA | OT | Exodus | Chapter 16 | Verse 1] ਫੇਰ ਉਨ੍ਹਾਂ ਨੇ ਏਲਿਮ ਤੋਂ ਕੂਚ ਕੀਤਾ ਅਤੇ ਇਸਰਾਏਲੀਆਂ ਦੀ ਸਾਰੀ ਮੰਡਲੀ ਸੀਨ ਦੀ ਉਜਾੜ ਵਿੱਚ ਜਿਹੜੀ ਏਲਿਮ ਅਤੇ ਸੀਨਈ ਦੇ ਵਿਚਕਾਰ ਹੈ ਦੂਜੇ ਮਹੀਨੇ ਦੇ ਪੰਦਰਵੇਂ ਦਿਨ ਉਨ੍ਹਾਂ ਦੇ ਮਿਸਰ ਦੇਸ ਤੋਂ ਨਿੱਕਲਣ ਦੇ ਮਗਰੋਂ ਆਈ
[IRV | PA | OT | Exodus | Chapter 16 | Verse 2] ਅਤੇ ਇਸਰਾਏਲੀਆਂ ਦੀ ਸਾਰੀ ਮੰਡਲੀ ਮੂਸਾ ਅਤੇ ਹਾਰੂਨ ਨਾਲ ਉਜਾੜ ਵਿੱਚ ਕੁੜ੍ਹਨ ਲੱਗੀ।
[IRV | PA | OT | Exodus | Chapter 16 | Verse 3] ਅਤੇ ਇਸਰਾਏਲੀਆਂ ਨੇ ਉਨ੍ਹਾਂ ਨੂੰ ਆਖਿਆ, ਸਾਨੂੰ ਮਿਸਰ ਦੇਸ ਵਿੱਚ ਯਹੋਵਾਹ ਦੇ ਹੱਥੋਂ ਕਿਉਂ ਨਾ ਮਰ ਜਾਣ ਦਿੱਤਾ ਜਦ ਅਸੀਂ ਮਾਸ ਦੀਆਂ ਤੌੜੀਆਂ ਕੋਲ ਬੈਠਦੇ ਅਤੇ ਰੱਜ ਕੇ ਰੋਟੀ ਖਾਂਦੇ ਸੀ? ਪਰ ਤੁਸੀਂ ਸਾਨੂੰ ਇਸ ਉਜਾੜ ਵਿੱਚ ਕੱਢ ਲਿਆਏ ਹੋ ਤਾਂ ਜੋ ਤੁਸੀਂ ਇਸ ਸਾਰੀ ਸਭਾ ਨੂੰ ਭੁੱਖ ਨਾਲ ਮਾਰ ਸੁੱਟੋ।
[IRV | PA | OT | Exodus | Chapter 16 | Verse 4] ਫੇਰ ਯਹੋਵਾਹ ਨੇ ਮੂਸਾ ਨੂੰ ਆਖਿਆ, ਵੇਖੋ ਮੈਂ ਤੁਹਾਡੇ ਲਈ ਅਕਾਸ਼ ਤੋਂ ਰੋਟੀ ਵਰ੍ਹਾਵਾਂਗਾ ਅਤੇ ਪਰਜਾ ਬਾਹਰ ਜਾ ਕੇ ਇੱਕ ਦਿਨ ਦਾ ਭੋਜਨ ਉਸੇ ਦਿਨ ਇਕੱਠਾ ਕਰੇ ਤਾਂ ਜੋ ਮੈਂ ਉਹ ਨੂੰ ਪਰਖਾਂ ਕਿ ਉਹ ਮੇਰੀ ਬਿਵਸਥਾ ਉੱਤੇ ਚੱਲਦੀ ਹੈ ਕਿ ਨਹੀਂ।
[IRV | PA | OT | Exodus | Chapter 16 | Verse 5] ਅਤੇ ਇਸ ਤਰ੍ਹਾਂ ਹੋਵੇਗਾ ਕਿ ਛੇਵੇਂ ਦਿਨ ਜੋ ਉਹ ਲਿਆਉਣਗੇ ਉਹ ਉਸ ਨੂੰ ਤਿਆਰ ਕਰਨ ਅਤੇ ਉਹ ਉਸ ਤੋਂ ਦੁੱਗਣਾ ਹੋਵੇਗਾ ਜਿਹੜਾ ਉਹ ਨਿੱਤ ਇਕੱਠਾ ਕਰਨਗੇ।
[IRV | PA | OT | Exodus | Chapter 16 | Verse 6] ਫੇਰ ਮੂਸਾ ਅਤੇ ਹਾਰੂਨ ਨੇ ਸਾਰੇ ਇਸਰਾਏਲੀਆਂ ਨੂੰ ਆਖਿਆ, ਤੁਸੀਂ ਸ਼ਾਮਾਂ ਨੂੰ ਜਾਣੋਗੇ ਕਿ ਯਹੋਵਾਹ ਹੀ ਤੁਹਾਨੂੰ ਮਿਸਰ ਦੇਸ ਤੋਂ ਬਾਹਰ ਲਿਆਇਆ ਹੈ।
[IRV | PA | OT | Exodus | Chapter 16 | Verse 7] ਤੁਸੀਂ ਸਵੇਰ ਨੂੰ ਯਹੋਵਾਹ ਦਾ ਪਰਤਾਪ ਵੇਖੋਗੇ ਕਿਉਂਕਿ ਜੋ ਕੁਝ ਤੁਸੀਂ ਯਹੋਵਾਹ ਉੱਤੇ ਕੁੜ੍ਹਦੇ ਹੋ ਉਹ ਸੁਣਦਾ ਹੈ ਅਤੇ ਅਸੀਂ ਕੀ ਹਾਂ ਜੋ ਤੁਸੀਂ ਸਾਡੇ ਉੱਤੇ ਕੁੜ੍ਹਦੇ ਹੋ?
[IRV | PA | OT | Exodus | Chapter 16 | Verse 8] ਮੂਸਾ ਨੇ ਆਖਿਆ, ਇਸ ਤਰ੍ਹਾਂ ਹੋਵੇਗਾ ਕਿ ਯਹੋਵਾਹ ਤੁਹਾਨੂੰ ਸ਼ਾਮਾਂ ਨੂੰ ਮਾਸ ਖਾਣ ਨੂੰ ਦੇਵੇਗਾ ਅਤੇ ਸਵੇਰ ਨੂੰ ਰੱਜਵੀਂ ਰੋਟੀ। ਯਹੋਵਾਹ ਤੁਹਾਡਾ ਕੁੜ੍ਹਨਾ ਸੁਣਦਾ ਹੈ ਜਿਹੜਾ ਤੁਸੀਂ ਉਸ ਉੱਤੇ ਕੁੜ੍ਹਦੇ ਹੋ ਪਰ ਅਸੀਂ ਕੀ ਹਾਂ? ਤੁਹਾਡਾ ਕੁੜ੍ਹਨਾ ਸਾਡੇ ਉੱਤੇ ਨਹੀਂ ਸਗੋਂ ਯਹੋਵਾਹ ਉੱਤੇ ਹੈ।
[IRV | PA | OT | Exodus | Chapter 16 | Verse 9] ਤਾਂ ਮੂਸਾ ਨੇ ਹਾਰੂਨ ਨੂੰ ਆਖਿਆ, ਇਸਰਾਏਲੀਆਂ ਦੀ ਸਾਰੀ ਮੰਡਲੀ ਨੂੰ ਆਖ ਕਿ ਯਹੋਵਾਹ ਦੇ ਨੇੜੇ ਆਓ ਕਿਉਂ ਜੋ ਉਸ ਨੇ ਤੁਹਾਡਾ ਕੁੜ੍ਹਨਾ ਸੁਣਿਆ।
[IRV | PA | OT | Exodus | Chapter 16 | Verse 10] ਤਾਂ ਇਸ ਤਰ੍ਹਾਂ ਹੋਇਆ ਕਿ ਜਦ ਹਾਰੂਨ ਇਸਰਾਏਲ ਦੀ ਸਾਰੀ ਮੰਡਲੀ ਨਾਲ ਬੋਲਦਾ ਸੀ ਤਾਂ ਉਨ੍ਹਾਂ ਉਜਾੜ ਵੱਲ ਮੁਹਾਣਾ ਮੋੜਿਆ ਅਤੇ ਵੇਖੋ ਯਹੋਵਾਹ ਦਾ ਪਰਤਾਪ ਬੱਦਲ ਵਿੱਚ ਦਿਖਾਈ ਦਿੱਤਾ।
[IRV | PA | OT | Exodus | Chapter 16 | Verse 11] ਯਹੋਵਾਹ ਮੂਸਾ ਨੂੰ ਇਹ ਬੋਲਿਆ,
