[IRV | PA | OT | Exodus | Chapter 20 | Verse 1] ਫਿਰ ਪਰਮੇਸ਼ੁਰ ਇਹ ਸਾਰੀਆਂ ਗੱਲਾਂ ਬੋਲਿਆ ਕਿ
[IRV | PA | OT | Exodus | Chapter 20 | Verse 2] ਮੈਂ ਯਹੋਵਾਹ ਤੇਰਾ ਪਰਮੇਸ਼ੁਰ ਹਾਂ ਜਿਹੜਾ ਤੈਨੂੰ ਮਿਸਰ ਦੇਸ਼ ਤੋਂ ਅਰਥਾਤ ਗ਼ੁਲਾਮੀ ਦੇ ਘਰ ਤੋਂ ਕੱਢ ਲਿਆਇਆ ਹਾਂ।
[IRV | PA | OT | Exodus | Chapter 20 | Verse 3] ਮੇਰੇ ਸਨਮੁਖ ਤੇਰੇ ਲਈ ਦੂਜੇ ਦੇਵਤੇ ਨਾ ਹੋਣ।
[IRV | PA | OT | Exodus | Chapter 20 | Verse 4] ਤੂੰ ਆਪਣੇ ਲਈ ਘੜ੍ਹੀ ਹੋਈ ਮੂਰਤ ਨਾ ਬਣਾਈਂ, ਨਾ ਕਿਸੇ ਚੀਜ਼ ਦੀ ਸੂਰਤ ਜਿਹੜੀ ਉੱਪਰ ਅਕਾਸ਼ ਵਿੱਚ ਅਤੇ ਜਿਹੜੀ ਹੇਠਾਂ ਧਰਤੀ ਉੱਤੇ ਅਤੇ ਜਿਹੜੀ ਧਰਤੀ ਦੇ ਹੇਠਲੇ ਪਾਣੀਆਂ ਵਿੱਚ ਹੈ।
[IRV | PA | OT | Exodus | Chapter 20 | Verse 5] ਨਾ ਤੂੰ ਉਹਨਾਂ ਦੇ ਅੱਗੇ ਮੱਥਾ ਟੇਕ, ਨਾ ਉਹਨਾਂ ਦੀ ਪੂਜਾ ਕਰ ਕਿਉਂ ਜੋ ਮੈਂ ਯਹੋਵਾਹ ਤੇਰਾ ਪਰਮੇਸ਼ੁਰ ਅਣਖ ਵਾਲਾ ਪਰਮੇਸ਼ੁਰ ਹਾਂ ਜਿਹੜਾ ਪੁਰਖਿਆਂ ਦੀ ਬੁਰਿਆਈ ਨੂੰ ਬੱਚਿਆਂ ਉੱਤੇ ਅਤੇ ਆਪਣੇ ਵੈਰੀਆਂ ਦੀ ਤੀਜੀ ਅਤੇ ਚੌਥੀ ਪੀੜ੍ਹੀ ਉੱਤੇ ਲਿਆਉਂਦਾ ਹਾਂ।
[IRV | PA | OT | Exodus | Chapter 20 | Verse 6] ਪਰ ਹਜ਼ਾਰਾਂ ਉੱਤੇ ਜਿਹੜੇ ਮੇਰੇ ਨਾਲ ਪ੍ਰੇਮ ਰੱਖਦੇ ਅਤੇ ਮੇਰੇ ਹੁਕਮਾਂ ਨੂੰ ਮੰਨਦੇ ਹਨ ਦਯਾ ਕਰਦਾ ਹਾਂ।
[IRV | PA | OT | Exodus | Chapter 20 | Verse 7] ਤੂੰ ਯਹੋਵਾਹ ਆਪਣੇ ਪਰਮੇਸ਼ੁਰ ਦਾ ਨਾਮ ਵਿਅਰਥ ਨਾ ਲੈ ਕਿਉਂਕਿ ਜੋ ਕੋਈ ਉਹ ਦਾ ਨਾਮ ਵਿਅਰਥ ਲੈਂਦਾ ਹੈ ਯਹੋਵਾਹ ਉਸ ਨੂੰ ਨਿਰਦੋਸ਼ ਨਾ ਠਹਿਰਾਵੇਗਾ।
[IRV | PA | OT | Exodus | Chapter 20 | Verse 8] ਤੂੰ ਸਬਤ ਦੇ ਦਿਨ ਨੂੰ ਪਵਿੱਤਰ ਜਾਣ ਕੇ ਯਾਦ ਰੱਖ।
[IRV | PA | OT | Exodus | Chapter 20 | Verse 9] ਛੇ ਦਿਨ ਤੂੰ ਮਿਹਨਤ ਕਰ ਅਤੇ ਆਪਣਾ ਸਾਰਾ ਕੰਮ-ਧੰਦਾ ਕਰ
[IRV | PA | OT | Exodus | Chapter 20 | Verse 10] ਪਰ ਸੱਤਵਾਂ ਦਿਨ ਯਹੋਵਾਹ ਤੇਰੇ ਪਰਮੇਸ਼ੁਰ ਲਈ ਸਬਤ ਹੈ। ਉਸ ਦਿਨ ਵਿੱਚ ਤੂੰ ਕੋਈ ਕੰਮ-ਧੰਦਾ ਨਾ ਕਰ, ਨਾ ਤੂੰ ਨਾ ਤੇਰਾ ਪੁੱਤਰ, ਨਾ ਤੇਰੀ ਧੀ, ਨਾ ਤੇਰਾ ਦਾਸ, ਨਾ ਤੇਰੀ ਦਾਸੀ, ਨਾ ਤੇਰਾ ਪਸ਼ੂ ਅਤੇ ਨਾ ਤੇਰਾ ਪਰਦੇਸੀ ਜਿਹੜਾ ਤੇਰੇ ਫਾਟਕਾਂ ਦੇ ਅੰਦਰ ਹੈ।
[IRV | PA | OT | Exodus | Chapter 20 | Verse 11] ਕਿਉਂ ਜੋ ਛੇਆਂ ਦਿਨਾਂ ਵਿੱਚ ਯਹੋਵਾਹ ਨੇ ਅਕਾਸ਼ ਅਤੇ ਧਰਤੀ ਨੂੰ, ਸਮੁੰਦਰ ਨੂੰ ਅਤੇ ਸਭ ਕੁਝ ਜੋ ਉਨ੍ਹਾਂ ਦੇ ਵਿੱਚ ਹੈ ਬਣਾਇਆ ਪਰ ਸੱਤਵੇਂ ਦਿਨ ਵਿਸ਼ਰਾਮ ਕੀਤਾ। ਇਸ ਲਈ ਯਹੋਵਾਹ ਨੇ ਸਬਤ ਦੇ ਦਿਨ ਨੂੰ ਬਰਕਤ ਦਿੱਤੀ ਅਤੇ ਉਸ ਨੂੰ ਪਵਿੱਤਰ ਠਹਿਰਾਇਆ।
