[IRV | PA | OT | Exodus | Chapter 2 | Verse 1] ਲੇਵੀ ਦੇ ਘਰਾਣੇ ਦੇ ਇੱਕ ਮਨੁੱਖ ਨੇ ਲੇਵੀ ਦੀ ਧੀ ਨਾਲ ਵਿਆਹ ਕਰ ਲਿਆ
[IRV | PA | OT | Exodus | Chapter 2 | Verse 2] ਉਹ ਔਰਤ ਗਰਭਵਤੀ ਹੋਈ ਅਤੇ ਉਸ ਨੇ ਇੱਕ ਪੁੱਤਰ ਨੂੰ ਜਨਮ ਦਿੱਤਾ। ਉਸ ਨੇ ਉਸ ਨੂੰ ਤਿੰਨ ਮਹੀਨੇ ਤੱਕ ਲੁਕਾ ਕੇ ਰੱਖਿਆ ਕਿਉਂਕਿ ਉਹ ਵੇਖਣ ਵਿੱਚ ਬਹੁਤ ਸੋਹਣਾ ਸੀ।
[IRV | PA | OT | Exodus | Chapter 2 | Verse 3] ਜਦ ਉਹ ਉਸ ਨੂੰ ਹੋਰ ਲੁਕਾ ਨਾ ਸਕੀ ਤਦ ਉਸ ਨੇ ਕਾਨਿਆਂ ਦੀ ਇੱਕ ਟੋਕਰੀ ਬਣਾ ਕੇ ਉਸ ਨੂੰ ਰਾਲ ਮਿੱਟੀ ਨਾਲ ਲਿੱਪਿਆ ਅਤੇ ਉਸ ਵਿੱਚ ਬੱਚੇ ਨੂੰ ਰੱਖ ਦਿੱਤਾ ਅਤੇ ਨੀਲ ਨਦੀ ਦੇ ਕੰਢੇ ਪਿਲਛੀ ਵਿੱਚ ਰੱਖ ਦਿੱਤਾ।
[IRV | PA | OT | Exodus | Chapter 2 | Verse 4] ਉਸ ਦੀ ਭੈਣ ਦੂਰ ਖੜ੍ਹੀ ਇਹ ਦੇਖ ਰਹੀ ਸੀ ਕਿ ਉਸ ਨਾਲ ਕੀ ਬੀਤ ਰਹੀ ਹੈ।
[IRV | PA | OT | Exodus | Chapter 2 | Verse 5] ਫ਼ਿਰਊਨ ਦੀ ਧੀ ਨਹਾਉਣ ਲਈ ਨੀਲ ਨਦੀ ਵਿੱਚ ਉੱਤਰੀ, ਜਦ ਉਸ ਦੀਆਂ ਸਹੇਲੀਆਂ ਦਰਿਆ ਦੇ ਕੰਢੇ-ਕੰਢੇ ਫਿਰਦੀਆਂ ਸਨ ਤਦ ਉਸ ਨੇ ਝਾੜੀਆਂ ਵਿੱਚ ਟੋਕਰੀ ਵੇਖੀ। ਉਸ ਨੇ ਆਪਣੀ ਦਾਸੀ ਨੂੰ ਉਹ ਟੋਕਰੀ ਲਿਆਉਣ ਲਈ ਭੇਜਿਆ।
[IRV | PA | OT | Exodus | Chapter 2 | Verse 6] ਜਦ ਉਸ ਨੇ ਉਸ ਨੂੰ ਖੋਲ੍ਹਿਆ ਤਦ ਉਸ ਨੇ ਬੱਚੇ ਨੂੰ ਵੇਖਿਆ ਅਤੇ ਉਹ ਮੁੰਡਾ ਰੋ ਰਿਹਾ ਸੀ। ਉਸ ਨੂੰ ਉਸ ਬੱਚੇ ਉੱਤੇ ਤਰਸ ਆਇਆ, ਉਸ ਨੇ ਆਖਿਆ ਕਿ ਇਹ ਇਬਰਾਨੀਆਂ ਦੇ ਬੱਚਿਆਂ ਵਿੱਚੋਂ ਹੈ।
[IRV | PA | OT | Exodus | Chapter 2 | Verse 7] ਤਦ ਉਸ ਦੀ ਭੈਣ ਨੇ ਫ਼ਿਰਊਨ ਦੀ ਧੀ ਨੂੰ ਆਖਿਆ, “ਮੈਂ ਜਾ ਕੇ ਇਬਰਾਨਣਾਂ ਵਿੱਚੋਂ ਕਿਸੇ ਦੁੱਧ ਚੁੰਘਾਉਣ ਵਾਲੀ ਔਰਤ ਨੂੰ ਤੁਹਾਡੇ ਕੋਲ ਲਿਆਵਾਂ ਤਾਂ ਜੋ ਉਹ ਤੁਹਾਡੇ ਲਈ ਇਸ ਬੱਚੇ ਨੂੰ ਦੁੱਧ ਚੁੰਘਾਇਆ ਕਰੇ?”
[IRV | PA | OT | Exodus | Chapter 2 | Verse 8] ਤਦ ਫ਼ਿਰਊਨ ਦੀ ਧੀ ਨੇ ਆਖਿਆ, “ਜਾ।” ਉਹ ਲੜਕੀ ਜਾ ਕੇ ਬੱਚੇ ਦੀ ਮਾਂ ਨੂੰ ਸੱਦ ਲਿਆਈ।
[IRV | PA | OT | Exodus | Chapter 2 | Verse 9] ਤਦ ਫ਼ਿਰਊਨ ਦੀ ਧੀ ਨੇ ਉਸ ਨੂੰ ਆਖਿਆ, ਇਸ ਬੱਚੇ ਨੂੰ ਲੈ ਅਤੇ ਮੇਰੇ ਲਈ ਦੁੱਧ ਪਿਲਾ, ਮੈਂ ਤੈਨੂੰ ਮਜ਼ਦੂਰੀ ਦੇਵਾਂਗੀ। ਤਦ ਉਸ ਔਰਤ ਨੇ ਬੱਚੇ ਨੂੰ ਲੈ ਕੇ ਦੁੱਧ ਪਿਲਾਇਆ।
[IRV | PA | OT | Exodus | Chapter 2 | Verse 10] ਜਦ ਬੱਚਾ ਵੱਡਾ ਹੋ ਗਿਆ ਤਦ ਉਹ ਉਸ ਨੂੰ ਫ਼ਿਰਊਨ ਦੀ ਧੀ ਕੋਲ ਲੈ ਆਈ। ਉਹ ਉਸ ਦਾ ਪੁੱਤਰ ਅਖਵਾਇਆ ਅਤੇ ਉਸ ਨੇ ਇਹ ਕਹਿ ਕੇ ਉਸ ਦਾ ਨਾਮ ਮੂਸਾ ਰੱਖਿਆ ਕਿ ਮੈਂ ਇਸ ਨੂੰ ਪਾਣੀ ਵਿੱਚੋਂ ਕੱਢਿਆ ਹੈ।
[IRV | PA | OT | Exodus | Chapter 2 | Verse 11] ਫਿਰ ਅਜਿਹਾ ਹੋਇਆ ਕਿ ਉਨ੍ਹਾਂ ਦਿਨਾਂ ਵਿੱਚ ਜਦ ਮੂਸਾ ਵੱਡਾ ਹੋਇਆ ਤਦ ਉਸ ਨੇ ਆਪਣੇ ਭਰਾਵਾਂ ਕੋਲ ਬਾਹਰ ਜਾ ਕੇ ਉਨ੍ਹਾਂ ਦੇ ਦੁੱਖਾਂ ਨੂੰ ਵੇਖਿਆ ਅਤੇ ਇੱਕ ਮਿਸਰੀ ਨੂੰ ਵੇਖਿਆ ਜੋ ਉਸ ਦੇ ਭਰਾਵਾਂ ਵਿੱਚੋਂ ਇੱਕ ਇਬਰਾਨੀ ਨੂੰ ਮਾਰ ਰਿਹਾ ਸੀ।
