[IRV | PA | OT | Exodus | Chapter 25 | Verse 1] ਯਹੋਵਾਹ ਨੇ ਮੂਸਾ ਨਾਲ ਗੱਲ ਕੀਤੀ ਕਿ
[IRV | PA | OT | Exodus | Chapter 25 | Verse 2] ਇਸਰਾਏਲੀਆਂ ਨੂੰ ਆਖ ਕਿ ਉਹ ਮੇਰੇ ਲਈ ਭੇਟ ਲਿਆਉਣ। ਹਰ ਇੱਕ ਮਨੁੱਖ ਤੋਂ ਜਿਹ ਦਾ ਮਨ ਉਹ ਨੂੰ ਪਰੇਰੇ ਤੁਸੀਂ ਮੇਰੇ ਲਈ ਭੇਟ ਲਿਓ।
[IRV | PA | OT | Exodus | Chapter 25 | Verse 3] ਇਹ ਉਹ ਭੇਟ ਹੈ ਜਿਹੜੀ ਤੁਸੀਂ ਉਨ੍ਹਾਂ ਤੋਂ ਲਿਓ ਅਰਥਾਤ ਸੋਨਾ ਚਾਂਦੀ ਪਿੱਤਲ
[IRV | PA | OT | Exodus | Chapter 25 | Verse 4] ਨੀਲਾ, ਬੈਂਗਣੀ, ਕਿਰਮਚੀ ਰੰਗ ਅਤੇ ਮਹੀਨ ਕਤਾਨ ਅਤੇ ਪਸ਼ਮ
[IRV | PA | OT | Exodus | Chapter 25 | Verse 5] ਅਤੇ ਛੱਤ੍ਰਿਆਂ ਦੀਆਂ ਲਾਲ ਰੰਗੀਆਂ ਹੋਈਆਂ ਖੱਲਾਂ ਅਤੇ ਬੱਕਰਿਆਂ ਦੀਆਂ ਖੱਲਾਂ ਅਤੇ ਸ਼ਿੱਟੀਮ ਦੀ ਲੱਕੜੀ
[IRV | PA | OT | Exodus | Chapter 25 | Verse 6] ਅਤੇ ਦੀਵੇ ਦਾ ਤੇਲ ਅਤੇ ਮਸਹ ਕਰਨ ਦੇ ਤੇਲ ਦਾ ਅਤੇ ਸੁਗੰਧੀ ਦੀ ਧੂਪ ਦਾ ਮਸਾਲਾ
[IRV | PA | OT | Exodus | Chapter 25 | Verse 7] ਸੁਲੇਮਾਨੀ ਪੱਥਰ ਅਤੇ ਏਫ਼ੋਦ ਅਤੇ ਸੀਨੇ ਬੰਦ ਵਿੱਚ ਜੜਨ ਲਈ ਨਗ।
[IRV | PA | OT | Exodus | Chapter 25 | Verse 8] ਅਤੇ ਉਹ ਮੇਰੇ ਲਈ ਇੱਕ ਪਵਿੱਤਰ ਸਥਾਨ ਬਣਾਉਣ ਤਾਂ ਜੋ ਮੈਂ ਉਨ੍ਹਾਂ ਦੇ ਵਿਚਕਾਰ ਵੱਸਾਂ।
[IRV | PA | OT | Exodus | Chapter 25 | Verse 9] ਜਿਵੇਂ ਮੈਂ ਤੈਨੂੰ ਸਭ ਕੁਝ ਵਿਖਾਉਂਦਾ ਹਾਂ ਡੇਰੇ ਦੇ ਨਮੂਨੇ ਉੱਤੇ ਅਤੇ ਉਸ ਦੇ ਸਾਰੇ ਸਮਾਨ ਦੇ ਨਮੂਨੇ ਉੱਤੇ ਓਵੇਂ ਹੀ ਬਣਾਇਓ।
[IRV | PA | OT | Exodus | Chapter 25 | Verse 10] ਉਹ ਸ਼ਿੱਟੀਮ ਦੀ ਲੱਕੜੀ ਦਾ ਇੱਕ ਸੰਦੂਕ ਬਣਾਉਣ ਜਿਸ ਦੀ ਲੰਬਾਈ ਢਾਈ ਹੱਥ ਅਤੇ ਚੌੜਾਈ ਡੇਢ ਹੱਥ ਅਤੇ ਉਚਾਈ ਡੇਢ ਹੱਥ ਹੋਵੇ।
[IRV | PA | OT | Exodus | Chapter 25 | Verse 11] ਤੂੰ ਉਸ ਉੱਤੇ ਕੁੰਦਨ ਸੋਨਾ ਮੜ੍ਹੀਂ ਅਤੇ ਤੂੰ ਉਸ ਨੂੰ ਅੰਦਰੋਂ ਬਾਹਰੋਂ ਮੜ੍ਹੀਂ ਅਤੇ ਤੂੰ ਉਸ ਉੱਤੇ ਸੋਨੇ ਦੀ ਬਨੇਰੀ ਚੁਫ਼ੇਰੇ ਬਣਾਈਂ।
[IRV | PA | OT | Exodus | Chapter 25 | Verse 12] ਉਸ ਦੇ ਲਈ ਸੋਨੇ ਦੇ ਚਾਰ ਕੜੇ ਢਾਲ਼ ਕੇ ਉਹ ਦਿਆਂ ਚੌਹਾਂ ਪਾਵਿਆਂ ਵਿੱਚ ਲਾਈਂ ਅਰਥਾਤ ਦੋ ਕੜੇ ਇੱਕ ਪਾਸੇ ਦੋ ਕੜੇ ਦੂਜੇ ਪਾਸੇ।
[IRV | PA | OT | Exodus | Chapter 25 | Verse 13] ਨਾਲੇ ਤੂੰ ਸ਼ਿੱਟੀਮ ਦੀ ਲੱਕੜੀ ਦੀਆਂ ਚੋਬਾਂ ਬਣਾਈਂ ਅਤੇ ਉਨ੍ਹਾਂ ਉੱਤੇ ਸੋਨਾ ਮੜ੍ਹੀਂ।
[IRV | PA | OT | Exodus | Chapter 25 | Verse 14] ਤੂੰ ਉਨ੍ਹਾਂ ਚੋਬਾਂ ਨੂੰ ਸੰਦੂਕ ਦੇ ਪਾਸਿਆਂ ਦੇ ਕੜਿਆਂ ਵਿੱਚ ਪਾਵੀਂ ਤਾਂ ਜੋ ਉਨ੍ਹਾਂ ਨਾਲ ਸੰਦੂਕ ਚੁੱਕਿਆ ਜਾਵੇ।
[IRV | PA | OT | Exodus | Chapter 25 | Verse 15] ਚੋਬਾਂ ਸੰਦੂਕ ਦੇ ਕੜਿਆਂ ਵਿੱਚ ਰਹਿਣ ਅਤੇ ਉਹ ਉਨ੍ਹਾਂ ਵਿੱਚੋਂ ਕੱਢੀਆਂ ਨਾ ਜਾਣ।
[IRV | PA | OT | Exodus | Chapter 25 | Verse 16] ਤੂੰ ਉਸ ਸੰਦੂਕ ਵਿੱਚ ਉਹ ਸਾਖੀ ਰੱਖੀਂ ਜਿਹੜੀ ਮੈਂ ਤੈਨੂੰ ਦੇਵਾਂਗਾ।
[IRV | PA | OT | Exodus | Chapter 25 | Verse 17] ਤੂੰ ਪ੍ਰਾਸਚਿਤ ਦਾ ਸਰਪੋਸ਼ ਕੁੰਦਨ ਸੋਨੇ ਦਾ ਬਣਾਈਂ ਜਿਸ ਦੀ ਲੰਬਾਈ ਢਾਈ ਹੱਥ ਅਤੇ ਚੌੜਾਈ ਡੇਢ ਹੱਥ ਹੋਵੇ।
[IRV | PA | OT | Exodus | Chapter 25 | Verse 18] ਤੂੰ ਸੋਨੇ ਦੇ ਦੋ ਕਰੂਬੀ ਬਣਾਈਂ। ਤੂੰ ਉਨ੍ਹਾਂ ਨੂੰ ਘੜ੍ਹ ਕੇ ਪ੍ਰਾਸਚਿਤ ਦੇ ਸਰਪੋਸ਼ ਦੇ ਦੋਹਾਂ ਸਿਰਿਆਂ ਤੋਂ ਘੜ੍ਹ ਕੇ ਬਣਾਈਂ।
[IRV | PA | OT | Exodus | Chapter 25 | Verse 19] ਤੂੰ ਇੱਕ ਕਰੂਬੀ ਇੱਕ ਸਿਰੇ ਤੋਂ ਅਤੇ ਦੂਜਾ ਕਰੂਬੀ ਦੂਜੇ ਸਿਰੇ ਤੋਂ ਬਣਾਈਂ। ਪ੍ਰਾਸਚਿਤ ਦੇ ਸਰਪੋਸ਼ ਹੀ ਤੋਂ ਤੁਸੀਂ ਦੋਹਾਂ ਪਾਸਿਆਂ ਉੱਤੇ ਕਰੂਬੀਆਂ ਨੂੰ ਬਣਾਇਓ।
