[IRV | PA | OT | Exodus | Chapter 24 | Verse 1] ਉਸ ਨੇ ਮੂਸਾ ਨੂੰ ਆਖਿਆ, ਯਹੋਵਾਹ ਕੋਲ ਉਤਾਹਾਂ ਆ ਤੂੰ ਅਤੇ ਹਾਰੂਨ ਅਤੇ ਨਾਦਾਬ ਅਤੇ ਅਬੀਹੂ ਅਤੇ ਇਸਰਾਏਲ ਦੇ ਬਜ਼ੁਰਗਾਂ ਵਿੱਚੋਂ ਸੱਤਰ ਅਤੇ ਤੁਸੀਂ ਦੂਰੋਂ ਮੱਥਾ ਟੇਕੋ।
[IRV | PA | OT | Exodus | Chapter 24 | Verse 2] ਪਰ ਮੂਸਾ ਇਕੱਲਾ ਯਹੋਵਾਹ ਕੋਲ ਨੇੜੇ ਆਵੇ ਅਤੇ ਇਹ ਨੇੜੇ ਨਾ ਆਉਣ ਅਤੇ ਲੋਕ ਵੀ ਉਹ ਦੇ ਨਾਲ ਉਤਾਹਾਂ ਨਾ ਆਉਣ।
[IRV | PA | OT | Exodus | Chapter 24 | Verse 3] ਸੋ ਮੂਸਾ ਆਇਆ ਅਤੇ ਯਹੋਵਾਹ ਦੀਆਂ ਸਾਰੀਆਂ ਗੱਲਾਂ ਅਤੇ ਸਾਰੇ ਨਿਆਂ ਲੋਕਾਂ ਨੂੰ ਦੱਸੇ ਤਾਂ ਸਾਰੇ ਲੋਕਾਂ ਨੇ ਇੱਕ ਅਵਾਜ਼ ਨਾਲ ਬੋਲ ਕੇ ਉੱਤਰ ਦਿੱਤਾ, ਸਾਰੀਆਂ ਗੱਲਾਂ ਜਿਹੜੀਆਂ ਯਹੋਵਾਹ ਬੋਲਿਆ ਹੈ ਅਸੀਂ ਕਰਾਂਗੇ।
[IRV | PA | OT | Exodus | Chapter 24 | Verse 4] ਤਾਂ ਮੂਸਾ ਨੇ ਯਹੋਵਾਹ ਦੀਆਂ ਸਾਰੀਆਂ ਗੱਲਾਂ ਲਿਖੀਆਂ ਅਤੇ ਸਵੇਰ ਨੂੰ ਉੱਠ ਕੇ ਪਰਬਤ ਹੇਠ ਇੱਕ ਜਗਵੇਦੀ ਅਤੇ ਬਾਰਾਂ ਥੰਮ੍ਹ ਇਸਰਾਏਲ ਦੇ ਬਾਰਾਂ ਗੋਤਾਂ ਅਨੁਸਾਰ ਬਣਾਏ।
[IRV | PA | OT | Exodus | Chapter 24 | Verse 5] ਉਸ ਨੇ ਇਸਰਾਏਲ ਦੇ ਗੱਭਰੂਆਂ ਨੂੰ ਭੇਜਿਆ ਅਤੇ ਉਨ੍ਹਾਂ ਨੇ ਯਹੋਵਾਹ ਲਈ ਹੋਮ ਦੀਆਂ ਬਲੀਆਂ ਅਤੇ ਸੁੱਖ-ਸਾਂਦ ਦੀਆਂ ਬਲੀਆਂ ਬਲ਼ਦਾਂ ਤੋਂ ਚੜ੍ਹਾਈਆਂ।
[IRV | PA | OT | Exodus | Chapter 24 | Verse 6] ਫਿਰ ਮੂਸਾ ਨੇ ਅੱਧਾ ਲਹੂ ਲੈ ਕੇ ਭਾਂਡਿਆਂ ਵਿੱਚ ਰੱਖਿਆ ਅਤੇ ਬਾਕੀ ਦਾ ਅੱਧਾ ਲਹੂ ਜਗਵੇਦੀ ਦੇ ਉੱਤੇ ਛਿੜਕਿਆ
[IRV | PA | OT | Exodus | Chapter 24 | Verse 7] ਅਤੇ ਉਸ ਨੇ ਨੇਮ ਦੀ ਪੋਥੀ ਲੈ ਕੇ ਲੋਕਾਂ ਦੇ ਕੰਨਾਂ ਵਿੱਚ ਪੜ੍ਹ ਕੇ ਸੁਣਾਈ ਅਤੇ ਉਨ੍ਹਾਂ ਨੇ ਆਖਿਆ, ਅਸੀਂ ਸਭ ਕੁਝ ਜੋ ਯਹੋਵਾਹ ਬੋਲਿਆ ਹੈ ਕਰਾਂਗੇ ਅਤੇ ਮੰਨਾਂਗੇ।
[IRV | PA | OT | Exodus | Chapter 24 | Verse 8] ਉਪਰੰਤ ਮੂਸਾ ਨੇ ਲਹੂ ਲੈ ਕੇ ਲੋਕਾਂ ਉੱਤੇ ਛਿੜਕਿਆ ਅਤੇ ਆਖਿਆ, ਵੇਖੋ ਇਹ ਨੇਮ ਦਾ ਲਹੂ ਹੈ ਜੋ ਯਹੋਵਾਹ ਦੇ ਨੇਮ ਨੂੰ ਤਕੜਾ ਕਰਦਾ ਹੈ।
[IRV | PA | OT | Exodus | Chapter 24 | Verse 9] ਤਾਂ ਮੂਸਾ, ਹਾਰੂਨ, ਨਾਦਾਬ, ਅਬੀਹੂ ਅਤੇ ਇਸਰਾਏਲ ਦੇ ਸੱਤਰ ਬਜ਼ੁਰਗ ਉਤਾਹਾਂ ਗਏ।
[IRV | PA | OT | Exodus | Chapter 24 | Verse 10] ਫਿਰ ਉਨ੍ਹਾਂ ਨੇ ਇਸਰਾਏਲ ਦੇ ਪਰਮੇਸ਼ੁਰ ਨੂੰ ਡਿੱਠਾ ਅਤੇ ਉਸ ਦੇ ਪੈਰਾਂ ਹੇਠ ਨੀਲਮ ਦੇ ਪੱਥਰਾਂ ਦਾ ਫਰਸ਼ ਜਿਹਾ ਸੀ ਅਤੇ ਉਸ ਦੀ ਚਮਕ ਅਕਾਸ਼ ਹੀ ਵਰਗੀ ਸੀ।
[IRV | PA | OT | Exodus | Chapter 24 | Verse 11] ਉਸ ਨੇ ਆਪਣਾ ਹੱਥ ਇਸਰਾਏਲੀਆਂ ਦੇ ਭਲੇ ਪੁਰਸ਼ਾਂ ਉੱਤੇ ਨਾ ਪਾਇਆ ਸੋ ਉਨ੍ਹਾਂ ਨੇ ਪਰਮੇਸ਼ੁਰ ਦਾ ਦਰਸ਼ਣ ਕੀਤਾ ਅਤੇ ਉਨ੍ਹਾਂ ਨੇ ਖਾਧਾ ਪੀਤਾ।
