[IRV | PA | OT | Exodus | Chapter 8 | Verse 1] ਫਿਰ ਯਹੋਵਾਹ ਨੇ ਮੂਸਾ ਨੂੰ ਆਖਿਆ, ਫ਼ਿਰਊਨ ਕੋਲ ਜਾ ਕੇ ਉਸ ਨੂੰ ਆਖ ਕਿ ਯਹੋਵਾਹ ਇਸ ਤਰ੍ਹਾਂ ਆਖਦਾ ਹੈ, ਮੇਰੀ ਪਰਜਾ ਨੂੰ ਜਾਣ ਦੇ ਤਾਂ ਜੋ ਉਹ ਮੇਰੀ ਉਪਾਸਨਾ ਕਰੇ
[IRV | PA | OT | Exodus | Chapter 8 | Verse 2] ਜੇ ਤੂੰ ਉਨ੍ਹਾਂ ਦੇ ਭੇਜਣ ਤੋਂ ਮੁੱਕਰ ਜਾਵੇ ਤਾਂ ਵੇਖ, ਮੈਂ ਤੇਰੀਆਂ ਸਾਰੀਆਂ ਹੱਦਾਂ ਨੂੰ ਡੱਡੂਆਂ ਨਾਲ ਮਾਰਾਂਗਾ।
[IRV | PA | OT | Exodus | Chapter 8 | Verse 3] ਨਦੀ ਡੱਡੂਆਂ ਦੇ ਝੁੰਡਾਂ ਨਾਲ ਭਰ ਜਾਵੇਗੀ ਅਤੇ ਉਹ ਚੜ੍ਹਨਗੇ ਅਤੇ ਤੇਰੇ ਮਹਿਲ ਵਿੱਚ, ਤੇਰੇ ਸੌਣ ਦੇ ਬਿਸਤਰੇ ਵਿੱਚ, ਤੇਰੀ ਸੇਜ਼ ਉੱਤੇ, ਤੇਰੇ ਟਹਿਲੂਆਂ ਦੇ ਘਰਾਂ ਵਿੱਚ, ਤੇਰੀ ਪਰਜਾ ਵਿੱਚ, ਤੇਰੇ ਤੰਦੂਰਾਂ ਵਿੱਚ, ਅਤੇ ਤੇਰੇ ਗੁੰਨ੍ਹਣ ਦੀਆਂ ਪਰਾਤਾਂ ਵਿੱਚ ਆਉਣਗੇ।
[IRV | PA | OT | Exodus | Chapter 8 | Verse 4] ਡੱਡੂ ਤੇਰੇ ਉੱਤੇ, ਤੇਰੀ ਪਰਜਾ ਉੱਤੇ ਅਤੇ ਤੇਰੇ ਸਾਰੇ ਸੇਵਕਾਂ ਉੱਤੇ ਚੜ੍ਹਨਗੇ। ਫਿਰ ਯਹੋਵਾਹ ਨੇ ਮੂਸਾ ਨੂੰ ਆਖਿਆ, ਹਾਰੂਨ ਨੂੰ ਆਖ ਕਿ
[IRV | PA | OT | Exodus | Chapter 8 | Verse 5] ਉਹ ਆਪਣਾ ਹੱਥ ਆਪਣੀ ਲਾਠੀ ਨਾਲ ਨਦੀਆਂ ਉੱਤੇ, ਦਰਿਆਵਾਂ ਉੱਤੇ ਅਤੇ ਤਲਾਬਾਂ ਉੱਤੇ ਪਸਾਰੇ ਅਤੇ ਡੱਡੂਆਂ ਨੂੰ ਮਿਸਰ ਦੇਸ ਉੱਤੇ ਚੜ੍ਹਾ ਦੇਵੇ।
[IRV | PA | OT | Exodus | Chapter 8 | Verse 6] ਤਦ ਹਾਰੂਨ ਨੇ ਆਪਣਾ ਹੱਥ ਮਿਸਰ ਦੇ ਪਾਣੀਆਂ ਉੱਤੇ ਪਸਾਰਿਆ ਤਦ ਡੱਡੂ ਚੜ੍ਹ ਆਏ ਅਤੇ ਮਿਸਰ ਦੇਸ ਨੂੰ ਭਰ ਦਿੱਤਾ।
[IRV | PA | OT | Exodus | Chapter 8 | Verse 7] ਤਦ ਜਾਦੂਗਰਾਂ ਨੇ ਆਪਣੇ ਜੰਤਰਾਂ-ਮੰਤਰਾਂ ਨਾਲ ਉਸੇ ਤਰ੍ਹਾਂ ਹੀ ਕੀਤਾ ਅਤੇ ਮਿਸਰ ਦੇਸ ਉੱਤੇ ਡੱਡੂ ਲੈ ਆਏ।
[IRV | PA | OT | Exodus | Chapter 8 | Verse 8] ਤਦ ਫ਼ਿਰਊਨ ਨੇ ਮੂਸਾ ਅਤੇ ਹਾਰੂਨ ਨੂੰ ਬੁਲਾ ਕੇ ਆਖਿਆ, ਯਹੋਵਾਹ ਦੇ ਅੱਗੇ ਬੇਨਤੀ ਕਰੋ ਤਾਂ ਜੋ ਉਹ ਡੱਡੂਆਂ ਨੂੰ ਮੇਰੇ ਤੋਂ ਅਤੇ ਮੇਰੀ ਪਰਜਾ ਤੋਂ ਦੂਰ ਕਰ ਦੇਵੇ। ਮੈਂ ਜ਼ਰੂਰ ਲੋਕਾਂ ਨੂੰ ਜਾਣ ਦੇਵਾਂਗਾ ਤਾਂ ਜੋ ਉਹ ਯਹੋਵਾਹ ਲਈ ਬਲੀ ਚੜ੍ਹਾਉਣ।
[IRV | PA | OT | Exodus | Chapter 8 | Verse 9] ਤਦ ਮੂਸਾ ਨੇ ਫ਼ਿਰਊਨ ਨੂੰ ਆਖਿਆ, ਕਿਰਪਾ ਕਰ ਕੇ ਮੈਨੂੰ ਦੱਸੋ ਕਿ ਮੈਂ ਕਦ ਤੋਂ ਤੁਹਾਡੇ ਅਤੇ ਤੁਹਾਡੇ ਸੇਵਕਾਂ ਅਤੇ ਤੁਹਾਡੀ ਪਰਜਾ ਲਈ ਬੇਨਤੀ ਕਰਾਂ ਤਾਂ ਜੋ ਡੱਡੂ ਤੁਹਾਡੇ ਤੋਂ ਅਤੇ ਤੁਹਾਡੇ ਘਰਾਂ ਤੋਂ ਹਟਾਏ ਜਾਣ ਅਤੇ ਨੀਲ ਨਦੀ ਦੇ ਵਿੱਚ ਹੀ ਰਹਿਣ?
[IRV | PA | OT | Exodus | Chapter 8 | Verse 10] ਉਸ ਨੇ ਆਖਿਆ ਕੱਲ ਤੋਂ। ਤਦ ਉਸ ਨੇ ਆਖਿਆ, ਤੁਹਾਡੇ ਕਹਿਣ ਦੇ ਅਨੁਸਾਰ ਹੀ ਹੋਵੇਗਾ ਤਾਂ ਜੋ ਤੁਸੀਂ ਜਾਣੋ ਕਿ ਸਾਡੇ ਪਰਮੇਸ਼ੁਰ ਯਹੋਵਾਹ ਵਰਗਾ ਕੋਈ ਨਹੀਂ।
[IRV | PA | OT | Exodus | Chapter 8 | Verse 11] ਡੱਡੂ ਤੁਹਾਡੇ ਤੋਂ, ਤੁਹਾਡੇ ਘਰਾਂ ਤੋਂ, ਤੁਹਾਡੇ ਟਹਿਲੂਆਂ ਤੋਂ ਅਤੇ ਤੁਹਾਡੀ ਪਰਜਾ ਤੋਂ ਚੱਲਦੇ ਹੋਣਗੇ। ਉਹ ਸਿਰਫ਼ ਨਦੀ ਵਿੱਚ ਹੀ ਰਹਿਣਗੇ।
