[IRV | PA | OT | Exodus | Chapter 18 | Verse 1] ਜਦ ਮੂਸਾ ਦੇ ਸੌਹਰੇ ਯਿਥਰੋ ਨੇ ਜਿਹੜਾ ਮਿਦਯਾਨ ਦਾ ਜਾਜਕ ਸੀ ਸਭ ਕੁਝ ਜੋ ਪਰਮੇਸ਼ੁਰ ਨੇ ਮੂਸਾ ਅਤੇ ਆਪਣੀ ਪਰਜਾ ਇਸਰਾਏਲ ਲਈ ਕੀਤਾ ਸੁਣਿਆ ਅਰਥਾਤ ਜਿਵੇਂ ਯਹੋਵਾਹ ਇਸਰਾਏਲ ਨੂੰ ਮਿਸਰੋਂ ਬਾਹਰ ਲੈ ਆਇਆ।
[IRV | PA | OT | Exodus | Chapter 18 | Verse 2] ਤਦ ਮੂਸਾ ਦੇ ਸੌਹਰੇ ਯਿਥਰੋ ਨੇ ਮੂਸਾ ਦੀ ਪਤਨੀ ਸਿੱਪੋਰਾਹ ਨੂੰ ਉਸ ਦੇ ਛੱਡਣ ਦੇ ਪਿੱਛੋਂ ਲਿਆ
[IRV | PA | OT | Exodus | Chapter 18 | Verse 3] ਨਾਲੇ ਉਸ ਦੇ ਦੋਹਾਂ ਪੁੱਤਰਾਂ ਨੂੰ ਜਿਨ੍ਹਾਂ ਵਿੱਚੋਂ ਇੱਕ ਦਾ ਨਾਮ ਗੇਰਸ਼ੋਮ ਸੀ ਕਿਉਂ ਜੋ ਉਸ ਆਖਿਆ, ਮੈਂ ਪਰਦੇਸ ਵਿੱਚ ਓਪਰਾ ਰਿਹਾ।
[IRV | PA | OT | Exodus | Chapter 18 | Verse 4] ਅਤੇ ਦੂਜੇ ਦਾ ਨਾਮ ਅਲੀਅਜ਼ਰ ਸੀ ਕਿਉਂ ਜੋ ਉਸ ਆਖਿਆ, ਮੇਰੇ ਪਿਤਾ ਦਾ ਪਰਮੇਸ਼ੁਰ ਮੇਰਾ ਸਹਾਇਕ ਸੀ ਅਤੇ ਮੈਨੂੰ ਫ਼ਿਰਊਨ ਦੀ ਤਲਵਾਰ ਤੋਂ ਬਚਾਇਆ।
[IRV | PA | OT | Exodus | Chapter 18 | Verse 5] ਅਤੇ ਮੂਸਾ ਦਾ ਸੌਹਰਾ ਯਿਥਰੋ ਉਸ ਦੇ ਪੁੱਤਰਾਂ ਅਤੇ ਉਸ ਦੀ ਪਤਨੀ ਨੂੰ ਉਜਾੜ ਵਿੱਚ ਮੂਸਾ ਕੋਲ ਲਿਆਇਆ ਜਿੱਥੇ ਉਸ ਨੇ ਪਰਮੇਸ਼ੁਰ ਦੇ ਪਰਬਤ ਉੱਤੇ ਡੇਰਾ ਲਾਇਆ ਹੋਇਆ ਸੀ।
[IRV | PA | OT | Exodus | Chapter 18 | Verse 6] ਉਹ ਨੇ ਮੂਸਾ ਨੂੰ ਆਖਿਆ, ਮੈਂ ਤੇਰਾ ਸੌਹਰਾ ਯਿਥਰੋ ਅਤੇ ਤੇਰੀ ਪਤਨੀ ਉਹ ਦੇ ਦੋਹਾਂ ਪੁੱਤਰਾਂ ਨਾਲ ਤੇਰੇ ਕੋਲ ਆਏ ਹਾਂ।
[IRV | PA | OT | Exodus | Chapter 18 | Verse 7] ਤਦ ਮੂਸਾ ਆਪਣੇ ਸੌਹਰੇ ਨੂੰ ਮਿਲਣ ਲਈ ਬਾਹਰ ਆਇਆ ਅਤੇ ਉਸ ਦੇ ਅੱਗੇ ਨਿਵਿਆ ਅਤੇ ਉਸ ਨੂੰ ਚੁੰਮਿਆ ਅਤੇ ਇੱਕ ਦੂਜੇ ਦੀ ਸੁੱਖ-ਸਾਂਦ ਪੁੱਛੀ ਅਤੇ ਤੰਬੂ ਵਿੱਚ ਆਏ।
[IRV | PA | OT | Exodus | Chapter 18 | Verse 8] ਮੂਸਾ ਨੇ ਆਪਣੇ ਸੌਹਰੇ ਨੂੰ ਉਹ ਸਭ ਕੁਝ ਜਿਹੜਾ ਯਹੋਵਾਹ ਨੇ ਇਸਰਾਏਲ ਦੇ ਕਾਰਨ ਫ਼ਿਰਊਨ ਅਤੇ ਮਿਸਰੀਆਂ ਨਾਲ ਕੀਤਾ ਅਤੇ ਉਹ ਕਸ਼ਟ ਜਿਹੜਾ ਰਾਹ ਵਿੱਚ ਉਨ੍ਹਾਂ ਉੱਤੇ ਆਇਆ ਅਤੇ ਯਹੋਵਾਹ ਨੇ ਕਿਵੇਂ ਉਨ੍ਹਾਂ ਨੂੰ ਬਚਾਇਆ ਦੱਸਿਆ।
[IRV | PA | OT | Exodus | Chapter 18 | Verse 9] ਤਦ ਯਿਥਰੋ ਉਸ ਸਾਰੀ ਭਲਿਆਈ ਦੇ ਕਾਰਨ ਜਿਹੜੀ ਯਹੋਵਾਹ ਨੇ ਇਸਰਾਏਲ ਨਾਲ ਕੀਤੀ ਜਦ ਉਸ ਨੂੰ ਮਿਸਰੀਆਂ ਦੇ ਹੱਥੋਂ ਬਚਾ ਦਿੱਤਾ ਅਨੰਦ ਹੋਇਆ।
[IRV | PA | OT | Exodus | Chapter 18 | Verse 10] ਯਿਥਰੋ ਨੇ ਆਖਿਆ, ਯਹੋਵਾਹ ਮੁਬਾਰਕ ਹੈ ਜਿਸ ਤੁਹਾਨੂੰ ਮਿਸਰੀਆਂ ਦੇ ਹੱਥੋਂ ਅਤੇ ਫ਼ਿਰਊਨ ਦੇ ਹੱਥੋਂ ਬਚਾ ਦਿੱਤਾ ਅਤੇ ਜਿਸ ਲੋਕਾਂ ਨੂੰ ਮਿਸਰੀਆਂ ਦੇ ਹੱਥ ਹੇਠੋਂ ਬਚਾਇਆ।
[IRV | PA | OT | Exodus | Chapter 18 | Verse 11] ਹੁਣ ਮੈਂ ਜਾਣਿਆ ਕਿ ਯਹੋਵਾਹ ਸਾਰੇ ਦੇਵਤਿਆਂ ਨਾਲੋਂ ਵੱਡਾ ਹੈ ਹਾਂ, ਉਸ ਗੱਲ ਵਿੱਚ ਵੀ ਜਿਸ ਵਿੱਚ ਉਹ ਉਨ੍ਹਾਂ ਉੱਤੇ ਘਮੰਡ ਕਰਦੇ ਸਨ।
