[IRV | PA | OT | Exodus | Chapter 1 | Verse 1] ਹੁਣ ਇਸਰਾਏਲ ਦੇ ਪੁੱਤਰਾਂ ਦੇ ਨਾਮ, ਜਿਹੜੇ ਮਿਸਰ ਵਿੱਚ ਇੱਕ-ਇੱਕ ਜਣਾ ਆਪੋ ਆਪਣੇ ਟੱਬਰ ਨਾਲ ਯਾਕੂਬ ਦੇ ਨਾਲ ਆਏ ਸੋ ਇਹ ਹਨ;
[IRV | PA | OT | Exodus | Chapter 1 | Verse 2] ਰਊਬੇਨ ਸ਼ਿਮਓਨ ਲੇਵੀ ਯਹੂਦਾਹ
[IRV | PA | OT | Exodus | Chapter 1 | Verse 3] ਯਿੱਸਾਕਾਰ ਜ਼ਬੂਲੁਨ ਬਿਨਯਾਮੀਨ
[IRV | PA | OT | Exodus | Chapter 1 | Verse 4] ਦਾਨ ਨਫ਼ਤਾਲੀ ਗਾਦ ਅਤੇ ਆਸ਼ੇਰ।
[IRV | PA | OT | Exodus | Chapter 1 | Verse 5] ਇਸ ਤਰ੍ਹਾਂ ਇਹ ਸਾਰੇ ਪ੍ਰਾਣੀ ਜਿਹੜੇ ਯਾਕੂਬ ਦੀ ਅੰਸ ਤੋਂ ਨਿੱਕਲੇ ਸੱਤਰ ਪ੍ਰਾਣੀ ਸਨ ਅਤੇ ਯੂਸੁਫ਼ ਮਿਸਰ ਵਿੱਚ ਹੀ ਸੀ।
[IRV | PA | OT | Exodus | Chapter 1 | Verse 6] ਯੂਸੁਫ਼, ਉਸ ਦੇ ਭਰਾ ਅਤੇ ਉਹ ਸਾਰੀ ਪੀੜ੍ਹੀ ਮਰ ਚੁੱਕੀ ਸੀ।
[IRV | PA | OT | Exodus | Chapter 1 | Verse 7] ਪਰ ਇਸਰਾਏਲੀ ਫਲੇ ਅਤੇ ਉਨ੍ਹਾਂ ਦੇ ਦਲਾਂ ਦੇ ਦਲ ਹੋ ਗਏ, ਵਧ ਕੇ ਬਹੁਤ ਬਲਵੰਤ ਹੋ ਗਏ ਕਿ ਧਰਤੀ ਉਨ੍ਹਾਂ ਨਾਲ ਭਰ ਗਈ।
[IRV | PA | OT | Exodus | Chapter 1 | Verse 8] ਤਦ ਮਿਸਰ ਵਿੱਚ ਨਵਾਂ ਰਾਜਾ ਉੱਠਿਆ ਜਿਹੜਾ ਯੂਸੁਫ਼ ਨੂੰ ਨਹੀਂ ਜਾਣਦਾ ਸੀ।
[IRV | PA | OT | Exodus | Chapter 1 | Verse 9] ਉਸ ਨੇ ਆਪਣੇ ਲੋਕਾਂ ਨੂੰ ਆਖਿਆ, ਵੇਖੋ ਇਸਰਾਏਲੀ ਲੋਕ ਸਾਡੇ ਨਾਲੋਂ ਵਧੀਕ ਅਤੇ ਬਲਵੰਤ ਹਨ।
[IRV | PA | OT | Exodus | Chapter 1 | Verse 10] ਆਓ ਅਸੀਂ ਉਨ੍ਹਾਂ ਨਾਲ ਸਮਝ ਨਾਲ ਵਰਤਾਓ ਕਰੀਏ, ਅਜਿਹਾ ਨਾ ਹੋਵੇ ਕਿ ਉਹ ਹੋਰ ਵਧ ਜਾਣ ਅਤੇ ਇਸ ਤਰ੍ਹਾਂ ਹੋਵੇ ਕਿ ਜਦ ਲੜਾਈ ਆ ਪਵੇ ਤਾਂ ਉਹ ਸਾਡੇ ਵੈਰੀਆਂ ਦੇ ਨਾਲ ਮਿਲ ਜਾਣ ਅਤੇ ਸਾਡੇ ਵਿਰੁੱਧ ਲੜਨ, ਫੇਰ ਇਸ ਦੇਸ਼ ਤੋਂ ਉਤਾਹਾਂ ਨੂੰ ਚਲੇ ਜਾਣ।
[IRV | PA | OT | Exodus | Chapter 1 | Verse 11] ਤਦ ਉਸ ਉਨ੍ਹਾਂ ਦੇ ਉੱਪਰ ਬੇਗ਼ਾਰੀਆਂ ਦੇ ਕੋਰੜੇ ਠਹਿਰਾਏ ਜਿਹੜੇ ਉਨ੍ਹਾਂ ਨੂੰ ਉਨ੍ਹਾਂ ਦੇ ਭਾਰਾਂ ਨਾਲ ਜਿੱਚ ਕਰਨ ਅਤੇ ਉਨ੍ਹਾਂ ਫ਼ਿਰਊਨ ਲਈ ਫਿਤੋਮ ਅਤੇ ਰਾਮਸੇਸ ਭੰਡਾਰ ਦੇ ਨਗਰ ਬਣਾਏ।
