[IRV | PA | OT | Exodus | Chapter 39 | Verse 1] ਉਨ੍ਹਾਂ ਨੇ ਮਹੀਨ ਉਣਤੀ ਦਾ ਨੀਲਾ ਬੈਂਗਣੀ ਅਤੇ ਕਿਰਮਚੀ ਬਸਤਰ ਪਵਿੱਤਰ ਸਥਾਨ ਦੀ ਉਪਾਸਨਾ ਲਈ ਬਣਾਇਆ ਅਤੇ ਹਾਰੂਨ ਲਈ ਪਵਿੱਤਰ ਬਸਤਰ ਬਣਾਏ ਜਿਵੇਂ ਯਹੋਵਾਹ ਨੇ ਮੂਸਾ ਨੂੰ ਹੁਕਮ ਦਿੱਤਾ ਸੀ।
[IRV | PA | OT | Exodus | Chapter 39 | Verse 2] ਅਤੇ ਉਸ ਨੇ ਏਫ਼ੋਦ ਨੂੰ ਸੋਨੇ, ਨੀਲੇ ਬੈਂਗਣੀ ਅਤੇ ਕਿਰਮਚੀ ਮਹੀਨ ਉਣੇ ਹੋਏ ਕਤਾਨ ਦਾ ਬਣਾਇਆ।
[IRV | PA | OT | Exodus | Chapter 39 | Verse 3] ਫੇਰ ਉਨ੍ਹਾਂ ਨੇ ਸੋਨੇ ਨੂੰ ਕੁੱਟ ਕੇ ਪਤਲੇ-ਪਤਲੇ ਪੱਤ੍ਰ ਬਣਾਏ ਅਤੇ ਉਨ੍ਹਾਂ ਤੋਂ ਬਰੀਕ ਤਾਰਾਂ ਬਣਾਈਆਂ ਅਤੇ ਉਸ ਨੂੰ ਨੀਲੇ, ਬੈਂਗਣੀ ਅਤੇ ਕਿਰਮਚੀ ਮਹੀਨ ਕਤਾਨ ਵਿੱਚ ਕਾਰੀਗਰੀ ਨਾਲ ਉਣਿਆ।
[IRV | PA | OT | Exodus | Chapter 39 | Verse 4] ਉਨ੍ਹਾਂ ਨੇ ਮੋਢਿਆਂ ਦੀਆਂ ਕਤਰਾਂ ਬਣਾ ਕੇ ਜੋੜੀਆਂ ਅਤੇ ਉਹ ਉਸ ਦੇ ਦੋਹਾਂ ਸਿਰਿਆਂ ਨਾਲ ਜੁੜ ਗਈਆਂ।
[IRV | PA | OT | Exodus | Chapter 39 | Verse 5] ਕਾਰੀਗਰੀ ਨਾਲ ਕੱਢਿਆ ਹੋਇਆ ਪਟਕਾ ਜਿਹੜਾ ਉਹ ਦੇ ਉੱਤੇ ਕੱਸਣ ਲਈ ਸੀ ਉਸ ਦੇ ਕੰਮ ਅਨੁਸਾਰ ਉਸੇ ਤੋਂ ਸੀ ਅਰਥਾਤ ਸੋਨੇ ਅਤੇ ਨੀਲੇ ਬੈਂਗਣੀ ਕਿਰਮਚੀ ਮਹੀਨ ਉਣੇ ਹੋਏ ਕਤਾਨ ਦਾ ਸੀ ਜਿਵੇਂ ਯਹੋਵਾਹ ਨੇ ਮੂਸਾ ਨੂੰ ਹੁਕਮ ਦਿੱਤਾ ਸੀ।
[IRV | PA | OT | Exodus | Chapter 39 | Verse 6] ਉਨ੍ਹਾਂ ਨੇ ਸੁਲੇਮਾਨੀ ਪੱਥਰ ਸੋਨੇ ਦੇ ਖ਼ਾਨਿਆਂ ਵਿੱਚ ਪਾਉਣ ਲਈ ਛਾਪ ਦੀ ਉੱਕਰਾਈ ਵਾਂਗੂੰ ਇਸਰਾਏਲ ਦੇ ਪੁੱਤਰਾਂ ਦੇ ਨਾਮਾਂ ਅਨੁਸਾਰ ਉੱਕਰ ਕੇ ਬਣਾਏ।
[IRV | PA | OT | Exodus | Chapter 39 | Verse 7] ਉਸ ਨੇ ਉਨ੍ਹਾਂ ਨੂੰ ਏਫ਼ੋਦ ਦੇ ਮੋਢਿਆਂ ਦੀਆਂ ਕਤਰਾਂ ਉੱਤੇ ਰੱਖਿਆ ਤਾਂ ਜੋ ਇਸਰਾਏਲ ਦੇ ਪੁੱਤਰਾਂ ਦੀ ਯਾਦਗਿਰੀ ਦੇ ਪੱਥਰ ਹੋਣ ਜਿਵੇਂ ਯਹੋਵਾਹ ਨੇ ਮੂਸਾ ਨੂੰ ਹੁਕਮ ਦਿੱਤਾ ਸੀ।
[IRV | PA | OT | Exodus | Chapter 39 | Verse 8] ਉਸ ਨੇ ਸੀਨਾ ਬੰਦ ਨੂੰ ਏਫ਼ੋਦ ਦੇ ਕੰਮ ਵਾਂਗੂੰ ਕਾਰੀਗਰੀ ਦੀ ਬਣਤ ਦਾ ਅਰਥਾਤ ਸੋਨੇ, ਨੀਲੇ, ਬੈਂਗਣੀ ਅਤੇ ਕਿਰਮਚੀ ਮਹੀਨ ਉਣੇ ਹੋਏ ਕਤਾਨ ਦਾ ਬਣਾਇਆ।
[IRV | PA | OT | Exodus | Chapter 39 | Verse 9] ਉਨ੍ਹਾਂ ਨੇ ਸੀਨੇ ਬੰਦ ਨੂੰ ਚੌਰਸ ਅਤੇ ਦੋਹਰਾ ਬਣਾਇਆ। ਉਸ ਦੀ ਲੰਬਾਈ ਇੱਕ ਗਿੱਠ ਅਤੇ ਉਸ ਦੀ ਚੌੜਾਈ ਇੱਕ ਗਿੱਠ ਅਤੇ ਉਹ ਦੋਹਰਾ ਸੀ।
[IRV | PA | OT | Exodus | Chapter 39 | Verse 10] ਉਨ੍ਹਾਂ ਨੇ ਉਸ ਵਿੱਚ ਪੱਥਰ ਦੀਆਂ ਚਾਰ ਪਾਲਾਂ ਬਣਾਈਆਂ। ਇੱਕ ਪਾਲ ਵਿੱਚ ਲਾਲ ਅਕੀਕ, ਸੁਨਹਿਲਾ, ਅਤੇ ਜ਼ਬਰਜਦ ਇਹ ਪਹਿਲੀ ਪਾਲ ਸੀ।
[IRV | PA | OT | Exodus | Chapter 39 | Verse 11] ਦੂਜੀ ਪਾਲ ਵਿੱਚ ਪੰਨਾ, ਨੀਲਮ, ਦੁਧੀਯਾ ਬਿਲੌਰ
[IRV | PA | OT | Exodus | Chapter 39 | Verse 12] ਤੀਜੀ ਪਾਲ ਵਿੱਚ ਜ਼ਕਰਨ, ਹਰੀ ਅਕੀਕ, ਕਟੈਹਿਲਾ
[IRV | PA | OT | Exodus | Chapter 39 | Verse 13] ਚੌਥੀ ਪਾਲ ਵਿੱਚ ਬੈਰੂਜ਼, ਸੁਲੇਮਾਨੀ ਅਤੇ ਯਸ਼ਬ, ਇਹ ਆਪੋ ਆਪਣੇ ਖ਼ਾਨਿਆਂ ਵਿੱਚ ਸੋਨੇ ਨਾਲ ਜੁੜੇ ਹੋਏ ਸਨ।
[IRV | PA | OT | Exodus | Chapter 39 | Verse 14] ਅਤੇ ਉਹ ਪੱਥਰ ਇਸਰਾਏਲ ਦੇ ਪੁੱਤਰਾਂ ਦੇ ਨਾਮਾਂ ਅਨੁਸਾਰ ਸਨ ਅਰਥਾਤ ਉਨ੍ਹਾਂ ਦੇ ਬਾਰਾਂ ਨਾਮਾਂ ਦੇ ਅਨੁਸਾਰ ਛਾਪ ਦੀ ਉੱਕਰਾਈ ਵਾਂਗੂੰ ਹਰ ਇੱਕ ਦੇ ਨਾਮ ਦੇ ਅਨੁਸਾਰ ਉਹ ਬਾਰਾਂ ਗੋਤਾਂ ਲਈ ਸਨ।
[IRV | PA | OT | Exodus | Chapter 39 | Verse 15] ਉਨ੍ਹਾਂ ਨੇ ਸੀਨੇ ਬੰਦ ਉੱਤੇ ਖ਼ਾਲਸ ਸੋਨੇ ਦੀ ਜੰਜ਼ੀਰੀ ਰੱਸਿਆਂ ਵਾਂਗੂੰ ਗੁੰਦੇ ਹੋਏ ਕੰਮ ਦੀ ਬਣਾਈ।
[IRV | PA | OT | Exodus | Chapter 39 | Verse 16] ਉਨ੍ਹਾਂ ਨੇ ਸੋਨੇ ਦੇ ਖ਼ਾਨੇ ਅਤੇ ਸੋਨੇ ਦੇ ਦੋ ਕੜੇ ਬਣਾਏ ਅਤੇ ਉਨ੍ਹਾਂ ਨੇ ਉਹ ਦੋਨੋਂ ਕੜੇ ਸੀਨੇ ਬੰਦ ਦੇ ਸਿਰਿਆਂ ਵਿੱਚ ਪਾਏ।
[IRV | PA | OT | Exodus | Chapter 39 | Verse 17] ਉਨ੍ਹਾਂ ਨੇ ਦੋ ਗੁੰਦੀਆਂ ਹੋਈਆਂ ਸੋਨੇ ਦੀਆਂ ਜੰਜ਼ੀਰੀਆਂ ਸੀਨੇ ਬੰਦ ਦੇ ਸਿਰਿਆਂ ਉੱਤੇ ਦੋਹਾਂ ਕੜਿਆਂ ਵਿੱਚ ਪਾਈਆਂ
