[IRV | PA | OT | Exodus | Chapter 12 | Verse 1] ਯਹੋਵਾਹ ਨੇ ਮਿਸਰ ਦੇਸ ਵਿੱਚ ਮੂਸਾ ਅਤੇ ਹਾਰੂਨ ਨੂੰ ਆਖਿਆ ਕਿ
[IRV | PA | OT | Exodus | Chapter 12 | Verse 2] ਇਹ ਮਹੀਨਾ ਤੁਹਾਡੇ ਮਹੀਨਿਆਂ ਦਾ ਅਰੰਭ ਹੋਵੇਗਾ ਅਤੇ ਇਹ ਤੁਹਾਡੇ ਸਾਲ ਦੇ ਮਹੀਨਿਆਂ ਵਿੱਚੋਂ ਪਹਿਲਾ ਹੈ।
[IRV | PA | OT | Exodus | Chapter 12 | Verse 3] ਇਸਰਾਏਲ ਦੀ ਸਾਰੀ ਮੰਡਲੀ ਨੂੰ ਇਹ ਬੋਲੋ ਕਿ ਇਸ ਮਹੀਨੇ ਦੀ ਦਸਵੀਂ ਨੂੰ ਇੱਕ-ਇੱਕ ਜਣਾ ਆਪੋ ਆਪਣੇ ਪੁਰਖਿਆਂ ਦੇ ਘਰਾਣੇ ਅਨੁਸਾਰ ਹਰ ਘਰ ਪਿੱਛੇ ਇੱਕ-ਇੱਕ ਲੇਲਾ ਲਵੇ।
[IRV | PA | OT | Exodus | Chapter 12 | Verse 4] ਜੇਕਰ ਕੋਈ ਟੱਬਰ ਇੱਕ ਲੇਲੇ ਲਈ ਛੋਟਾ ਹੋਵੇ ਤਾਂ ਉਹ ਅਤੇ ਉਸ ਦਾ ਗੁਆਂਢੀ ਜਿਹੜਾ ਉਸ ਦੇ ਘਰ ਕੋਲ ਰਹਿੰਦਾ ਹੈ ਪ੍ਰਾਣੀਆਂ ਦੇ ਲੇਖੇ ਦੇ ਅਨੁਸਾਰ ਲਵੇ ਅਤੇ ਤੁਸੀਂ ਇੱਕ ਮਨੁੱਖ ਦੇ ਖਾਣ ਦੇ ਅਨੁਸਾਰ ਲੇਲੇ ਦਾ ਲੇਖਾ ਠਹਿਰਾਇਓ।
[IRV | PA | OT | Exodus | Chapter 12 | Verse 5] ਤੁਹਾਡਾ ਲੇਲਾ ਬੱਜ ਤੋਂ ਰਹਿਤ ਅਤੇ ਇੱਕ ਸਾਲ ਦਾ ਨਰ ਹੋਵੇ। ਤੁਸੀਂ ਭੇਡਾਂ ਜਾਂ ਬੱਕਰੀਆਂ ਤੋਂ ਲਿਓ
[IRV | PA | OT | Exodus | Chapter 12 | Verse 6] ਅਤੇ ਤੁਸੀਂ ਉਸ ਨੂੰ ਇਸ ਮਹੀਨੇ ਦੀ ਚੌਧਵੀਂ ਤੱਕ ਰੱਖ ਛੱਡਣਾ ਅਤੇ ਇਸਰਾਏਲ ਦੀ ਮੰਡਲੀ ਦੀ ਸਾਰੀ ਸਭਾ ਸ਼ਾਮ ਨੂੰ ਉਸ ਨੂੰ ਕੱਟੇ
[IRV | PA | OT | Exodus | Chapter 12 | Verse 7] ਅਤੇ ਉਹ ਉਸ ਦੇ ਲਹੂ ਵਿੱਚੋਂ ਲੈ ਕੇ ਉਨ੍ਹਾਂ ਘਰਾਂ ਦੇ ਜਿੱਥੇ ਉਹ ਖਾਣਗੇ ਦੋਹੀਂ ਬਾਹੀਂ ਅਤੇ ਸੇਰੂ ਉੱਤੇ ਲਾਉਣ।
[IRV | PA | OT | Exodus | Chapter 12 | Verse 8] ਫੇਰ ਉਹ ਸ਼ਾਮ ਨੂੰ ਉਸੇ ਰਾਤ ਅੱਗ ਨਾਲ ਭੁੰਨ ਕੇ ਪਤੀਰੀ ਰੋਟੀ ਨਾਲ ਖਾਣ ਨਾਲੇ ਕੌੜੀ ਭਾਜੀ ਨਾਲ ਖਾਣ।
[IRV | PA | OT | Exodus | Chapter 12 | Verse 9] ਉਸ ਵਿੱਚੋਂ ਕੱਚਾ ਅਥਵਾ ਪਾਣੀ ਵਿੱਚ ਰਿੰਨ੍ਹਿਆ ਹੋਇਆ ਕਦੀ ਨਾ ਖਾਓ ਸਗੋਂ ਅੱਗ ਨਾਲ ਭੁੰਨਿਆ ਹੋਇਆ ਸਿਰ ਅਤੇ ਪੈਰਾਂ ਅਤੇ ਆਂਦਰਾਂ ਸਣੇ।
[IRV | PA | OT | Exodus | Chapter 12 | Verse 10] ਤੁਸੀਂ ਸਵੇਰ ਤੱਕ ਉਹ ਦੇ ਵਿੱਚੋਂ ਬਚਾ ਕੇ ਨਾ ਰੱਖਿਓ ਪਰ ਜੇ ਉਸ ਤੋਂ ਸਵੇਰ ਤੱਕ ਕੁਝ ਬਚ ਰਹੇ ਤਾਂ ਉਸ ਨੂੰ ਅੱਗ ਵਿੱਚ ਸਾੜ ਦਿਓ।
[IRV | PA | OT | Exodus | Chapter 12 | Verse 11] ਤੁਸੀਂ ਉਸ ਨੂੰ ਇਸ ਤਰ੍ਹਾਂ ਖਾਣਾ, ਆਪਣੇ ਲੱਕ ਬੰਨ੍ਹ ਕੇ ਅਤੇ ਆਪਣੀ ਜੁੱਤੀ ਪੈਰੀਂ ਪਾ ਕੇ ਅਤੇ ਆਪਣੀ ਲਾਠੀ ਆਪਣੇ ਹੱਥ ਵਿੱਚ ਲੈ ਕੇ ਉਹ ਨੂੰ ਛੇਤੀ-ਛੇਤੀ ਖਾਣਾ ਕਿਉਂਕਿ ਇਹ ਯਹੋਵਾਹ ਦਾ ਪਸਾਹ ਹੈ।
