[IRV | PA | OT | Exodus | Chapter 37 | Verse 1] ਬਸਲਏਲ ਨੇ ਸ਼ਿੱਟੀਮ ਦੀ ਲੱਕੜੀ ਦਾ ਇੱਕ ਸੰਦੂਕ ਬਣਾਇਆ ਜਿਸ ਦੀ ਲੰਬਾਈ ਢਾਈ ਹੱਥ ਚੌੜਾਈ ਡੇਢ ਹੱਥ ਅਤੇ ਉਚਾਈ ਡੇਢ ਹੱਥ ਸੀ।
[IRV | PA | OT | Exodus | Chapter 37 | Verse 2] ਅਤੇ ਉਸ ਨੇ ਉਸ ਨੂੰ ਅੰਦਰੋਂ ਬਾਹਰੋਂ ਕੁੰਦਨ ਸੋਨੇ ਨਾਲ ਮੜ੍ਹਿਆ ਅਤੇ ਉਸ ਦੇ ਉੱਤੇ ਚੁਫ਼ੇਰੇ ਸੋਨੇ ਦੀ ਬਨੇਰੀ ਬਣਾਈ
[IRV | PA | OT | Exodus | Chapter 37 | Verse 3] ਅਤੇ ਉਸ ਦੇ ਲਈ ਸੋਨੇ ਦੇ ਚਾਰ ਕੜੇ ਢਾਲ਼ ਕੇ ਉਸ ਦੀਆਂ ਚੌਹਾਂ ਨੁੱਕਰਾਂ ਉੱਤੇ ਬਣਾਏ ਅਰਥਾਤ ਦੋ ਕੜੇ ਇੱਕ ਪਾਸੇ ਅਤੇ ਦੋ ਕੜੇ ਦੂਜੇ ਪਾਸੇ।
[IRV | PA | OT | Exodus | Chapter 37 | Verse 4] ਅਤੇ ਉਸ ਨੇ ਸ਼ਿੱਟੀਮ ਦੀ ਲੱਕੜੀ ਦੀਆਂ ਚੋਬਾਂ ਬਣਾਈਆਂ ਅਤੇ ਉਨ੍ਹਾਂ ਉੱਤੇ ਸੋਨਾ ਮੜ੍ਹਿਆ।
[IRV | PA | OT | Exodus | Chapter 37 | Verse 5] ਉਸ ਨੇ ਉਨ੍ਹਾਂ ਚੋਬਾਂ ਨੂੰ ਸੰਦੂਕ ਦੇ ਪਾਸਿਆਂ ਦੇ ਕੜਿਆਂ ਵਿੱਚ ਪਾਇਆ ਤਾਂ ਜੋ ਉਨ੍ਹਾਂ ਨਾਲ ਸੰਦੂਕ ਚੁੱਕਿਆ ਜਾਵੇ।
[IRV | PA | OT | Exodus | Chapter 37 | Verse 6] ਅਤੇ ਉਸ ਨੇ ਪ੍ਰਾਸਚਿਤ ਦਾ ਸਰਪੋਸ਼ ਕੁੰਦਨ ਸੋਨੇ ਦਾ ਬਣਾਇਆ ਜਿਸ ਦੀ ਲੰਬਾਈ ਢਾਈ ਹੱਥ ਅਤੇ ਚੌੜਾਈ ਡੇਢ ਹੱਥ ਸੀ।
[IRV | PA | OT | Exodus | Chapter 37 | Verse 7] ਅਤੇ ਉਸ ਨੇ ਸੋਨੇ ਦੇ ਦੋ ਕਰੂਬੀ ਬਣਾਏ। ਉਸ ਨੇ ਉਨ੍ਹਾਂ ਨੂੰ ਘੜ੍ਹ ਕੇ ਪ੍ਰਾਸਚਿਤ ਦੇ ਸਰਪੋਸ਼ ਦੇ ਦੋਹਾਂ ਸਿਰਿਆਂ ਤੇ ਬਣਾਇਆ।
[IRV | PA | OT | Exodus | Chapter 37 | Verse 8] ਇੱਕ ਕਰੂਬੀ ਇੱਕ ਸਿਰੇ ਤੇ ਅਤੇ ਦੂਜਾ ਕਰੂਬੀ ਦੂਜੇ ਸਿਰੇ ਤੇ। ਉਸ ਨੇ ਕਰੂਬੀ ਪ੍ਰਾਸਚਿਤ ਦੇ ਸਰਪੋਸ਼ ਦੇ ਦੋਹਾਂ ਪਾਸਿਆਂ ਉੱਤੇ ਉਸੇ ਤੋਂ ਬਣਾਏ
[IRV | PA | OT | Exodus | Chapter 37 | Verse 9] ਅਤੇ ਉਹ ਕਰੂਬੀ ਆਪਣੇ ਖੰਭ ਉਤਾਹਾਂ ਨੂੰ ਖਿਲਾਰੇ ਹੋਏ ਸਨ ਅਤੇ ਉਨ੍ਹਾਂ ਦੇ ਖੰਭ ਪ੍ਰਾਸਚਿਤ ਦੇ ਸਰਪੋਸ਼ ਨੂੰ ਢੱਕਦੇ ਸਨ ਅਤੇ ਉਨ੍ਹਾਂ ਦੇ ਮੂੰਹ ਆਹਮੋ-ਸਾਹਮਣੇ ਸਨ ਅਤੇ ਕਰੂਬੀਆਂ ਦੇ ਮੂੰਹ ਪ੍ਰਾਸਚਿਤ ਦੇ ਸਰਪੋਸ਼ ਵੱਲ ਸਨ।
[IRV | PA | OT | Exodus | Chapter 37 | Verse 10] ਉਸ ਨੇ ਸ਼ਿੱਟੀਮ ਦੀ ਲੱਕੜੀ ਦਾ ਇੱਕ ਮੇਜ਼ ਬਣਾਇਆ। ਉਸ ਦੀ ਲੰਬਾਈ ਦੋ ਹੱਥ ਅਤੇ ਉਸ ਦੀ ਚੌੜਾਈ ਇੱਕ ਹੱਥ ਅਤੇ ਉਸ ਦੀ ਉਚਾਈ ਡੇਢ ਹੱਥ ਸੀ।
[IRV | PA | OT | Exodus | Chapter 37 | Verse 11] ਅਤੇ ਉਸ ਨੂੰ ਕੁੰਦਨ ਸੋਨੇ ਨਾਲ ਮੜ੍ਹਿਆ ਅਤੇ ਉਸ ਦੇ ਚੁਫ਼ੇਰੇ ਸੋਨੇ ਦੀ ਬਨੇਰੀ ਬਣਾਈ।
