[LXX | EL | OT | 3 Maccabees | Chapter 2 | Verse 1] Ὁ μὲν οὖν ἀρχιερεὺς Σίμων ἐξεναντίας τοῦ ναοῦ κάμψας τὰ γόνατα, καί τὰς χεῖρας προτείνας εὐτάκτως, ἐποιήσατο τὴν δέησιν τοιαύτην·
[LXX | EL | OT | 3 Maccabees | Chapter 2 | Verse 2] Κύριε Κύριε βασιλεῦ τῶν οὐρανῶν, καὶ Δέσποτα πάσης κτίσεως, ἅγιε ἐν ἁγίοις, μόναρχε, παντοκράτωρ, πρόσχες ἡμῖν καταπονουμένοις ὑπὸ ἀνοσίου καὶ βεβήλου θράσει καὶ σθένει πεφρυαγμένου.
[LXX | EL | OT | 3 Maccabees | Chapter 2 | Verse 3] Σὺ γὰρ ὁ κτίσας τὰ πάντα καὶ τῶν ὅλων ἐπικρατῶν δυνάστης δίκαιος εἶ, καὶ τοὺς ὕβρει καὶ ἀγερωχίᾳ πράσσοντάς τι κρίνεις.
[LXX | EL | OT | 3 Maccabees | Chapter 2 | Verse 4] Σὺ τοὺς ἔμπροσθεν ἀδικίαν ποιήσαντας, ἐν οἷς καὶ γίγαντες ἦσαν ῥώμῃ καὶ θράσει πεποιθότες, διέφθειρας, ἐπαγαγὼν αὐτοῖς ἀμέτρητον ὕδωρ.
[LXX | EL | OT | 3 Maccabees | Chapter 2 | Verse 5] Σὺ τοὺς ὑπερηφανίαν ἐργαζομένους Σοδομίτας, αιαδήλους ταῖς κακίαις γενομένους, πυρὶ καὶ θείῳ κατέφλεξας, παράδειγμα τοῖς ἐπιγινομένοις καταστήσας.
[LXX | EL | OT | 3 Maccabees | Chapter 2 | Verse 6] Σὺ τὸν θρασὺν Φαραὼ καταδουλωσάμενον τὸν λαόν σου τὸν ἅγιον Ἰσραὴλ, ποικίλαις καὶ πολλαῖς δοκιμάσας τιμωρίαις, ἐγνώρισας τὴν σὴν δυναστείαν· ἐφʼ αἷς ἐγνώρισας τὸ μέγα σου κράτος.
[LXX | EL | OT | 3 Maccabees | Chapter 2 | Verse 7] Καὶ ἐπιδιώξαντα αὐτὸν σὺν ἅρμασι καὶ ὄχλων πλήθει, ἐπέκλυσας βάθει θαλάσσης, τοὺς δὲ ἐνπιστεύσαντας ἐπὶ σοὶ τῷ τῆς ἁπάσης κτίσεως δυναστεύοντι, σώους διεκόμισας.
[LXX | EL | OT | 3 Maccabees | Chapter 2 | Verse 8] Οἳ καὶ συνειδότες ἔργα σῆς χειρός, ᾔνεσάν σε τὸν παντοκράτορα.
[LXX | EL | OT | 3 Maccabees | Chapter 2 | Verse 9] Σὺ, βασιλεῦ, κτίσας τὴν ἀπέραντον καὶ ἀμέτρητον γῆν, ἐξελέξω τὴν πόλιν ταύτην, καὶ ἁγιάσας τὸν τόπον τοῦτον εἰς ὄνομά σοι τῷ τῶν ἁπάντων ἀπροσδεεῖ, καὶ παρεδόξασας ἐν ἐπιφανείᾳ μεγαλοπρεπεῖ, σύστασιν ποιησάμενος αὐτοῦ πρὸς δόξαν τοῦ μεγάλου καὶ ἐντίμου ὀνόματός σου.
[LXX | EL | OT | 3 Maccabees | Chapter 2 | Verse 10] Καὶ ἀγαπῶν τὸν οἶκον τοῦ Ἰσραὴλ, ἐπηγγείλω δὴ ὃτι ἐὰν γένηται ἡμῶν ἀποστροφὴ, καὶ καταλάβῃ ἡμᾶς στενοχωρία, καὶ ἐλθόντες εἰς τὸν τόπον τοῦτου δεηθῶμεν, εἰσακούσῃ τῆς δεήσεως ἡμῶν.
[LXX | EL | OT | 3 Maccabees | Chapter 2 | Verse 11] Καὶ δὴ πιστὸς εἶ καὶ ἀληθινός.
[LXX | EL | OT | 3 Maccabees | Chapter 2 | Verse 12] Ἐπεὶ δὲ πλεονάκις θλιβέντων τῶν πατέρων ἡμῶν ἐβοήθησας αὐτοῖς ἐν τῇ ταπεινώσει, καὶ ἐῤῥύσω αὐτοὺς ἐκ μεγάλων κινδύνων,
[LXX | EL | OT | 3 Maccabees | Chapter 2 | Verse 13] ἰδοὺ δὴ νῦν, ἅγιε βασιλεῦ, διὰ τὰς πολλὰς καὶ μεγάλας ἡμῶν ἁμαρτίας καταπονούμεθα, καὶ ὑπετάγημεν τοῖς ἐχθροῖς ἡμῶν, καὶ παρείμεθα ἐν ἀδυναμίαις.
[LXX | EL | OT | 3 Maccabees | Chapter 2 | Verse 14] Ἐν δὲ τῇ ἡμετέρᾳ καταπτώσει ὁ θρασὺς καὶ βέβηλος οὗτος ἐπιτηδεύει καθυβρίσαι τὸν ἐπὶ τῆς γῆς ἀναδεδειγμένον τῷ ὀνόματι τῆς δόξης σου ἅγιον τόπον.
[LXX | EL | OT | 3 Maccabees | Chapter 2 | Verse 15] Τὸ μὲν γὰρ οἰκητήριόν σου οὐρανὸς τοῦ οὐρανοῦ ἀνέφικτος ἀνθρώποις ἐστίν.
[LXX | EL | OT | 3 Maccabees | Chapter 2 | Verse 16] Ἀλλαʼ ἐπεὶ εὐδόκησας τὴν δόξαν σου ἐν τῷ λαῷ σου Ἰσραὴλ, ἡγίασας τὸν τόπον τοῦτον.
