[ERV | EN | NT | Acts | Chapter 24 | Verse 1] And after five days the high priest Ananias came down with certain elders, and with an orator, one Tertullus; and they informed the governor against Paul.
[ERV | EN | NT | Acts | Chapter 24 | Verse 2] And when he was called, Tertullus began to accuse him, saying, Seeing that by thee we enjoy much peace, and that by thy providence evils are corrected for this nation,
[ERV | EN | NT | Acts | Chapter 24 | Verse 3] we accept it in all ways and in all places, most excellent Felix, with all thankfulness.
[ERV | EN | NT | Acts | Chapter 24 | Verse 4] But, that I be not further tedious unto thee, I entreat thee to hear us of thy clemency a few words.
[ERV | EN | NT | Acts | Chapter 24 | Verse 5] For we have found this man a pestilent fellow, and a mover of insurrections among all the Jews throughout the world, and a ringleader of the sect of the Nazarenes:
[ERV | EN | NT | Acts | Chapter 24 | Verse 6] who moreover assayed to profane the temple: on whom also we laid hold:
[ERV | EN | NT | Acts | Chapter 24 | Verse 7] + 24:7 Some ancient authorities insert and we would have judged him according to our law. 7 But the chief captain Lysias came, and with great violence took him away out of our hands, 8 commanding his accusers to come before thee.
[ERV | EN | NT | Acts | Chapter 24 | Verse 8] from whom thou wilt be able, by examining him thyself, to take knowledge of all these things, whereof we accuse him.
[ERV | EN | NT | Acts | Chapter 24 | Verse 9] And the Jews also joined in the charge, affirming that these things were so.
[ERV | EN | NT | Acts | Chapter 24 | Verse 10] And when the governor had beckoned unto him to speak, Paul answered, Forasmuch as I know that thou hast been of many years a judge unto this nation, I do cheerfully make my defence:
[ERV | EN | NT | Acts | Chapter 24 | Verse 11] seeing that thou canst take knowledge, that it is not more than twelve days since I went up to worship at Jerusalem:
[ERV | EN | NT | Acts | Chapter 24 | Verse 12] and neither in the temple did they find me disputing with any man or stirring up a crowd, nor in the synagogues, nor in the city.
[ERV | EN | NT | Acts | Chapter 24 | Verse 13] Neither can they prove to thee the things whereof they now accuse me.
[ERV | EN | NT | Acts | Chapter 24 | Verse 14] But this I confess unto thee, that after the Way which they call a sect, so serve I the God of our fathers, believing all things which are according to the law, and which are written in the prophets:
[ERV | EN | NT | Acts | Chapter 24 | Verse 15] having hope toward God, which these also themselves look for, that there shall be a resurrection both of the just and unjust.
[ERV | EN | NT | Acts | Chapter 24 | Verse 16] Herein do I also exercise myself to have a conscience void of offence toward God and men alway.
[ERV | EN | NT | Acts | Chapter 24 | Verse 17] Now after many years I came to bring alms to my nation, and offerings:
[ERV | EN | NT | Acts | Chapter 24 | Verse 18] amidst which they found me purified in the temple, with no crowd, nor yet with tumult: but there were certain Jews from Asia—
[ERV | EN | NT | Acts | Chapter 24 | Verse 19] who ought to have been here before thee, and to make accusation, if they had aught against me.
[ERV | EN | NT | Acts | Chapter 24 | Verse 20] Or else let these men themselves say what wrong-doing they found, when I stood before the council,
[ERV | EN | NT | Acts | Chapter 24 | Verse 21] except it be for this one voice, that I cried standing among them, Touching the resurrection of the dead I am called in question before you this day.
[ERV | EN | NT | Acts | Chapter 24 | Verse 22] But Felix, having more exact knowledge concerning the Way, deferred them, saying, When Lysias the chief captain shall come down, I will determine your matter.
[ERV | EN | NT | Acts | Chapter 24 | Verse 23] And he gave order to the centurion that he should be kept in charge, and should have indulgence; and not to forbid any of his friends to minister unto him.
[ERV | EN | NT | Acts | Chapter 24 | Verse 24] But after certain days, Felix came with Drusilla, his wife, which was a Jewess, and sent for Paul, and heard him concerning the faith in Christ Jesus.
[ERV | EN | NT | Acts | Chapter 24 | Verse 25] And as he reasoned of righteousness, and temperance, and the judgment to come, Felix was terrified, and answered, Go thy way for this time; and when I have a convenient season, I will call thee unto me.
[ERV | EN | NT | Acts | Chapter 24 | Verse 26] He hoped withal that money would be given him of Paul: wherefore also he sent for him the oftener, and communed with him.
[ERV | EN | NT | Acts | Chapter 24 | Verse 27] But when two years were fulfilled, Felix was succeeded by Porcius Festus; and desiring to gain favour with the Jews, Felix left Paul in bonds.
