[ERV | EN | NT | Acts | Chapter 12 | Verse 1] Now about that time Herod the king put forth his hands to afflict certain of the church.
[ERV | EN | NT | Acts | Chapter 12 | Verse 2] And he killed James the brother of John with the sword.
[ERV | EN | NT | Acts | Chapter 12 | Verse 3] And when he saw that it pleased the Jews, he proceeded to seize Peter also. And those were the days of unleavened bread.
[ERV | EN | NT | Acts | Chapter 12 | Verse 4] And when he had taken him, he put him in prison, and delivered him to four quaternions of soldiers to guard him; intending after the Passover to bring him forth to the people.
[ERV | EN | NT | Acts | Chapter 12 | Verse 5] Peter therefore was kept in the prison: but prayer was made earnestly of the church unto God for him.
[ERV | EN | NT | Acts | Chapter 12 | Verse 6] And when Herod was about to bring him forth, the same night Peter was sleeping between two soldiers, bound with two chains: and guards before the door kept the prison.
[ERV | EN | NT | Acts | Chapter 12 | Verse 7] And behold, an angel of the Lord stood by him, and a light shined in the cell: and he smote Peter on the side, and awoke him, saying, Rise up quickly. And his chains fell off from his hands.
[ERV | EN | NT | Acts | Chapter 12 | Verse 8] And the angel said unto him, Gird thyself, and bind on thy sandals. And he did so. And he saith unto him, Cast thy garment about thee, and follow me.
[ERV | EN | NT | Acts | Chapter 12 | Verse 9] And he went out, and followed; and he wist not that it was true which was done by the angel, but thought he saw a vision.
[ERV | EN | NT | Acts | Chapter 12 | Verse 10] And when they were past the first and the second ward, they came unto the iron gate that leadeth into the city; which opened to them of its own accord: and they went out, and passed on through one street; and straightway the angel departed from him.
[ERV | EN | NT | Acts | Chapter 12 | Verse 11] And when Peter was come to himself, he said, Now I know of a truth, that the Lord hath sent forth his angel and delivered me out of the hand of Herod, and from all the expectation of the people of the Jews.
[ERV | EN | NT | Acts | Chapter 12 | Verse 12] And when he had considered the thing, he came to the house of Mary the mother of John whose surname was Mark; where many were gathered together and were praying.
[ERV | EN | NT | Acts | Chapter 12 | Verse 13] And when he knocked at the door of the gate, a maid came to answer, named Rhoda.
[ERV | EN | NT | Acts | Chapter 12 | Verse 14] And when she knew Peter’s voice, she opened not the gate for joy, but ran in, and told that Peter stood before the gate.
[ERV | EN | NT | Acts | Chapter 12 | Verse 15] And they said unto her, Thou art mad. But she confidently affirmed that it was even so. And they said, It is his angel.
[ERV | EN | NT | Acts | Chapter 12 | Verse 16] But Peter continued knocking: and when they had opened, they saw him, and were amazed.
[ERV | EN | NT | Acts | Chapter 12 | Verse 17] But he, beckoning unto them with the hand to hold their peace, declared unto them how the Lord had brought him forth out of the prison. And he said, Tell these things unto James, and to the brethren. And he departed, and went to another place.
[ERV | EN | NT | Acts | Chapter 12 | Verse 18] Now as soon as it was day, there was no small stir among the soldiers, what was become of Peter.
[ERV | EN | NT | Acts | Chapter 12 | Verse 19] And when Herod had sought for him, and found him not, he examined the guards, and commanded that they should be put to death. And he went down from Judaea to Caesarea, and tarried there.
[ERV | EN | NT | Acts | Chapter 12 | Verse 20] Now he was highly displeased with them of Tyre and Sidon: and they came with one accord to him, and, having made Blastus the king’s chamberlain their friend, they asked for peace, because their country was fed from the king’s country.
[ERV | EN | NT | Acts | Chapter 12 | Verse 21] And upon a set day Herod arrayed himself in royal apparel, and sat on the throne, and made an oration unto them.
[ERV | EN | NT | Acts | Chapter 12 | Verse 22] And the people shouted, saying, The voice of a god, and not of a man.
[ERV | EN | NT | Acts | Chapter 12 | Verse 23] And immediately an angel of the Lord smote him, because he gave not God the glory: and he was eaten of worms, and gave up the ghost.
[ERV | EN | NT | Acts | Chapter 12 | Verse 24] But the word of God grew and multiplied.
[ERV | EN | NT | Acts | Chapter 12 | Verse 25] And Barnabas and Saul returned from Jerusalem, when they had fulfilled their ministration, taking with them John whose surname was Mark.
