[ERV | EN | NT | Acts | Chapter 10 | Verse 1] Now there was a certain man in Caesarea, Cornelius by name, a centurion of the band called the Italian band,
[ERV | EN | NT | Acts | Chapter 10 | Verse 2] a devout man, and one that feared God with all his house, who gave much alms to the people, and prayed to God alway.
[ERV | EN | NT | Acts | Chapter 10 | Verse 3] He saw in a vision openly, as it were about the ninth hour of the day, an angel of God coming in unto him, and saying to him, Cornelius.
[ERV | EN | NT | Acts | Chapter 10 | Verse 4] And he, fastening his eyes upon him, and being affrighted, said, What is it, Lord? And he said unto him, Thy prayers and thine alms are gone up for a memorial before God.
[ERV | EN | NT | Acts | Chapter 10 | Verse 5] And now send men to Joppa, and fetch one Simon, who is surnamed Peter:
[ERV | EN | NT | Acts | Chapter 10 | Verse 6] he lodgeth with one Simon a tanner, whose house is by the sea side.
[ERV | EN | NT | Acts | Chapter 10 | Verse 7] And when the angel that spake unto him was departed, he called two of his household-servants, and a devout soldier of them that waited on him continually;
[ERV | EN | NT | Acts | Chapter 10 | Verse 8] and having rehearsed all things unto them, he sent them to Joppa.
[ERV | EN | NT | Acts | Chapter 10 | Verse 9] Now on the morrow, as they were on their journey, and drew nigh unto the city, Peter went up upon the housetop to pray, about the sixth hour:
[ERV | EN | NT | Acts | Chapter 10 | Verse 10] and he became hungry, and desired to eat: but while they made ready, he fell into a trance;
[ERV | EN | NT | Acts | Chapter 10 | Verse 11] and he beholdeth the heaven opened, and a certain vessel descending, as it were a great sheet, let down by four corners upon the earth:
[ERV | EN | NT | Acts | Chapter 10 | Verse 12] wherein were all manner of fourfooted beasts and creeping things of the earth and fowls of the heaven.
[ERV | EN | NT | Acts | Chapter 10 | Verse 13] And there came a voice to him, Rise, Peter; kill and eat.
[ERV | EN | NT | Acts | Chapter 10 | Verse 14] But Peter said, Not so, Lord; for I have never eaten anything that is common and unclean.
[ERV | EN | NT | Acts | Chapter 10 | Verse 15] And a voice came unto him again the second time, What God hath cleansed, make not thou common.
[ERV | EN | NT | Acts | Chapter 10 | Verse 16] And this was done thrice: and straightway the vessel was received up into heaven.
[ERV | EN | NT | Acts | Chapter 10 | Verse 17] Now while Peter was much perplexed in himself what the vision which he had seen might mean, behold, the men that were sent by Cornelius, having made inquiry for Simon’s house, stood before the gate,
[ERV | EN | NT | Acts | Chapter 10 | Verse 18] and called and asked whether Simon, which was surnamed Peter, were lodging there.
[ERV | EN | NT | Acts | Chapter 10 | Verse 19] And while Peter thought on the vision, the Spirit said unto him, Behold, three men seek thee.
[ERV | EN | NT | Acts | Chapter 10 | Verse 20] But arise, and get thee down, and go with them, nothing doubting: for I have sent them.
[ERV | EN | NT | Acts | Chapter 10 | Verse 21] And Peter went down to the men, and said, Behold, I am he whom ye seek: what is the cause wherefore ye are come?
[ERV | EN | NT | Acts | Chapter 10 | Verse 22] And they said, Cornelius a centurion, a righteous man and one that feareth God, and well reported of by all the nation of the Jews, was warned of God by a holy angel to send for thee into his house, and to hear words from thee.
