[ERV | EN | NT | Acts | Chapter 18 | Verse 1] After these things he departed from Athens, and came to Corinth.
[ERV | EN | NT | Acts | Chapter 18 | Verse 2] And he found a certain Jew named Aquila, a man of Pontus by race, lately come from Italy, with his wife Priscilla, because Claudius had commanded all the Jews to depart from Rome: and he came unto them;
[ERV | EN | NT | Acts | Chapter 18 | Verse 3] and because he was of the same trade, he abode with them, and they wrought; for by their trade they were tentmakers.
[ERV | EN | NT | Acts | Chapter 18 | Verse 4] And he reasoned in the synagogue every sabbath, and persuaded Jews and Greeks.
[ERV | EN | NT | Acts | Chapter 18 | Verse 5] But when Silas and Timothy came down from Macedonia, Paul was constrained by the word, testifying to the Jews that Jesus was the Christ.
[ERV | EN | NT | Acts | Chapter 18 | Verse 6] And when they opposed themselves, and blasphemed, he shook out his raiment, and said unto them, Your blood be upon your own heads; I am clean: from henceforth I will go unto the Gentiles.
[ERV | EN | NT | Acts | Chapter 18 | Verse 7] And he departed thence, and went into the house of a certain man named Titus Justus, one that worshipped God, whose house joined hard to the synagogue.
[ERV | EN | NT | Acts | Chapter 18 | Verse 8] And Crispus, the ruler of the synagogue, believed in the Lord with all his house; and many of the Corinthians hearing believed, and were baptized.
[ERV | EN | NT | Acts | Chapter 18 | Verse 9] And the Lord said unto Paul in the night by a vision, Be not afraid, but speak, and hold not thy peace:
[ERV | EN | NT | Acts | Chapter 18 | Verse 10] for I am with thee, and no man shall set on thee to harm thee: for I have much people in this city.
[ERV | EN | NT | Acts | Chapter 18 | Verse 11] And he dwelt there a year and six months, teaching the word of God among them.
[ERV | EN | NT | Acts | Chapter 18 | Verse 12] But when Gallio was proconsul of Achaia, the Jews with one accord rose up against Paul, and brought him before the judgment-seat,
[ERV | EN | NT | Acts | Chapter 18 | Verse 13] saying, This man persuadeth men to worship God contrary to the law.
[ERV | EN | NT | Acts | Chapter 18 | Verse 14] But when Paul was about to open his mouth, Gallio said unto the Jews, If indeed it were a matter of wrong or of wicked villany, O ye Jews, reason would that I should bear with you:
[ERV | EN | NT | Acts | Chapter 18 | Verse 15] but if they are questions about words and names and your own law, look to it yourselves; I am not minded to be a judge of these matters.
[ERV | EN | NT | Acts | Chapter 18 | Verse 16] And he drave them from the judgment-seat.
[ERV | EN | NT | Acts | Chapter 18 | Verse 17] And they all laid hold on Sosthenes, the ruler of the synagogue, and beat him before the judgment-seat. And Gallio cared for none of these things.
[ERV | EN | NT | Acts | Chapter 18 | Verse 18] And Paul, having tarried after this yet many days, took his leave of the brethren, and sailed thence for Syria, and with him Priscilla and Aquila; having shorn his head in Cenchreae: for he had a vow.
[ERV | EN | NT | Acts | Chapter 18 | Verse 19] And they came to Ephesus, and he left them there: but he himself entered into the synagogue, and reasoned with the Jews.
[ERV | EN | NT | Acts | Chapter 18 | Verse 20] And when they asked him to abide a longer time, he consented not;
[ERV | EN | NT | Acts | Chapter 18 | Verse 21] but taking his leave of them, and saying, I will return again unto you, if God will, he set sail from Ephesus.
[ERV | EN | NT | Acts | Chapter 18 | Verse 22] And when he had landed at Caesarea, he went up and saluted the church, and went down to Antioch.
[ERV | EN | NT | Acts | Chapter 18 | Verse 23] And having spent some time there, he departed, and went through the region of Galatia and Phrygia in order, stablishing all the disciples.
[ERV | EN | NT | Acts | Chapter 18 | Verse 24] Now a certain Jew named Apollos, an Alexandrian by race, a learned man, came to Ephesus; and he was mighty in the scriptures.
[ERV | EN | NT | Acts | Chapter 18 | Verse 25] This man had been instructed in the way of the Lord; and being fervent in spirit, he spake and taught carefully the things concerning Jesus, knowing only the baptism of John:
[ERV | EN | NT | Acts | Chapter 18 | Verse 26] and he began to speak boldly in the synagogue. But when Priscilla and Aquila heard him, they took him unto them, and expounded unto him the way of God more carefully.
[ERV | EN | NT | Acts | Chapter 18 | Verse 27] And when he was minded to pass over into Achaia, the brethren encouraged him, and wrote to the disciples to receive him: and when he was come, he helped them much which had believed through grace:
[ERV | EN | NT | Acts | Chapter 18 | Verse 28] for he powerfully confuted the Jews, and that publicly, shewing by the scriptures that Jesus was the Christ.
