[ASV | EN | OT | 1 Kings | Chapter 4 | Verse 1] And king Solomon was king over all Israel.
[ASV | EN | OT | 1 Kings | Chapter 4 | Verse 2] And these were the princes whom he had: Azariah the son of Zadok, the priest;
[ASV | EN | OT | 1 Kings | Chapter 4 | Verse 3] Elihoreph and Ahijah, the sons of Shisha, scribes; Jehoshaphat the son of Ahilud, the recorder;
[ASV | EN | OT | 1 Kings | Chapter 4 | Verse 4] and Benaiah the son of Jehoiada was over the host; and Zadok and Abiathar were priests;
[ASV | EN | OT | 1 Kings | Chapter 4 | Verse 5] and Azariah the son of Nathan was over the officers; and Zabud the son of Nathan was chief minister, and the king’s friend;
[ASV | EN | OT | 1 Kings | Chapter 4 | Verse 6] and Ahishar was over the household; and Adoniram the son of Abda was over the men subject to taskwork.
[ASV | EN | OT | 1 Kings | Chapter 4 | Verse 7] And Solomon had twelve officers over all Israel, who provided victuals for the king and his household: each man had to make provision for a month in the year.
[ASV | EN | OT | 1 Kings | Chapter 4 | Verse 8] And these are their names: Ben-hur, in the hill country of Ephraim;
[ASV | EN | OT | 1 Kings | Chapter 4 | Verse 9] Ben-deker, in Makaz, and in Shaalbim, and Beth-shemesh, and Elon-beth-hanan;
[ASV | EN | OT | 1 Kings | Chapter 4 | Verse 10] Ben-hesed, in Arubboth (to him pertained Socoh, and all the land of Hepher);
[ASV | EN | OT | 1 Kings | Chapter 4 | Verse 11] Ben-abinadab, in all the height of Dor (he had Taphath the daughter of Solomon to wife);
[ASV | EN | OT | 1 Kings | Chapter 4 | Verse 12] Baana the son of Ahilud, in Taanach and Megiddo, and all Beth-shean which is beside Zarethan, beneath Jezreel, from Beth-shean to Abel-meholah, as far as beyond Jokmeam;
[ASV | EN | OT | 1 Kings | Chapter 4 | Verse 13] Ben-geber, in Ramoth-gilead (to him pertained the towns of Jair the son of Manasseh, which are in Gilead; even to him pertained the region of Argob, which is in Bashan, threescore great cities with walls and brazen bars);
[ASV | EN | OT | 1 Kings | Chapter 4 | Verse 14] Ahinadab the son of Iddo, in Mahanaim;
[ASV | EN | OT | 1 Kings | Chapter 4 | Verse 15] Ahimaaz, in Naphtali (he also took Basemath the daughter of Solomon to wife);
[ASV | EN | OT | 1 Kings | Chapter 4 | Verse 16] Baana the son of Hushai, in Asher and Bealoth;
[ASV | EN | OT | 1 Kings | Chapter 4 | Verse 17] Jehoshaphat the son of Paruah, in Issachar;
[ASV | EN | OT | 1 Kings | Chapter 4 | Verse 18] Shimei the son of Ela, in Benjamin;
[ASV | EN | OT | 1 Kings | Chapter 4 | Verse 19] Geber the son of Uri, in the land of Gilead, the country of Sihon king of the Amorites and of Og king of Bashan; and he was the only officer that was in the land.
[ASV | EN | OT | 1 Kings | Chapter 4 | Verse 20] Judah and Israel were many as the sand which is by the sea in multitude, eating and drinking and making merry.
