[ASV | EN | OT | 1 Kings | Chapter 20 | Verse 1] And Ben-hadad the king of Syria gathered all his host together; and there were thirty and two kings with him, and horses and chariots: and he went up and besieged Samaria, and fought against it.
[ASV | EN | OT | 1 Kings | Chapter 20 | Verse 2] And he sent messengers to Ahab king of Israel, into the city, and said unto him, Thus saith Ben-hadad,
[ASV | EN | OT | 1 Kings | Chapter 20 | Verse 3] Thy silver and thy gold is mine; thy wives also and thy children, even the goodliest, are mine.
[ASV | EN | OT | 1 Kings | Chapter 20 | Verse 4] And the king of Israel answered and said, It is according to thy saying, my lord, O king; I am thine, and all that I have.
[ASV | EN | OT | 1 Kings | Chapter 20 | Verse 5] And the messengers came again, and said, Thus speaketh Ben-hadad, saying, I sent indeed unto thee, saying, Thou shalt deliver me thy silver, and thy gold, and thy wives, and thy children;
[ASV | EN | OT | 1 Kings | Chapter 20 | Verse 6] but I will send my servants unto thee tomorrow about this time, and they shall search thy house, and the houses of thy servants; and it shall be, that whatsoever is pleasant in thine eyes, they shall put it in their hand, and take it away.
[ASV | EN | OT | 1 Kings | Chapter 20 | Verse 7] Then the king of Israel called all the elders of the land, and said, Mark, I pray you, and see how this man seeketh mischief: for he sent unto me for my wives, and for my children, and for my silver, and for my gold; and I denied him not.
[ASV | EN | OT | 1 Kings | Chapter 20 | Verse 8] And all the elders and all the people said unto him, Hearken thou not, neither consent.
[ASV | EN | OT | 1 Kings | Chapter 20 | Verse 9] Wherefore he said unto the messengers of Ben-hadad, Tell my lord the king, All that thou didst send for to thy servant at the first I will do; but this thing I may not do. And the messengers departed, and brought him word again.
[ASV | EN | OT | 1 Kings | Chapter 20 | Verse 10] And Ben-hadad sent unto him, and said, The gods do so unto me, and more also, if the dust of Samaria shall suffice for handfuls for all the people that follow me.
[ASV | EN | OT | 1 Kings | Chapter 20 | Verse 11] And the king of Israel answered and said, Tell him, Let not him that girdeth on his armor boast himself as he that putteth it off.
[ASV | EN | OT | 1 Kings | Chapter 20 | Verse 12] And it came to pass, when Ben-hadad heard this message, as he was drinking, he and the kings, in the pavilions, that he said unto his servants, Set yourselves in array. And they set themselves in array against the city.
[ASV | EN | OT | 1 Kings | Chapter 20 | Verse 13] And, behold, a prophet came near unto Ahab king of Israel, and said, Thus saith Jehovah, Hast thou seen all this great multitude? behold, I will deliver it into thy hand this day; and thou shalt know that I am Jehovah.
[ASV | EN | OT | 1 Kings | Chapter 20 | Verse 14] And Ahab said, By whom? And he said, Thus saith Jehovah, By the young men of the princes of the provinces. Then he said, Who shall begin the battle? And he answered, Thou.
[ASV | EN | OT | 1 Kings | Chapter 20 | Verse 15] Then he mustered the young men of the princes of the provinces, and they were two hundred and thirty-two: and after them he mustered all the people, even all the children of Israel, being seven thousand.
[ASV | EN | OT | 1 Kings | Chapter 20 | Verse 16] And they went out at noon. But Ben-hadad was drinking himself drunk in the pavilions, he and the kings, the thirty and two kings that helped him.
