[ERV | EN | OT | 1 Samuel | Chapter 23 | Verse 1] And they told David, saying, Behold, the Philistines are fighting against Keilah, and they rob the threshing-floors.
[ERV | EN | OT | 1 Samuel | Chapter 23 | Verse 2] Therefore David inquired of the LORD, saying, Shall I go and smite these Philistines? And the LORD said unto David, Go, and smite the Philistines, and save Keilah.
[ERV | EN | OT | 1 Samuel | Chapter 23 | Verse 3] And David’s men said unto him, Behold, we be afraid here in Judah: how much more then if we go to Keilah against the armies of the Philistines?
[ERV | EN | OT | 1 Samuel | Chapter 23 | Verse 4] Then David inquired of the LORD yet again. And the LORD answered him and said, Arise, go down to Keilah; for I will deliver the Philistines into thine hand.
[ERV | EN | OT | 1 Samuel | Chapter 23 | Verse 5] And David and his men went to Keilah, and fought with the Philistines, and brought away their cattle, and slew therewith a great slaughter. So David saved the inhabitants of Keilah.
[ERV | EN | OT | 1 Samuel | Chapter 23 | Verse 6] And it came to pass, when Abiathar the son of Ahimelech fled to David to Keilah, that he came down with an ephod in his hand.
[ERV | EN | OT | 1 Samuel | Chapter 23 | Verse 7] And it was told Saul that David was come to Keilah. And Saul said, God hath delivered him into mine hand; for he is shut in, by entering into a town that hath gates and bars.
[ERV | EN | OT | 1 Samuel | Chapter 23 | Verse 8] And Saul summoned all the people to war, to go down to Keilah, to besiege David and his men.
[ERV | EN | OT | 1 Samuel | Chapter 23 | Verse 9] And David knew that Saul devised mischief against him; and he said to Abiathar the priest, Bring hither the ephod.
[ERV | EN | OT | 1 Samuel | Chapter 23 | Verse 10] Then said David, O LORD, the God of Israel, thy servant hath surely heard that Saul seeketh to come to Keilah, to destroy the city for my sake.
[ERV | EN | OT | 1 Samuel | Chapter 23 | Verse 11] Will the men of Keilah deliver me up into his hand? will Saul come down, as thy servant hath heard? O LORD, the God of Israel, I beseech thee, tell thy servant. And the LORD said, He will come down.
[ERV | EN | OT | 1 Samuel | Chapter 23 | Verse 12] Then said David, Will the men of Keilah deliver up me and my men into the hand of Saul? And the LORD said, They will deliver thee up.
[ERV | EN | OT | 1 Samuel | Chapter 23 | Verse 13] Then David and his men, which were about six hundred, arose and departed out of Keilah, and went whithersoever they could go. And it was told Saul that David was escaped from Keilah; and he forbare to go forth.
[ERV | EN | OT | 1 Samuel | Chapter 23 | Verse 14] And David abode in the wilderness in the strong holds, and remained in the hill country in the wilderness of Ziph. And Saul sought him every day, but God delivered him not into his hand.
[ERV | EN | OT | 1 Samuel | Chapter 23 | Verse 15] And David saw that Saul was come out to seek his life: and David was in the wilderness of Ziph in the wood.
[ERV | EN | OT | 1 Samuel | Chapter 23 | Verse 16] And Jonathan Saul’s son arose, and went to David into the wood, and strengthened his hand in God.
[ERV | EN | OT | 1 Samuel | Chapter 23 | Verse 17] And he said unto him, Fear not: for the hand of Saul my father shall not find thee; and thou shalt be king over Israel, and I shall be next unto thee; and that also Saul my father knoweth.
[ERV | EN | OT | 1 Samuel | Chapter 23 | Verse 18] And they two made a covenant before the LORD: and David abode in the wood, and Jonathan went to his house.
[ERV | EN | OT | 1 Samuel | Chapter 23 | Verse 19] Then came up the Ziphites to Saul to Gibeah, saying, Doth not David hide himself with us in the strong holds in the wood, in the hill of Hachilah, which is on the south of the desert?
[ERV | EN | OT | 1 Samuel | Chapter 23 | Verse 20] Now therefore, O king, come down, according to all the desire of thy soul to come down; and our part shall be to deliver him up into the king’s hand.
[ERV | EN | OT | 1 Samuel | Chapter 23 | Verse 21] And Saul said, Blessed be ye of the LORD; for ye have had compassion on me.
[ERV | EN | OT | 1 Samuel | Chapter 23 | Verse 22] Go, I pray you, make yet more sure, and know and see his place where his haunt is, and who hath seen him there: for it is told me that he dealeth very subtilly.
[ERV | EN | OT | 1 Samuel | Chapter 23 | Verse 23] See therefore, and take knowledge of all the lurking places where he hideth himself, and come ye again to me of a certainty, and I will go with you: and it shall come to pass, if he be in the land, that I will search him out among all the thousands of Judah.
[ERV | EN | OT | 1 Samuel | Chapter 23 | Verse 24] And they arose, and went to Ziph before Saul: but David and his men were in the wilderness of Maon, in the Arabah on the south of the desert.
[ERV | EN | OT | 1 Samuel | Chapter 23 | Verse 25] And Saul and his men went to seek him. And they told David: wherefore he came down to the rock, and abode in the wilderness of Maon. And when Saul heard that, he pursued after David in the wilderness of Maon.
[ERV | EN | OT | 1 Samuel | Chapter 23 | Verse 26] And Saul went on this side of the mountain, and David and his men on that side of the mountain: and David made haste to get away for fear of Saul; for Saul and his men compassed David and his men round about to take them.
[ERV | EN | OT | 1 Samuel | Chapter 23 | Verse 27] But there came a messenger unto Saul, saying, Haste thee, and come; for the Philistines have made a raid upon the land.
[ERV | EN | OT | 1 Samuel | Chapter 23 | Verse 28] So Saul returned from pursuing after David, and went against the Philistines: therefore they called that place Sela-hammahlekoth.
[ERV | EN | OT | 1 Samuel | Chapter 23 | Verse 29] And David went up from thence, and dwelt in the strong holds of En-gedi.
