[OEB | EN | NT | Romans | Chapter 3 | Verse 1] What is the advantage, then, of being a Jew? Or what is the good of circumcision?
[OEB | EN | NT | Romans | Chapter 3 | Verse 2] Great in every way. First of all, because the Jews were entrusted with God’s utterances.
[OEB | EN | NT | Romans | Chapter 3 | Verse 3] What follows then? Some, no doubt, showed a want of faith; but will their want of faith make God break faith? Heaven forbid!
[OEB | EN | NT | Romans | Chapter 3 | Verse 4] God must prove true, though everyone prove a liar! As scripture says of God – “That you may be pronounced righteous in what you say, and gain your cause when people would judge you.”
[OEB | EN | NT | Romans | Chapter 3 | Verse 5] But what if our wrongdoing makes God’s righteousness all the clearer? Will God be wrong in inflicting punishment? (I can but speak as a person.) Heaven forbid!
[OEB | EN | NT | Romans | Chapter 3 | Verse 6] Otherwise how can God judge the world?
[OEB | EN | NT | Romans | Chapter 3 | Verse 7] But, if my falsehood redounds to the glory of God, by making his truthfulness more apparent, why am I like others, still condemned as a sinner?
[OEB | EN | NT | Romans | Chapter 3 | Verse 8] Why should we not say – as some people slanderously assert that we do say – “Let us do evil that good may come”? The condemnation of such people is indeed just!
[OEB | EN | NT | Romans | Chapter 3 | Verse 9] What follows, then? Are we Jews in any way superior to others? Not at all. Our indictment against both Jews and Greeks was that all alike were in subjection to sin.
[OEB | EN | NT | Romans | Chapter 3 | Verse 10] As scripture says – “There is not even one who is righteous,
[OEB | EN | NT | Romans | Chapter 3 | Verse 11] not one who understands, not one who is searching for God!
[OEB | EN | NT | Romans | Chapter 3 | Verse 12] They have all gone astray; they have one and all become depraved; there is no one who is doing good – no, not one!”
[OEB | EN | NT | Romans | Chapter 3 | Verse 13] “Their throats are like opened graves; they deceive with their tongues.” “The venom of snakes lies behind their lips,”
[OEB | EN | NT | Romans | Chapter 3 | Verse 14] “And their mouths are full of bitter curses.”
[OEB | EN | NT | Romans | Chapter 3 | Verse 15] “Swift are their feet to shed blood.
[OEB | EN | NT | Romans | Chapter 3 | Verse 16] Distress and trouble dog their steps,
[OEB | EN | NT | Romans | Chapter 3 | Verse 17] and the path of peace they do not know.”
[OEB | EN | NT | Romans | Chapter 3 | Verse 18] “The fear of God is not before their eyes.”
[OEB | EN | NT | Romans | Chapter 3 | Verse 19] Now we know that everything said in the Law is addressed to those who are under its authority, in order that every mouth may be closed, and to bring the whole world under God’s judgment.
[OEB | EN | NT | Romans | Chapter 3 | Verse 20] For no human being will be pronounced righteous before God as the result of obedience to Law; for it is Law that shows what sin is.
[OEB | EN | NT | Romans | Chapter 3 | Verse 21] But now, quite apart from Law, the divine righteousness stands revealed, and to it the Law and the prophets bear witness –
[OEB | EN | NT | Romans | Chapter 3 | Verse 22] the divine righteousness which is bestowed, through faith in Jesus Christ, on all, without distinction, who believe in him.
[OEB | EN | NT | Romans | Chapter 3 | Verse 23] For all have sinned, and all fall short of God’s glorious ideal,
[OEB | EN | NT | Romans | Chapter 3 | Verse 24] but, in his loving kindness, are being freely pronounced righteous through the deliverance found in Christ Jesus.
[OEB | EN | NT | Romans | Chapter 3 | Verse 25] For God set him before the world, to be, by the shedding of his blood, a means of reconciliation through faith. And this God did to prove his righteousness, and because, in his forbearance, he had passed over the sins that people had previously committed;
[OEB | EN | NT | Romans | Chapter 3 | Verse 26] as a proof, I repeat, at the present time, of his own righteousness, that he might be righteous in our eyes, and might pronounce righteous the person who takes their stand on faith in Jesus.
[OEB | EN | NT | Romans | Chapter 3 | Verse 27] What, then, becomes of our boasting? It is excluded. By what sort of Law? A Law requiring obedience? No, a Law requiring faith.
[OEB | EN | NT | Romans | Chapter 3 | Verse 28] For we conclude that a person is pronounced righteous on the ground of faith, quite apart from obedience to Law.
[OEB | EN | NT | Romans | Chapter 3 | Verse 29] Or can it be that God is the God only of the Jews? Isn’t he also the God of the Gentiles?
[OEB | EN | NT | Romans | Chapter 3 | Verse 30] Yes, of the Gentiles also, since there is only one God, and he will pronounce those who are circumcised righteous as the result of faith, and also those who are uncircumcised on their showing the same faith.
[OEB | EN | NT | Romans | Chapter 3 | Verse 31] Do we, then, use this faith to abolish Law? Heaven forbid! No, we establish Law.
