[OEB | EN | NT | Romans | Chapter 8 | Verse 1] There is, therefore, now no condemnation for those who are in union with Christ Jesus;
[OEB | EN | NT | Romans | Chapter 8 | Verse 2] for through your union with Christ Jesus, the Law of the life-giving Spirit has set you free from the Law of sin and death.
[OEB | EN | NT | Romans | Chapter 8 | Verse 3] What Law could not do, in so far as our earthly nature weakened its action, God did, by sending his own Son, with a nature resembling our sinful nature, to atone for sin. He condemned sin in that earthly nature,
[OEB | EN | NT | Romans | Chapter 8 | Verse 4] so that the requirements of the Law might be satisfied in us who live now in obedience, not to our earthly nature, but to the Spirit.
[OEB | EN | NT | Romans | Chapter 8 | Verse 5] They who follow their earthly nature are earthly-minded, while they who follow the Spirit are spiritually minded.
[OEB | EN | NT | Romans | Chapter 8 | Verse 6] To be earthly-minded means death, to be spiritually minded means life and peace;
[OEB | EN | NT | Romans | Chapter 8 | Verse 7] because to be earthly-minded is to be an enemy to God, for such a mind does not submit to the Law of God, nor indeed can it do so.
[OEB | EN | NT | Romans | Chapter 8 | Verse 8] They who are earthly cannot please God.
[OEB | EN | NT | Romans | Chapter 8 | Verse 9] You, however, are not earthly but spiritual, since the Spirit of God lives within you. Unless a person has the Spirit of Christ, they do not belong to Christ;
[OEB | EN | NT | Romans | Chapter 8 | Verse 10] but, if Christ is within you, then, though the body is dead as a consequence of sin, the spirit is life as a consequence of righteousness.
[OEB | EN | NT | Romans | Chapter 8 | Verse 11] And, if the Spirit of him who raised Jesus from the dead lives within you, he who raised Christ Jesus from the dead will give life even to your mortal bodies, through his Spirit living within you.
[OEB | EN | NT | Romans | Chapter 8 | Verse 12] So then, friends, we owe nothing to our earthly nature, that we should live in obedience to it.
[OEB | EN | NT | Romans | Chapter 8 | Verse 13] If you live in obedience to your earthly nature, you will inevitably die; but if, by the power of the Spirit, you put an end to the evil habits of the body, you will live.
[OEB | EN | NT | Romans | Chapter 8 | Verse 14] All who are guided by the Spirit of God are children of God.
[OEB | EN | NT | Romans | Chapter 8 | Verse 15] For you did not receive the spirit of a slave, to fill you once more with fear, but the spirit of a child by adoption, which leads us to cry “Abba, our Father.”
[OEB | EN | NT | Romans | Chapter 8 | Verse 16] The Spirit himself unites with our spirits in bearing witness to our being God’s children,
[OEB | EN | NT | Romans | Chapter 8 | Verse 17] and if children, then heirs – heirs of God, and joint heirs with Christ, since we share Christ’s sufferings in order that we may also share his glory.
[OEB | EN | NT | Romans | Chapter 8 | Verse 18] I do not count the sufferings of our present life worthy of mention when compared with the glory that is to be revealed and bestowed on us.
[OEB | EN | NT | Romans | Chapter 8 | Verse 19] All nature awaits with eager expectation the appearing of the sons of God.
[OEB | EN | NT | Romans | Chapter 8 | Verse 20] For nature was made subject to imperfection – not by its own choice, but owing to him who made it so –
[OEB | EN | NT | Romans | Chapter 8 | Verse 21] yet not without the hope that some day nature, also, will be set free from enslavement to decay, and will attain to the freedom which will mark the glory of the children of God.
[OEB | EN | NT | Romans | Chapter 8 | Verse 22] We know, indeed, that all nature alike has been groaning in the pains of labour to this very hour.
[OEB | EN | NT | Romans | Chapter 8 | Verse 23] And not nature only; but we ourselves also, though we have already a first gift of the Spirit – we ourselves are inwardly groaning, while we eagerly await our full adoption as sons – the redemption of our bodies.
[OEB | EN | NT | Romans | Chapter 8 | Verse 24] By our hope we were saved. But the thing hoped for is no longer an object of hope when it is before our eyes; for who hopes for what is before his eyes?
[OEB | EN | NT | Romans | Chapter 8 | Verse 25] But when we hope for what is not before our eyes, then we wait for it with patience.
[OEB | EN | NT | Romans | Chapter 8 | Verse 26] So, also, the Spirit supports us in our weakness. We do not even know how to pray as we should; but the Spirit himself pleads for us in sighs that can find no utterance.
[OEB | EN | NT | Romans | Chapter 8 | Verse 27] Yet he who searches all our hearts knows what the Spirit’s meaning is, because the pleadings of the Spirit for Christ’s people are in accordance with his will.
[OEB | EN | NT | Romans | Chapter 8 | Verse 28] But we do know that God causes all things to work together for the good of those who love him – those who have received the call in accordance with his purpose.
[OEB | EN | NT | Romans | Chapter 8 | Verse 29] For those whom God chose from the first he also destined from the first to be transformed into likeness to his Son, so that his Son might be the eldest among many brothers and sisters.
[OEB | EN | NT | Romans | Chapter 8 | Verse 30] And those whom God destined for this he also called; and those whom he called he also pronounced righteous; and those whom he pronounced righteous he also brought to glory.
[OEB | EN | NT | Romans | Chapter 8 | Verse 31] What are we to say, then, in the light of all this? If God is on our side, who can there be against us?
[OEB | EN | NT | Romans | Chapter 8 | Verse 32] God did not withhold his own Son, but gave him up on behalf of us all; will he not, then, with him, freely give us all things?
[OEB | EN | NT | Romans | Chapter 8 | Verse 33] Who will bring a charge against any of God’s people? He who pronounces them righteous is God!
[OEB | EN | NT | Romans | Chapter 8 | Verse 34] Who is there to condemn them? He who died for us is Christ Jesus! – or, rather, it was he who was raised from the dead, and who is now at God’s right hand and is even pleading on our behalf!
[OEB | EN | NT | Romans | Chapter 8 | Verse 35] Who is there to separate us from the love of the Christ? Will trouble, or difficulty, or persecution, or hunger, or nakedness, or danger, or the sword?
[OEB | EN | NT | Romans | Chapter 8 | Verse 36] Scripture says – “For your sake we are being killed all the day long, We are regarded as sheep to be slaughtered.”
[OEB | EN | NT | Romans | Chapter 8 | Verse 37] Yet amid all these things we more than conquer through him who loved us!
[OEB | EN | NT | Romans | Chapter 8 | Verse 38] For I am persuaded that neither death, nor life, nor angels, nor archangels, nor the present, nor the future, nor any powers,
[OEB | EN | NT | Romans | Chapter 8 | Verse 39] nor height, nor depth, nor any other created thing, will be able to separate us from the love of God revealed in Christ Jesus, our Lord!
