[OEB | EN | NT | Romans | Chapter 5 | Verse 1] Therefore, having been pronounced righteous as the result of faith, let us enjoy peace with God through Jesus Christ, our Lord.
[OEB | EN | NT | Romans | Chapter 5 | Verse 2] It is through him that, by reason of our faith, we have obtained admission to that place in God’s favour in which we now stand. So let us exult in our hope of attaining God’s glorious ideal.
[OEB | EN | NT | Romans | Chapter 5 | Verse 3] And not only that, but let us also exult in our troubles;
[OEB | EN | NT | Romans | Chapter 5 | Verse 4] for we know that trouble develops endurance, and endurance strength of character, and strength of character hope,
[OEB | EN | NT | Romans | Chapter 5 | Verse 5] and that hope never disappoints. For the love of God has filled our hearts through the Holy Spirit which was given us;
[OEB | EN | NT | Romans | Chapter 5 | Verse 6] seeing that, while we were still powerless, Christ, in God’s good time, died on behalf of the godless.
[OEB | EN | NT | Romans | Chapter 5 | Verse 7] Even for an upright person scarcely anyone will die. For a really good person perhaps someone might even dare to die.
[OEB | EN | NT | Romans | Chapter 5 | Verse 8] But God puts his love for us beyond all doubt by the fact that Christ died on our behalf while we were still sinners.
[OEB | EN | NT | Romans | Chapter 5 | Verse 9] Much more, then, now that we have been pronounced righteous by virtue of the shedding of his blood, will we be saved through him from the wrath of God.
[OEB | EN | NT | Romans | Chapter 5 | Verse 10] For if, when we were God’s enemies, we were reconciled to him through the death of his Son, much more, now that we have become reconciled, will we be saved by virtue of Christ’s life.
[OEB | EN | NT | Romans | Chapter 5 | Verse 11] And not only that, but we exult in God, through Jesus Christ, our Lord, through whom we have now obtained this reconciliation.
[OEB | EN | NT | Romans | Chapter 5 | Verse 12] Therefore, just as sin came into the world through one man, and through sin came death; so, also, death spread to all humanity, because every person has sinned.
[OEB | EN | NT | Romans | Chapter 5 | Verse 13] Even before the time of the Law there was sin in the world; but sin cannot be charged against someone where no Law exists.
[OEB | EN | NT | Romans | Chapter 5 | Verse 14] Yet, from Adam to Moses, death reigned even over those whose sin was not a breach of a law, as Adam’s was. And Adam foreshadows the one to come.
[OEB | EN | NT | Romans | Chapter 5 | Verse 15] But there is a contrast between Adam’s offence and God’s gracious gift. For, if by reason of the offence of the one man the whole human race died, far more were the loving kindness of God, and the gift given in the loving kindness of the one man, Jesus Christ, lavished on the whole human race.
[OEB | EN | NT | Romans | Chapter 5 | Verse 16] There is a contrast, too, between the gift and the results of the one man’s sin. The judgment, which followed on the one man’s sin, resulted in condemnation, but God’s gracious gift, which followed on many offences, resulted in a decree of righteousness.
[OEB | EN | NT | Romans | Chapter 5 | Verse 17] For if, by reason of the offence of the one man, death reigned through that one man, far more will those, on whom God’s loving kindness and his gift of righteousness are lavished, find life, and reign through the one man, Jesus Christ.
[OEB | EN | NT | Romans | Chapter 5 | Verse 18] Briefly then, just as a single offence resulted for all humanity in condemnation, so, too, a single decree of righteousness resulted for all humanity in that declaration of righteousness which brings life.
[OEB | EN | NT | Romans | Chapter 5 | Verse 19] For, as through the disobedience of the one man the whole human race was rendered sinful, so, too, through the obedience of the one, the whole human race will be rendered righteous.
[OEB | EN | NT | Romans | Chapter 5 | Verse 20] Law was introduced in order that offences might be multiplied. But, where sins were multiplied, the loving kindness of God was lavished the more,
[OEB | EN | NT | Romans | Chapter 5 | Verse 21] in order that, just as sin had reigned in the realm of death, so, too, might loving-kindness reign through righteousness, and result in eternal life, through Jesus Christ, our Lord.
