[OEB | EN | NT | Romans | Chapter 11 | Verse 1] I ask, then, “Has God rejected his people?” Heaven forbid! For I myself am an Israelite, a descendant of Abraham, of the tribe of Benjamin.
[OEB | EN | NT | Romans | Chapter 11 | Verse 2] God has not rejected his people, whom he chose from the first. Have you forgotten the words of scripture in the story of Elijah – how he appeals to God against Israel?
[OEB | EN | NT | Romans | Chapter 11 | Verse 3] “Lord, they have killed your prophets, they have pulled down your altars, and I only am left; and now they are eager to take my life.”
[OEB | EN | NT | Romans | Chapter 11 | Verse 4] But what was the divine response? “I have kept for myself seven thousand who have never bowed the knee to Baal.”
[OEB | EN | NT | Romans | Chapter 11 | Verse 5] And so in our own time, too, there is to be found a remnant of our nation selected by God in love.
[OEB | EN | NT | Romans | Chapter 11 | Verse 6] But if in love, then it is not as a result of obedience. Otherwise love would cease to be love.
[OEB | EN | NT | Romans | Chapter 11 | Verse 7] What follows from this? Why, that Israel as a nation failed to secure what it was seeking, while those whom God selected did secure it.
[OEB | EN | NT | Romans | Chapter 11 | Verse 8] The rest grew callous; as scripture says – “God has given them a deadness of mind – eyes that are not to see and ears that are not to hear – and it is so to this very day.”
[OEB | EN | NT | Romans | Chapter 11 | Verse 9] David, too, says – “May their feasts prove a snare and a trap to them – a hindrance and a retribution;
[OEB | EN | NT | Romans | Chapter 11 | Verse 10] may their eyes be darkened, so that they cannot see; and do you always make their backs to bend.”
[OEB | EN | NT | Romans | Chapter 11 | Verse 11] I ask then – “Was their stumbling to result in their fall?” Heaven forbid! On the contrary, through their falling away salvation has reached the Gentiles, to stir the rivalry of Israel.
[OEB | EN | NT | Romans | Chapter 11 | Verse 12] And, if their falling away has enriched the world, and their failure has enriched the Gentiles, how much more will result from their full restoration!
[OEB | EN | NT | Romans | Chapter 11 | Verse 13] But I am speaking to you who were Gentiles.
[OEB | EN | NT | Romans | Chapter 11 | Verse 14] Being myself an apostle to the Gentiles, I exalt my office, in the hope that I may stir my countrymen to rivalry, and so save some of them.
[OEB | EN | NT | Romans | Chapter 11 | Verse 15] For, if their being cast aside has meant the reconciliation of the world, what will their reception mean, but life from the dead?
[OEB | EN | NT | Romans | Chapter 11 | Verse 16] If the first handful of dough is holy, so is the whole mass, and if the root is holy, so are the branches.
[OEB | EN | NT | Romans | Chapter 11 | Verse 17] Some, however, of the branches were broken off, and you, who were only a wild olive, were grafted in among them, and came to share with them the root which is the source of the richness of the cultivated olive.
[OEB | EN | NT | Romans | Chapter 11 | Verse 18] Yet do not exult over the other branches. But, if you do exult over them, remember that you do not support the root, but that the root supports you.
[OEB | EN | NT | Romans | Chapter 11 | Verse 19] But branches, you will say, were broken off, so that I might be grafted in.
[OEB | EN | NT | Romans | Chapter 11 | Verse 20] True, it was because of their want of faith that they were broken off, and it is because of your faith that you are standing. Do not think too highly of yourself, but beware.
[OEB | EN | NT | Romans | Chapter 11 | Verse 21] For, if God did not spare the natural branches, neither will he spare you.
[OEB | EN | NT | Romans | Chapter 11 | Verse 22] See, then, both the goodness and the severity of God – his severity towards those who fell, and his goodness towards you, provided that you continue to confide in that goodness; otherwise you, also, will be cut off.
[OEB | EN | NT | Romans | Chapter 11 | Verse 23] And they, too, if they do not continue in their unbelief, will be grafted in; for God has it in his power to graft them in again.
[OEB | EN | NT | Romans | Chapter 11 | Verse 24] If you were cut off from your natural stock – a wild olive – and were grafted, contrary to the course of nature, on a good olive, much more will they – the natural branches – be grafted back into their parent tree.
[OEB | EN | NT | Romans | Chapter 11 | Verse 25] My friends, so that you don’t think too highly of yourselves, I want you to recognise the truth, hitherto hidden, that the callousness which has come over Israel is only partial, and will continue only until the whole Gentile world has been gathered in.
[OEB | EN | NT | Romans | Chapter 11 | Verse 26] And then all Israel will be saved. As scripture says – “From Zion will come the Deliverer; he will banish ungodliness from Jacob.
[OEB | EN | NT | Romans | Chapter 11 | Verse 27] And they will see the fulfilment of my covenant, when I have taken away their sins.”
[OEB | EN | NT | Romans | Chapter 11 | Verse 28] From the standpoint of the good news, the Jews are God’s enemies for your sake; but from the standpoint of God’s selection, they are dear to him for the sake of the patriarchs.
[OEB | EN | NT | Romans | Chapter 11 | Verse 29] For God never regrets his gifts or his call.
[OEB | EN | NT | Romans | Chapter 11 | Verse 30] Just as you at one time were disobedient to him, but have now found mercy in the day of their disobedience;
[OEB | EN | NT | Romans | Chapter 11 | Verse 31] so, too, they have now become disobedient in your day of mercy, in order that they also in their turn may now find mercy.
[OEB | EN | NT | Romans | Chapter 11 | Verse 32] For God has given all alike over to disobedience, that to all alike he may show mercy.
[OEB | EN | NT | Romans | Chapter 11 | Verse 33] Oh! The unfathomable wisdom and knowledge of God! How inscrutable are his judgments, how untraceable his ways! Yes –
[OEB | EN | NT | Romans | Chapter 11 | Verse 34] ho has ever comprehended the mind of the Lord? Who has ever become his counsellor?
[OEB | EN | NT | Romans | Chapter 11 | Verse 35] Or who has first given to him, so that he may claim a reward?
[OEB | EN | NT | Romans | Chapter 11 | Verse 36] For all things are from him, through him, and for him. And to him be all glory for ever and ever! Amen.
