[DRA | EN | OT | 1 Chronicles | Chapter 23 | Verse 1] And David being old and full of days, made Solomon his son king over Israel.
[DRA | EN | OT | 1 Chronicles | Chapter 23 | Verse 2] And he gathered together all the princes of Israel, and the priests and Levites.
[DRA | EN | OT | 1 Chronicles | Chapter 23 | Verse 3] And the Levites were numbered from the age of thirty years, and upwards: and there were found of them thirty-eight thousand men.
[DRA | EN | OT | 1 Chronicles | Chapter 23 | Verse 4] Of these twenty-four thousand were chosen, and distributed unto the ministry of the house of the Lord: and six thousand were the overseers and judges.
[DRA | EN | OT | 1 Chronicles | Chapter 23 | Verse 5] Moreover four thousand were porters: and as many singers singing to the Lord with the instruments, which he had made to sing with.
[DRA | EN | OT | 1 Chronicles | Chapter 23 | Verse 6] And David distributed them into courses by the families of the sons of Levi, to wit, of Gerson, and of Caath, and of Merari.
[DRA | EN | OT | 1 Chronicles | Chapter 23 | Verse 7] The sons of Gerson were Leedan and Semei.
[DRA | EN | OT | 1 Chronicles | Chapter 23 | Verse 8] The sons of Leedan: the chief Jahiel, and Zethan, and Joel, three.
[DRA | EN | OT | 1 Chronicles | Chapter 23 | Verse 9] The sons of Semei: Salomith, and Hosiel, and Aran, three: these were the heads of the families of Leedan.
[DRA | EN | OT | 1 Chronicles | Chapter 23 | Verse 10] And the sons of Semei were Leheth, and Ziza, and Jaus, and Baria: these were the sons of Semei, four.
[DRA | EN | OT | 1 Chronicles | Chapter 23 | Verse 11] And Leheth was the first, Ziza the second: but Jaus and Baria had not many children, and therefore they were counted in one family, and in one house.
[DRA | EN | OT | 1 Chronicles | Chapter 23 | Verse 12] The sons of Caath were Amram, and Isaar, Hebron, and Oziel, four.
[DRA | EN | OT | 1 Chronicles | Chapter 23 | Verse 13] The sons of Amram, Aaron, and Moses. And Aaron was separated to minister in the holy of holies, he and his sons for ever, and to burn incense before the Lord, according to his ceremonies, and to bless his name for ever.
[DRA | EN | OT | 1 Chronicles | Chapter 23 | Verse 14] The sons also of Moses, the man of God, were numbered in the tribe of Levi.
[DRA | EN | OT | 1 Chronicles | Chapter 23 | Verse 15] The sons of Moses were Gersom and Eliezer:
[DRA | EN | OT | 1 Chronicles | Chapter 23 | Verse 16] The sons of Gersom: Subuel the first.
[DRA | EN | OT | 1 Chronicles | Chapter 23 | Verse 17] And the sons of Eliezer were: Rohobia the first: and Eliezer had no more sons. But the sons of Rohobia were multiplied exceedingly.
[DRA | EN | OT | 1 Chronicles | Chapter 23 | Verse 18] The sons of Isaar: Salomith the first.
[DRA | EN | OT | 1 Chronicles | Chapter 23 | Verse 19] The sons of Hebron: Jeriau the first, Amarias the second, Jahaziel the third, Jecmaam the fourth.
[DRA | EN | OT | 1 Chronicles | Chapter 23 | Verse 20] The sons of Oziel: Micha the first, Jesia the second.
[DRA | EN | OT | 1 Chronicles | Chapter 23 | Verse 21] The sons of Merari: Moholi, and Musi. The sons of Moholi: Eleazar and Cia.
[DRA | EN | OT | 1 Chronicles | Chapter 23 | Verse 22] And Eleazar died, and had no sons but daughters: and the sons of Cis their brethren took them.
[DRA | EN | OT | 1 Chronicles | Chapter 23 | Verse 23] The sons of Musi: Moholi, and Eder, and Jerimoth, three.
[DRA | EN | OT | 1 Chronicles | Chapter 23 | Verse 24] These are the sons of Levi in their kindreds and families, princes by their courses, and the number of every head that did the works of the ministry of the house of the Lord from twenty years old and upward.
[DRA | EN | OT | 1 Chronicles | Chapter 23 | Verse 25] For David said: The Lord the God of Israel hath given rest to his people, and a habitation in Jerusalem for ever.
[DRA | EN | OT | 1 Chronicles | Chapter 23 | Verse 26] And it shall not be the office of the Levites to carry any more the tabernacle, and all the vessels for the service thereof.
[DRA | EN | OT | 1 Chronicles | Chapter 23 | Verse 27] So according to the last precepts of David, the sons of Levi are to be numbered from twenty years old and upward.
[DRA | EN | OT | 1 Chronicles | Chapter 23 | Verse 28] And they are to be under the hand of the sons of Aaron for the service of the house of the Lord, in the porches, and in the chambers, and in the place of purification, and in the sanctuary, and in all the works of the ministry of the temple of the Lord.
[DRA | EN | OT | 1 Chronicles | Chapter 23 | Verse 29] And the priests have the charge of the leaves of proposition, and of the sacrifice of fine flour, and of the unleavened cakes, and of the fryingpan, and of the roasting, and of every weight and measure.
[DRA | EN | OT | 1 Chronicles | Chapter 23 | Verse 30] And the Levites are to stand in the morning to give thanks, and to sing praises to the Lord: and in like manner in the evening,
[DRA | EN | OT | 1 Chronicles | Chapter 23 | Verse 31] As well in the oblation of the holocausts of the Lord, as in the sabbaths and in the new moons, and the rest of the solemnities, according to the number and ceremonies prescribed for every thing, continually before the Lord.
[DRA | EN | OT | 1 Chronicles | Chapter 23 | Verse 32] And let them keep the observances of the tabernacle of the covenant, and the ceremonies of the sanctuary, and the charge of the sons of Aaron their brethren, that they may minister in the house of the Lord.
