[DRA | EN | OT | 1 Chronicles | Chapter 11 | Verse 1] Then all Israel gathered themselves to David in Hebron, saying: We are thy bone, and thy flesh.
[DRA | EN | OT | 1 Chronicles | Chapter 11 | Verse 2] Yesterday also, and the day before when Saul was king, thou wast he that leddest out and broughtest in Israel: for the Lord thy God said to thee: Thou shalt feed my people Israel, and thou shalt; be ruler over them.
[DRA | EN | OT | 1 Chronicles | Chapter 11 | Verse 3] So all the ancients of Israel came to the king to Hebron, and David made a covenant with them before the Lord: and they anointed him king over Israel, according to the word of the Lord which he spoke in the hand of Samuel.
[DRA | EN | OT | 1 Chronicles | Chapter 11 | Verse 4] And David and all Israel went to Jerusalem, which is Jebus, where the Jebusites were the inhabitants of the land.
[DRA | EN | OT | 1 Chronicles | Chapter 11 | Verse 5] And the inhabitants of Jebus said to David: Thou shalt not come in here. But David took the castle of Sion, which is the city of David.
[DRA | EN | OT | 1 Chronicles | Chapter 11 | Verse 6] And he said: Whosoever shall first strike the Jebusites, shall be the head and chief captain. And Joab the son of Sarvia went up first, and was made the general.
[DRA | EN | OT | 1 Chronicles | Chapter 11 | Verse 7] And David dwelt in the castle, and therefore it was called the city of David.
[DRA | EN | OT | 1 Chronicles | Chapter 11 | Verse 8] And he built the city round about from Mello all round, and Joab built the rest of the city.
[DRA | EN | OT | 1 Chronicles | Chapter 11 | Verse 9] And David went on growing and increasing, and the Lord of hosts was with him.
[DRA | EN | OT | 1 Chronicles | Chapter 11 | Verse 10] These are the chief of the valiant men of David, who helped him to be made king over all Israel, according to the word of the Lord, which he spoke to Israel.
[DRA | EN | OT | 1 Chronicles | Chapter 11 | Verse 11] And this is the number of the heroes of David: Jesbaam the son of Hachamoni the chief among the thirty: he lifted up his spear against three hundred wounded by him at one time.
[DRA | EN | OT | 1 Chronicles | Chapter 11 | Verse 12] And after him was Eleazar his uncle’s son the Ahohite, who was one of the three mighties.
[DRA | EN | OT | 1 Chronicles | Chapter 11 | Verse 13] He was with David in Phesdomim, when the Philistines were gathered to that place to battle: and the field of that country was full of barley, and the people fled from before the Philistines.
[DRA | EN | OT | 1 Chronicles | Chapter 11 | Verse 14] But these men stood in the midst of the field, and defended it: and they slew the Philistines, and the Lord gave a great deliverance to his people.
[DRA | EN | OT | 1 Chronicles | Chapter 11 | Verse 15] And three of the thirty captains went down to the rock, wherein David was, to the cave of Odollam, when the Philistines encamped in the valley of Raphaim.
[DRA | EN | OT | 1 Chronicles | Chapter 11 | Verse 16] And David was in a hold, and the garrison of the Philistines in Bethlehem.
[DRA | EN | OT | 1 Chronicles | Chapter 11 | Verse 17] And David longed, and said: O that some man would give me water of the cistern of Bethlehem, which is in the gate.
[DRA | EN | OT | 1 Chronicles | Chapter 11 | Verse 18] And these three broke through the midst of the camp of the Philistines, and drew water out of the cistern of Bethlehem, which was in the gate, and brought it to David to drink: and he would not drink of it, but rather offered it to the Lord,
[DRA | EN | OT | 1 Chronicles | Chapter 11 | Verse 19] Saying: God forbid that I should do this in the sight of my God, and should drink the blood of these men: for with the danger of their lives they have brought me the water. And therefore he would not drink. These things did the three most valiant.
[DRA | EN | OT | 1 Chronicles | Chapter 11 | Verse 20] And Abisai the brother of Joab, he was chief of three, and he lifted up his spear against three hundred whom he slew, and he was renowned among the three,
[DRA | EN | OT | 1 Chronicles | Chapter 11 | Verse 21] And illustrious among the second three, and their captain: but yet he attained not to the first three.
[DRA | EN | OT | 1 Chronicles | Chapter 11 | Verse 22] Banaias the son of Joiada, a most valiant man, of Cabseel, who had done many acts: he slew the two ariels of Moab: and he went down, and killed a lion in the midst of a pit in the time of snow.
[DRA | EN | OT | 1 Chronicles | Chapter 11 | Verse 23] And he slew an Egyptian, whose stature was of five cubits, and who had a spear like a weaver’s beam: and he went down to him with a staff, and plucked away the spear, that he held in his hand, and slew him with his own spear.
[DRA | EN | OT | 1 Chronicles | Chapter 11 | Verse 24] These things did Banaias the son of Joiada, who was renowned among the three valiant ones,
