[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 1] The sons of Levi were Gerson, Caath, and Merari.
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 2] The sons of Caath: Amram, Isaar, Hebron, and Oziel.
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 3] The children of Amram: Aaron, Moses, and Mary. The sons of Aaron: Nadab and Abiu, Eleazar and Ithamar.
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 4] Eleazar beget Phinees, and Phinees beget Abisue,
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 5] And Abisue beget Bocci, and Bocci begot Ozi.
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 6] Ozi beget Zaraias, and Zaraias beget Maraioth.
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 7] And Maraioth beget Amarias, and Amarias beget Achitob.
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 8] Achitob beget Sadoc, and Sadoc begot Achimaas.
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 9] Achimaas beget Azarias, Azarias begot Johanan,
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 10] Johanan beget Azarias. This is he that executed the priestly office in the house which Solomon built in Jerusalem.
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 11] And Azarias beget Amarias, and Amarias beget Achitob.
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 12] And Achitob beget Sadoc, and Sadoc beget Sellum,
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 13] Sellum beget Helcias, and Helcias beget Azarias,
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 14] Azarias beget Saraias, and Saraias beget Josedec.
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 15] Now Josedec went out, when the Lord carried away Juda, and Jerusalem, by the hands of Nabuchodonosor.
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 16] So the sons of Levi were Gerson, Caath, and Merari.
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 17] And these are the names of the sons of Gerson: Lobni and Semei.
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 18] The sons of Caath: Amram, and Isaar, and Hebron, and Oziel.
[DRA | EN | OT | 1 Chronicles | Chapter 6 | Verse 19] The sons of Merari: Moholi and Musi. And these are the kindreds of Levi according to their families.
