[GRCGTR | EL | NT | Ephesians | Chapter 4 | Verse 1] Παρακαλῶ οὖν ὑμᾶς ἐγώ, ὁ δέσμιος ἐν Κυρίῳ, ἀξίως περιπατῆσαι τῆς κλήσεως ἧς ἐκλήθητε,
[GRCGTR | EL | NT | Ephesians | Chapter 4 | Verse 2] μετὰ πάσης ταπεινοφροσύνης καὶ πρᾳότητος, μετὰ μακροθυμίας, ἀνεχόμενοι ἀλλήλων ἐν ἀγάπῃ,
[GRCGTR | EL | NT | Ephesians | Chapter 4 | Verse 3] σπουδάζοντες τηρεῖν τὴν ἑνότητα τοῦ πνεύματος ἐν τῷ συνδέσμῳ τῆς εἰρήνης.
[GRCGTR | EL | NT | Ephesians | Chapter 4 | Verse 4] Ἓν σῶμα καὶ ἓν πνεῦμα, καθὼς καὶ ἐκλήθητε ἐν μιᾷ ἐλπίδι τῆς κλήσεως ὑμῶν·
[GRCGTR | EL | NT | Ephesians | Chapter 4 | Verse 5] εἷς Κύριος, μία πίστις, ἓν βάπτισμα,
[GRCGTR | EL | NT | Ephesians | Chapter 4 | Verse 6] εἷς Θεὸς καὶ πατὴρ πάντων, ὁ ἐπὶ πάντων, καὶ διὰ πάντων, καὶ ἐν πᾶσιν ὑμῖν.
[GRCGTR | EL | NT | Ephesians | Chapter 4 | Verse 7] Ἑνὶ δὲ ἑκάστῳ ἡμῶν ἐδόθη ἡ χάρις κατὰ τὸ μέτρον τῆς δωρεᾶς τοῦ Χριστοῦ.
[GRCGTR | EL | NT | Ephesians | Chapter 4 | Verse 8] Διὸ λέγει, Ἀναβὰς εἰς ὕψος ᾐχμαλώτευσεν αἰχμαλωσίαν, καὶ ἔδωκε δόματα τοῖς ἀνθρώποις.
[GRCGTR | EL | NT | Ephesians | Chapter 4 | Verse 9] Τὸ δέ, Ἀνέβη, τί ἐστιν εἰ μὴ ὅτι καὶ κατέβη πρῶτον εἰς τὰ κατώτερα μέρη τῆς γῆς;
[GRCGTR | EL | NT | Ephesians | Chapter 4 | Verse 10] Ὁ καταβάς, αὐτός ἐστι καὶ ὁ ἀναβὰς ὑπεράνω πάντων τῶν οὐρανῶν, ἵνα πληρώσῃ τὰ πάντα.
[GRCGTR | EL | NT | Ephesians | Chapter 4 | Verse 11] Καὶ αὐτὸς ἔδωκε τοὺς μὲν ἀποστόλους, τοὺς δὲ προφήτας, τοὺς δὲ εὐαγγελιστάς, τοὺς δὲ ποιμένας καὶ διδασκάλους,
[GRCGTR | EL | NT | Ephesians | Chapter 4 | Verse 12] πρὸς τὸν καταρτισμὸν τῶν ἁγίων, εἰς ἔργον διακονίας, εἰς οἰκοδομὴν τοῦ σώματος τοῦ Χριστοῦ·
[GRCGTR | EL | NT | Ephesians | Chapter 4 | Verse 13] μέχρι καταντήσωμεν οἱ πάντες εἰς τὴν ἑνότητα τῆς πίστεως καὶ τῆς ἐπιγνώσεως τοῦ υἱοῦ τοῦ Θεοῦ, εἰς ἄνδρα τέλειον, εἰς μέτρον ἡλικίας τοῦ πληρώματος τοῦ Χριστοῦ·
