[GRCGTR | EL | NT | Ephesians | Chapter 2 | Verse 1] Καὶ ὑμᾶς ὄντας νεκροὺς τοῖς παραπτώμασι καὶ ταῖς ἁμαρτίαις,
[GRCGTR | EL | NT | Ephesians | Chapter 2 | Verse 2] ἐν αἷς ποτὲ περιεπατήσατε κατὰ τὸν αἰῶνα τοῦ κόσμου τούτου, κατὰ τὸν ἄρχοντα τῆς ἐξουσίας τοῦ ἀέρος, τοῦ πνεύματος τοῦ νῦν ἐνεργοῦντος ἐν τοῖς υἱοῖς τῆς ἀπειθείας·
[GRCGTR | EL | NT | Ephesians | Chapter 2 | Verse 3] ἐν οἷς καὶ ἡμεῖς πάντες ἀνεστράφημέν ποτε ἐν ταῖς ἐπιθυμίαις τῆς σαρκὸς ἡμῶν, ποιοῦντες τὰ θελήματα τῆς σαρκὸς καὶ τῶν διανοιῶν, καὶ ἦμεν τέκνα φύσει ὀργῆς, ὡς καὶ οἱ λοιποί·
[GRCGTR | EL | NT | Ephesians | Chapter 2 | Verse 4] ὁ δὲ Θεός, πλούσιος ὢν ἐν ἐλέει, διὰ τὴν πολλὴν ἀγάπην αὐτοῦ ἣν ἠγάπησεν ἡμᾶς,
[GRCGTR | EL | NT | Ephesians | Chapter 2 | Verse 5] καὶ ὄντας ἡμᾶς νεκροὺς τοῖς παραπτώμασι συνεζῳοποίησε τῷ Χριστῷ — χάριτί ἐστε σεσῳσμένοι —
[GRCGTR | EL | NT | Ephesians | Chapter 2 | Verse 6] καὶ συνήγειρε, καὶ συνεκάθισεν ἐν τοῖς ἐπουρανίοις ἐν Χριστῷ Ἰησοῦ·
[GRCGTR | EL | NT | Ephesians | Chapter 2 | Verse 7] ἵνα ἐνδείξηται ἐν τοῖς αἰῶσι τοῖς ἐπερχομένοις τὸν ὑπερβάλλοντα πλοῦτον τῆς χάριτος αὐτοῦ ἐν χρηστότητι ἐφ᾿ ἡμᾶς ἐν Χριστῷ Ἰησοῦ·
[GRCGTR | EL | NT | Ephesians | Chapter 2 | Verse 8] τῇ γὰρ χάριτί ἐστε σεσῳσμένοι διὰ τῆς πίστεως, καὶ τοῦτο οὐκ ἐξ ὑμῶν· Θεοῦ τὸ δῶρον·
[GRCGTR | EL | NT | Ephesians | Chapter 2 | Verse 9] οὐκ ἐξ ἔργων, ἵνα μή τις καυχήσηται.
[GRCGTR | EL | NT | Ephesians | Chapter 2 | Verse 10] Αὐτοῦ γάρ ἐσμεν ποίημα, κτισθέντες ἐν Χριστῷ Ἰησοῦ ἐπὶ ἔργοις ἀγαθοῖς, οἷς προητοίμασεν ὁ Θεός, ἵνα ἐν αὐτοῖς περιπατήσωμεν.
[GRCGTR | EL | NT | Ephesians | Chapter 2 | Verse 11] Διὸ μνημονεύετε ὅτι ὑμεῖς ποτὲ τὰ ἔθνη ἐν σαρκί, οἱ λεγόμενοι ἀκροβυστία ὑπὸ τῆς λεγομένης περιτομῆς ἐν σαρκὶ χειροποιήτου,
[GRCGTR | EL | NT | Ephesians | Chapter 2 | Verse 12] ὅτι ἦτε ἐν τῷ καιρῷ ἐκείνῳ χωρὶς Χριστοῦ, ἀπηλλοτριωμένοι τῆς πολιτείας τοῦ Ἰσραήλ, καὶ ξένοι τῶν διαθηκῶν τῆς ἐπαγγελίας, ἐλπίδα μὴ ἔχοντες, καὶ ἄθεοι ἐν τῷ κόσμῳ.
[GRCGTR | EL | NT | Ephesians | Chapter 2 | Verse 13] Νυνὶ δὲ ἐν Χριστῷ Ἰησοῦ ὑμεῖς οἱ ποτὲ ὄντες μακρὰν ἐγγὺς ἐγενήθητε ἐν τῷ αἵματι τοῦ Χριστοῦ.
[GRCGTR | EL | NT | Ephesians | Chapter 2 | Verse 14] Αὐτὸς γάρ ἐστιν ἡ εἰρήνη ἡμῶν, ὁ ποιήσας τὰ ἀμφότερα ἕν, καὶ τὸ μεσότοιχον τοῦ φραγμοῦ λύσας,
[GRCGTR | EL | NT | Ephesians | Chapter 2 | Verse 15] τὴν ἔχθραν ἐν τῇ σαρκὶ αὐτοῦ, τὸν νόμον τῶν ἐντολῶν ἐν δόγμασι, καταργήσας· ἵνα τοὺς δύο κτίσῃ ἐν ἑαυτῷ εἰς ἕνα καινὸν ἄνθρωπον, ποιῶν εἰρήνην,
[GRCGTR | EL | NT | Ephesians | Chapter 2 | Verse 16] καὶ ἀποκαταλλάξῃ τοὺς ἀμφοτέρους ἐν ἑνὶ σώματι τῷ Θεῷ διὰ τοῦ σταυροῦ, ἀποκτείνας τὴν ἔχθραν ἐν αὐτῷ·
[GRCGTR | EL | NT | Ephesians | Chapter 2 | Verse 17] καὶ ἐλθὼν εὐηγγελίσατο εἰρήνην ὑμῖν τοῖς μακρὰν καὶ τοῖς ἐγγύς·
[GRCGTR | EL | NT | Ephesians | Chapter 2 | Verse 18] ὅτι δι᾿ αὐτοῦ ἔχομεν τὴν προσαγωγὴν οἱ ἀμφότεροι ἐν ἑνὶ πνεύματι πρὸς τὸν πατέρα.
[GRCGTR | EL | NT | Ephesians | Chapter 2 | Verse 19] Ἄρα οὖν οὐκέτι ἐστὲ ξένοι καὶ πάροικοι, ἀλλὰ συμπολῖται τῶν ἁγίων καὶ οἰκεῖοι τοῦ Θεοῦ,
[GRCGTR | EL | NT | Ephesians | Chapter 2 | Verse 20] ἐποικοδομηθέντες ἐπὶ τῷ θεμελίῳ τῶν ἀποστόλων καὶ προφητῶν, ὄντος ἀκρογωνιαίου αὐτοῦ Ἰησοῦ Χριστοῦ,
[GRCGTR | EL | NT | Ephesians | Chapter 2 | Verse 21] ἐν ᾧ πᾶσα ἡ οἰκοδομὴ συναρμολογουμένη αὔξει εἰς ναὸν ἅγιον ἐν Κυρίῳ,
[GRCGTR | EL | NT | Ephesians | Chapter 2 | Verse 22] ἐν ᾧ καὶ ὑμεῖς συνοικοδομεῖσθε εἰς κατοικητήριον τοῦ Θεοῦ ἐν πνεύματι.
