[GRCGTR | EL | NT | Ephesians | Chapter 6 | Verse 1] Τὰ τέκνα, ὑπακούετε τοῖς γονεῦσιν ὑμῶν ἐν Κυρίῳ· τοῦτο γάρ ἐστι δίκαιον.
[GRCGTR | EL | NT | Ephesians | Chapter 6 | Verse 2] Τίμα τὸν πατέρα σου καὶ τὴν μητέρα ἥτις ἐστὶν ἐντολὴ πρώτη ἐν ἐπαγγελίᾳ,
[GRCGTR | EL | NT | Ephesians | Chapter 6 | Verse 3] ἵνα εὖ σοι γένηται, καὶ ἔσῃ μακροχρόνιος ἐπὶ τῆς γῆς.
[GRCGTR | EL | NT | Ephesians | Chapter 6 | Verse 4] Καὶ οἱ πατέρες, μὴ παροργίζετε τὰ τέκνα ὑμῶν, ἀλλ᾿ ἐκτρέφετε αὐτὰ ἐν παιδείᾳ καὶ νουθεσίᾳ Κυρίου.
[GRCGTR | EL | NT | Ephesians | Chapter 6 | Verse 5] Οἱ δοῦλοι, ὑπακούετε τοῖς κυρίοις κατὰ σάρκα, μετὰ φόβου καὶ τρόμου, ἐν ἁπλότητι τῆς καρδίας ὑμῶν, ὡς τῷ Χριστῷ·
[GRCGTR | EL | NT | Ephesians | Chapter 6 | Verse 6] μὴ κατ᾿ ὀφθαλμοδουλείαν ὡς ἀνθρωπάρεσκοι, ἀλλ᾿ ὡς δοῦλοι τοῦ Χριστοῦ, ποιοῦντες τὸ θέλημα τοῦ Θεοῦ ἐκ ψυχῆς,
[GRCGTR | EL | NT | Ephesians | Chapter 6 | Verse 7] μετ᾿ εὐνοίας δουλεύοντες + 6:7 τῷ ¦ ὡς τῷ SCR τῷ Κυρίῳ καὶ οὐκ ἀνθρώποις·
[GRCGTR | EL | NT | Ephesians | Chapter 6 | Verse 8] εἰδότες ὅτι ὃ ἐάν τι ἕκαστος ποιήσῃ ἀγαθόν, τοῦτο κομιεῖται παρὰ τοῦ Κυρίου, εἴτε δοῦλος, εἴτε ἐλεύθερος.
[GRCGTR | EL | NT | Ephesians | Chapter 6 | Verse 9] Καὶ οἱ κύριοι, τὰ αὐτὰ ποιεῖτε πρὸς αὐτούς, ἀνιέντες τὴν ἀπειλήν· εἰδότες ὅτι καὶ ὑμῶν αὐτῶν ὁ Κύριός ἐστιν ἐν οὐρανοῖς, καὶ προσωποληψία οὐκ ἔστι παρ᾿ αὐτῷ.
[GRCGTR | EL | NT | Ephesians | Chapter 6 | Verse 10] Τὸ λοιπόν, ἀδελφοί μου, ἐνδυναμοῦσθε ἐν Κυρίῳ, καὶ ἐν τῷ κράτει τῆς ἰσχύος αὐτοῦ.
[GRCGTR | EL | NT | Ephesians | Chapter 6 | Verse 11] Ἐνδύσασθε τὴν πανοπλίαν τοῦ Θεοῦ, πρὸς τὸ δύνασθαι ὑμᾶς στῆναι πρὸς τὰς μεθοδείας τοῦ διαβόλου.
