[GRCGTR | EL | NT | Ephesians | Chapter 1 | Verse 1] Παῦλος, ἀπόστολος Ἰησοῦ Χριστοῦ διὰ θελήματος Θεοῦ, τοῖς ἁγίοις τοῖς οὖσιν ἐν Ἐφέσῳ καὶ πιστοῖς ἐν Χριστῷ Ἰησοῦ·
[GRCGTR | EL | NT | Ephesians | Chapter 1 | Verse 2] χάρις ὑμῖν καὶ εἰρήνη ἀπὸ Θεοῦ πατρὸς ἡμῶν καὶ Κυρίου Ἰησοῦ Χριστοῦ.
[GRCGTR | EL | NT | Ephesians | Chapter 1 | Verse 3] Εὐλογητὸς ὁ Θεὸς καὶ πατὴρ τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ, ὁ εὐλογήσας ἡμᾶς ἐν πάσῃ εὐλογίᾳ πνευματικῇ ἐν τοῖς ἐπουρανίοις + 1:3 ἐν ¦ — ST ἐν Χριστῷ·
[GRCGTR | EL | NT | Ephesians | Chapter 1 | Verse 4] καθὼς ἐξελέξατο ἡμᾶς ἐν αὐτῷ πρὸ καταβολῆς κόσμου, εἶναι ἡμᾶς ἁγίους καὶ ἀμώμους κατενώπιον αὐτοῦ ἐν ἀγάπῃ,
[GRCGTR | EL | NT | Ephesians | Chapter 1 | Verse 5] προορίσας ἡμᾶς εἰς υἱοθεσίαν διὰ Ἰησοῦ Χριστοῦ εἰς αὐτόν, κατὰ τὴν εὐδοκίαν τοῦ θελήματος αὐτοῦ,
[GRCGTR | EL | NT | Ephesians | Chapter 1 | Verse 6] εἰς ἔπαινον δόξης τῆς χάριτος αὐτοῦ, ἐν ᾗ ἐχαρίτωσεν ἡμᾶς ἐν τῷ ἠγαπημένῳ·
[GRCGTR | EL | NT | Ephesians | Chapter 1 | Verse 7] ἐν ᾧ ἔχομεν τὴν ἀπολύτρωσιν διὰ τοῦ αἵματος αὐτοῦ, τὴν ἄφεσιν τῶν παραπτωμάτων, κατὰ τὸν πλοῦτον τῆς χάριτος αὐτοῦ,
[GRCGTR | EL | NT | Ephesians | Chapter 1 | Verse 8] ἧς ἐπερίσσευσεν εἰς ἡμᾶς ἐν πάσῃ σοφίᾳ καὶ φρονήσει,
[GRCGTR | EL | NT | Ephesians | Chapter 1 | Verse 9] γνωρίσας ἡμῖν τὸ μυστήριον τοῦ θελήματος αὐτοῦ, κατὰ τὴν εὐδοκίαν αὐτοῦ, ἣν προέθετο ἐν αὐτῷ
[GRCGTR | EL | NT | Ephesians | Chapter 1 | Verse 10] εἰς οἰκονομίαν τοῦ πληρώματος τῶν καιρῶν, ἀνακεφαλαιώσασθαι τὰ πάντα ἐν τῷ Χριστῷ, τὰ τε ἐν τοῖς οὐρανοῖς καὶ τὰ ἐπὶ τῆς γῆς·
[GRCGTR | EL | NT | Ephesians | Chapter 1 | Verse 11] ἐν αὐτῷ, ἐν ᾧ καὶ ἐκληρώθημεν προορισθέντες κατὰ πρόθεσιν τοῦ τὰ πάντα ἐνεργοῦντος κατὰ τὴν βουλὴν τοῦ θελήματος αὐτοῦ,
[GRCGTR | EL | NT | Ephesians | Chapter 1 | Verse 12] εἰς τὸ εἶναι ἡμᾶς εἰς ἔπαινον τῆς δόξης αὐτοῦ, τοὺς προηλπικότας ἐν τῷ Χριστῷ·
[GRCGTR | EL | NT | Ephesians | Chapter 1 | Verse 13] ἐν ᾧ καὶ ὑμεῖς, ἀκούσαντες τὸν λόγον τῆς ἀληθείας, τὸ εὐαγγέλιον τῆς σωτηρίας ὑμῶν, ἐν ᾧ καὶ πιστεύσαντες ἐσφραγίσθητε τῷ πνεύματι τῆς ἐπαγγελίας τῷ ἁγίῳ,
[GRCGTR | EL | NT | Ephesians | Chapter 1 | Verse 14] ὅς ἐστιν ἀρραβὼν τῆς κληρονομίας ἡμῶν, εἰς ἀπολύτρωσιν τῆς περιποιήσεως, εἰς ἔπαινον τῆς δόξης αὐτοῦ.
[GRCGTR | EL | NT | Ephesians | Chapter 1 | Verse 15] Διὰ τοῦτο κἀγώ, ἀκούσας τὴν καθ᾿ ὑμᾶς πίστιν ἐν τῷ Κυρίῳ Ἰησοῦ καὶ τὴν ἀγάπην τὴν εἰς πάντας τοὺς ἁγίους,
