[YLT | EN | OT | 2 Samuel | Chapter 24 | Verse 1] And the anger of Jehovah addeth to burn against Israel, and [an adversary] moveth David about them, saying, 'Go, number Israel and Judah.'
[YLT | EN | OT | 2 Samuel | Chapter 24 | Verse 2] And the king saith unto Joab, head of the host that [is] with him, 'Go to and fro, I pray thee, through all the tribes of Israel, from Dan even unto Beer-Sheba, and inspect ye the people — and I have known the number of the people.'
[YLT | EN | OT | 2 Samuel | Chapter 24 | Verse 3] And Joab saith unto the king, 'Yea, Jehovah thy God doth add unto the people, as they are, a hundred times, and the eyes of my lord the king are seeing; and my lord the king, why is he desirous of this thing?'
[YLT | EN | OT | 2 Samuel | Chapter 24 | Verse 4] And the word of the king is severe towards Joab, and against the heads of the force, and Joab goeth out, and the heads of the force, [from] before the king to inspect the people, even Israel;
[YLT | EN | OT | 2 Samuel | Chapter 24 | Verse 5] and they pass over the Jordan, and encamp in Aroer, on the right of the city that [is] in the midst of the brook of Gad, and unto Jazer,
[YLT | EN | OT | 2 Samuel | Chapter 24 | Verse 6] and they come in to Gilead, and unto the land of Tahtim-Hodshi, and they come in to Dan-Jaan, and round about unto Zidon,
[YLT | EN | OT | 2 Samuel | Chapter 24 | Verse 7] and they come in to the fortress of Tyre, and all the cities of the Hivite, and of the Canaanite, and go out unto the south of Judah, to Beer-Sheba.
[YLT | EN | OT | 2 Samuel | Chapter 24 | Verse 8] And they go to and fro through all the land, and come in at the end of nine months and twenty days to Jerusalem,
[YLT | EN | OT | 2 Samuel | Chapter 24 | Verse 9] and Joab giveth the account of the inspection of the people unto the king, and Israel is eight hundred thousand men of valour, drawing sword, and the men of Judah five hundred thousand men.
[YLT | EN | OT | 2 Samuel | Chapter 24 | Verse 10] And the heart of David smiteth him, after that he hath numbered the people, and David saith unto Jehovah, 'I have sinned greatly in that which I have done, and now, O Jehovah, cause to pass away, I pray Thee, the iniquity of Thy servant, for I have acted very foolishly.'
[YLT | EN | OT | 2 Samuel | Chapter 24 | Verse 11] And David riseth in the morning, and the word of Jehovah hath been unto Gad the prophet, seer of David, saying,
[YLT | EN | OT | 2 Samuel | Chapter 24 | Verse 12] 'Go, and thou hast spoken unto David, Thus said Jehovah: Three — I am lifting up for thee, choose thee one of them, and I do [it] to thee.'
[YLT | EN | OT | 2 Samuel | Chapter 24 | Verse 13] And Gad cometh in unto David, and declareth to him, and saith to him, 'Do seven years of famine come in to thee in thy land? or three months art thou fleeing before thine adversary — and he pursuing thee? or are three days' pestilence in thy land? now, know and see what word I take back to Him sending me.'
[YLT | EN | OT | 2 Samuel | Chapter 24 | Verse 14] And David saith unto Gad, 'I have great distress, let us fall, I pray thee, into the hand of Jehovah, for many [are] His mercies, and into the hand of man let me not fall.'
[YLT | EN | OT | 2 Samuel | Chapter 24 | Verse 15] And Jehovah giveth a pestilence on Israel from the morning even unto the time appointed, and there die of the people, from Dan even unto Beer-Sheba, seventy thousand men,
[YLT | EN | OT | 2 Samuel | Chapter 24 | Verse 16] and the messenger putteth forth his hand to Jerusalem to destroy it, and Jehovah repenteth concerning the evil, and saith to the messenger who is destroying among the people, 'Enough, now, cease thy hand;' and the messenger of Jehovah was near the threshing-floor of Araunah the Jebusite.
[YLT | EN | OT | 2 Samuel | Chapter 24 | Verse 17] And David speaketh unto Jehovah, when he seeth the messenger who is smiting among the people, and saith, 'Lo, I have sinned, yea, I have done perversely; and these — the flock — what have they done? Let, I pray Thee, Thy hand be on me, and on the house of my father.'
[YLT | EN | OT | 2 Samuel | Chapter 24 | Verse 18] And Gad cometh in unto David on that day, and saith to him, 'Go up, raise to Jehovah an altar in the threshing-floor of Araunah the Jebusite;'
[YLT | EN | OT | 2 Samuel | Chapter 24 | Verse 19] and David goeth up, according to the word of Gad, as Jehovah commanded.
[YLT | EN | OT | 2 Samuel | Chapter 24 | Verse 20] And Araunah looketh, and seeth the king and his servants passing over unto him, and Araunah goeth out and boweth himself to the king — his face to the earth.
[YLT | EN | OT | 2 Samuel | Chapter 24 | Verse 21] And Araunah saith, 'Wherefore hath my lord the king come unto his servant?' and David saith, 'To buy from thee the threshing-floor, to build an altar to Jehovah, and the plague is restrained from the people.'
[YLT | EN | OT | 2 Samuel | Chapter 24 | Verse 22] And Araunah saith unto David, 'Let my lord the king take and cause to ascend that which is good in his eyes; see, the oxen for a burnt-offering, and the threshing instruments, and the instruments of the oxen, for wood;'
[YLT | EN | OT | 2 Samuel | Chapter 24 | Verse 23] the whole hath Araunah given, [as] a king to a king; and Araunah saith unto the king, 'Jehovah thy God doth accept thee.'
[YLT | EN | OT | 2 Samuel | Chapter 24 | Verse 24] And the king saith unto Araunah, 'Nay, for I do surely buy from thee for a price, and I do not cause to ascend to Jehovah my God burnt-offerings for nought;' and David buyeth the threshing-floor and the oxen for fifty shekels of silver,
[YLT | EN | OT | 2 Samuel | Chapter 24 | Verse 25] and David buildeth there an altar to Jehovah, and causeth to ascend burnt-offerings and peace-offerings, and Jehovah is entreated for the land, and the plague is restrained from Israel.
