[DRA | EN | OT | Isaiah | Chapter 43 | Verse 1] And now thus saith the Lord that created thee, O Jacob, and formed thee, O Israel: Fear not, for I have redeemed thee, and called thee by thy name: thou art mine.
[DRA | EN | OT | Isaiah | Chapter 43 | Verse 2] When thou shalt pass through the waters, I will be with thee, and the rivers shall not cover thee: when thou shalt walk in the fire, thou shalt not be burnt, and the flames shall not burn in thee:
[DRA | EN | OT | Isaiah | Chapter 43 | Verse 3] For I am the Lord thy God, the Holy One of Israel, thy Saviour: I have given Egypt for thy atonement, Ethiopia and Saba for thee.
[DRA | EN | OT | Isaiah | Chapter 43 | Verse 4] Since thou becamest honourable in my eyes, thou art glorious: I have loved thee, and I will give men for thee, and people for thy life.
[DRA | EN | OT | Isaiah | Chapter 43 | Verse 5] Fear not, for I am with thee: I will. bring thy seed from the east, and gather thee from the west.
[DRA | EN | OT | Isaiah | Chapter 43 | Verse 6] I will say to the north: Give up: and to the south: Keep not back: bring my sons from afar, and my daughters from the ends of the earth.
[DRA | EN | OT | Isaiah | Chapter 43 | Verse 7] And every one that calleth upon my name, I have created him for my glory, I have formed him, and made him.
[DRA | EN | OT | Isaiah | Chapter 43 | Verse 8] Bring forth the people that are blind, and have eyes: that are deaf, and have ears.
[DRA | EN | OT | Isaiah | Chapter 43 | Verse 9] All the nations are assembled together, and the tribes are gathered: who among you can declare this, and shall make us hear the former things? let them bring forth their witnesses, let them be justified, and hear, and say: It is truth.
[DRA | EN | OT | Isaiah | Chapter 43 | Verse 10] You are my witnesses, saith the Lord, and my servant whom I have chosen: that you may know, and believe me, and understand that I myself am. Before me there was no God formed, and after me there shall be none.
[DRA | EN | OT | Isaiah | Chapter 43 | Verse 11] I am, I am the Lord: and there is no saviour besides me.
[DRA | EN | OT | Isaiah | Chapter 43 | Verse 12] I have declared, and have saved. I have made it heard, and there was no strange one among you. You are my witnesses, saith the Lord, and I am God.
[DRA | EN | OT | Isaiah | Chapter 43 | Verse 13] And from the beginning I am the same, and there is none that can deliver out of my hand: I will work, and who shall turn it away?
[DRA | EN | OT | Isaiah | Chapter 43 | Verse 14] Thus saith the Lord your redeemer, the Holy One of Israel: For your sake I sent to Babylon, and have brought down all their bars, and the Chaldeans glorying in their ships.
[DRA | EN | OT | Isaiah | Chapter 43 | Verse 15] I am the Lord your Holy One, the Creator of Israel, your King.
[DRA | EN | OT | Isaiah | Chapter 43 | Verse 16] Thus saith the Lord, who made a way in the sea, and a path in the mighty waters.
[DRA | EN | OT | Isaiah | Chapter 43 | Verse 17] Who brought forth the chariot and the horse, the army and the strong: they lay down to sleep together, and they shall not rise again: they are broken as flax, and are extinct.
[DRA | EN | OT | Isaiah | Chapter 43 | Verse 18] Remember not former things, and look not on things of old.
[DRA | EN | OT | Isaiah | Chapter 43 | Verse 19] Behold I do new things, and now they shall spring forth, verily you shall know them: I will make a way in the wilderness, and rivers in the desert.
[DRA | EN | OT | Isaiah | Chapter 43 | Verse 20] The beast of the field shall glorify me, the dragons and the ostriches: because I have given waters in the wilderness, rivers in the desert, to give drink to my people, to my chosen.
[DRA | EN | OT | Isaiah | Chapter 43 | Verse 21] This people have I formed for myself, they shall shew forth my praise.
[DRA | EN | OT | Isaiah | Chapter 43 | Verse 22] But thou hast not called upon me, O Jacob, neither hast thou laboured about me, O Israel.
[DRA | EN | OT | Isaiah | Chapter 43 | Verse 23] Thou hast not offered me the ram of thy holocaust, nor hast thou glorified me with thy victims: I have not caused thee to serve with oblations, nor wearied thee with incense.
[DRA | EN | OT | Isaiah | Chapter 43 | Verse 24] Thou hast bought me no sweet cane with money, neither hast thou filled me with the fat of thy victims. But thou hast made me to serve with thy sins, thou hast wearied me with thy iniquities.
[DRA | EN | OT | Isaiah | Chapter 43 | Verse 25] I am, I am he that blot out thy iniquities for my own sake, and I will not remember thy sins.
[DRA | EN | OT | Isaiah | Chapter 43 | Verse 26] Put me in remembrance, and let us plead together: tell if thou hast any thing to justify thyself.
[DRA | EN | OT | Isaiah | Chapter 43 | Verse 27] Thy brat father sinned, and thy teachers have transgressed against me.
[DRA | EN | OT | Isaiah | Chapter 43 | Verse 28] And I have profaned the holy princes, I have given Jacob to slaughter, and Israel to reproach.
