[IRV | ML | OT | Job | Chapter 41 | Verse 1] മഹാനക്രത്തെ ചൂണ്ടലിട്ടു പിടിക്കാമോ? അതിന്റെ നാക്കു കയറുകൊണ്ടു അമർത്താമോ?
[IRV | ML | OT | Job | Chapter 41 | Verse 2] അതിന്റെ മൂക്കിൽ കയറു കോർക്കാമോ? അതിന്റെ അണയിൽ കൊളുത്തു കടത്താമോ?
[IRV | ML | OT | Job | Chapter 41 | Verse 3] അതു നിന്നോടു ഏറിയ യാചന കഴിക്കുമോ? സാവധാനവാക്കു നിന്നോടു പറയുമോ?
[IRV | ML | OT | Job | Chapter 41 | Verse 4] അതിനെ എന്നും ദാസനാക്കിക്കൊള്ളേണ്ടതിന്നു അതു നിന്നോടു ഉടമ്പടി ചെയ്യുമോ?
[IRV | ML | OT | Job | Chapter 41 | Verse 5] പക്ഷിയോടു എന്നപോലെ നീ അതിനോടു കളിക്കുമോ? അതിനെ പിടിച്ചു നിന്റെ ബാലമാർക്കായി കെട്ടിയിടുമോ?
[IRV | ML | OT | Job | Chapter 41 | Verse 6] മീൻപിടിക്കൂറ്റുകാർ അതിനെക്കൊണ്ടു വ്യാപാരം ചെയ്യുമോ? അതിനെ കച്ചവടക്കാർക്കു പകുത്തു വില്ക്കുമോ?
[IRV | ML | OT | Job | Chapter 41 | Verse 7] നിനക്കു അതിന്റെ തോലിൽ നിറെച്ചു അസ്ത്രവും തലയിൽ നിറെച്ചു ചാട്ടുളിയും തറെക്കാമോ?
[IRV | ML | OT | Job | Chapter 41 | Verse 8] അതിനെ ഒന്നു തൊടുക; പോർ തിട്ടം എന്നു ഓർത്തുകൊൾക; പിന്നെ നീ അതിന്നു തുനികയില്ല.
[IRV | ML | OT | Job | Chapter 41 | Verse 9] അവന്റെ ആശെക്കു ഭംഗംവരുന്നു; അതിനെ കാണുമ്പോൾ തന്നേ അവൻ വീണുപോകുമല്ലോ.
[IRV | ML | OT | Job | Chapter 41 | Verse 10] അതിനെ ഇളക്കുവാൻ തക്ക ശൂരനില്ല; പിന്നെ എന്നോടു എതിർത്തുനില്ക്കുന്നവൻ ആർ?
[IRV | ML | OT | Job | Chapter 41 | Verse 11] ഞാൻ മടക്കിക്കൊടുക്കേണ്ടതിന്നു എനിക്കു മുമ്പുകൂട്ടി തന്നതാർ? ആകാശത്തിൻ കീഴെയുള്ളതൊക്കെയും എന്റെതല്ലയോ?
[IRV | ML | OT | Job | Chapter 41 | Verse 12] അതിന്റെ അവയവങ്ങളെയും മഹാശക്തിയെയും അതിന്റെ ചേലൊത്ത രൂപത്തെയും പറ്റി ഞാൻ മിണ്ടാതിരിക്കയില്ല.
[IRV | ML | OT | Job | Chapter 41 | Verse 13] അതിന്റെ പുറങ്കുപ്പായം ഊരാകുന്നവനാർ? അതിന്റെ ഇരട്ടനിരപ്പല്ലിന്നിടയിൽ ആർ ചെല്ലും?
[IRV | ML | OT | Job | Chapter 41 | Verse 14] അതിന്റെ മുഖത്തെ കതകു ആർ തുറക്കും? അതിന്റെ പല്ലിന്നു ചുറ്റും ഭീഷണം ഉണ്ടു.
[IRV | ML | OT | Job | Chapter 41 | Verse 15] ചെതുമ്പൽനിര അതിന്റെ ഡംഭമാകുന്നു; അതു മുദ്രവെച്ചു മുറുക്കി അടെച്ചിരിക്കുന്നു.
[IRV | ML | OT | Job | Chapter 41 | Verse 16] അതു ഒന്നോടൊന്നു പറ്റിയിരിക്കുന്നു; ഇടയിൽ കാറ്റുകടക്കയില്ല.
[IRV | ML | OT | Job | Chapter 41 | Verse 17] ഒന്നോടൊന്നു ചേർന്നിരിക്കുന്നു; വേർപ്പെടുത്തിക്കൂടാതവണ്ണം തമ്മിൽ പറ്റിയിരിക്കുന്നു.
[IRV | ML | OT | Job | Chapter 41 | Verse 18] അതു തുമ്മുമ്പോൾ വെളിച്ചം മിന്നുന്നു; അതിന്റെ കണ്ണു ഉഷസ്സിന്റെ കണ്ണിമപോലെ ആകുന്നു.
[IRV | ML | OT | Job | Chapter 41 | Verse 19] അതിന്റെ വായിൽനിന്നു തീപ്പന്തങ്ങൾ പുറപ്പെടുകയും തീപ്പൊരികൾ തെറിക്കയും ചെയ്യുന്നു.
[IRV | ML | OT | Job | Chapter 41 | Verse 20] തിളെക്കുന്ന കലത്തിൽനിന്നും കത്തുന്ന പോട്ടപ്പുല്ലിൽനിന്നും എന്നപോലെ അതിന്റെ മൂക്കിൽനിന്നു പുക പുറപ്പെടുന്നു.
