[IRV | ML | OT | Job | Chapter 30 | Verse 1] ഇപ്പോഴോ എന്നിലും പ്രായം കുറഞ്ഞവർ എന്നെ നോക്കി ചിരിക്കുന്നു; അവരുടെ അപ്പന്മാരെ എന്റെ ആട്ടിൻ കൂട്ടത്തിന്റെ നായ്ക്കളോടുകൂടെ ആക്കുവാൻ പോലും ഞാൻ നിരസിക്കുമായിരുന്നു.
[IRV | ML | OT | Job | Chapter 30 | Verse 2] അവരുടെ കയ്യൂറ്റംകൊണ്ടു എനിക്കെന്തു പ്രയോജനം? അവരുടെ യൗവനശക്തി നശിച്ചുപോയല്ലോ.
[IRV | ML | OT | Job | Chapter 30 | Verse 3] ബുദ്ധിമുട്ടും വിശപ്പുംകൊണ്ടു അവർ മെലിഞ്ഞിരിക്കുന്നു; ശൂന്യത്തിന്റെയും നിർജ്ജനദേശത്തിന്റെയും ഇരുട്ടിൽ അവർ വരണ്ട നിലം കടിച്ചുകാരുന്നു.
[IRV | ML | OT | Job | Chapter 30 | Verse 4] അവർ കുറുങ്കാട്ടിൽ മണൽചീര പറിക്കുന്നു; കാട്ടുകിഴങ്ങു അവർക്കു ആഹാരമായിരിക്കുന്നു.
[IRV | ML | OT | Job | Chapter 30 | Verse 5] ജനമദ്ധ്യേനിന്നു അവരെ ഓടിച്ചുകളയുന്നു; കള്ളനെപ്പോലെ അവരെ ആട്ടിക്കളയുന്നു.
[IRV | ML | OT | Job | Chapter 30 | Verse 6] താഴ്‌വരപ്പിളർപ്പുകളിൽ അവർ പാർക്കേണ്ടി വരുന്നു; മൺകുഴികളിലും പാറയുടെ ഗഹ്വരങ്ങളിലും തന്നേ.
[IRV | ML | OT | Job | Chapter 30 | Verse 7] കുറുങ്കാട്ടിൽ അവർ കുതറുന്നു; തൂവയുടെ കീഴെ അവർ ഒന്നിച്ചുകൂടുന്നു.
[IRV | ML | OT | Job | Chapter 30 | Verse 8] അവർ ഭോഷന്മാരുടെ മക്കൾ, നീചന്മാരുടെ മക്കൾ; അവരെ ദേശത്തുനിന്നു ചമ്മട്ടികൊണ്ടു അടിച്ചോടിക്കുന്നു.
[IRV | ML | OT | Job | Chapter 30 | Verse 9] ഇപ്പോഴോ ഞാൻ അവരുടെ പാട്ടായിരിക്കുന്നു; അവർക്കു പഴഞ്ചൊല്ലായിത്തീർന്നിരിക്കുന്നു.
[IRV | ML | OT | Job | Chapter 30 | Verse 10] അവർ എന്നെ അറെച്ചു അകന്നുനില്ക്കുന്നു; എന്നെ കണ്ടു തുപ്പുവാൻ ശങ്കിക്കുന്നില്ല.
[IRV | ML | OT | Job | Chapter 30 | Verse 11] അവൻ തന്റെ കയറു അഴിച്ചു എന്നെ ക്ലേശിപ്പിച്ചതുകൊണ്ടു അവർ എന്റെ മുമ്പിൽ കടിഞ്ഞാൺ അയച്ചുവിട്ടിരിക്കുന്നു.
[IRV | ML | OT | Job | Chapter 30 | Verse 12] വലത്തുഭാഗത്തു നീചപരിഷ എഴുന്നേറ്റു എന്റെ കാൽ ഉന്തുന്നു; അവർ നാശമാർഗ്ഗങ്ങളെ എന്റെ നേരെ നിരത്തുന്നു.
[IRV | ML | OT | Job | Chapter 30 | Verse 13] അവർ എന്റെ പാതയെ നശിപ്പിക്കുന്നു; അവർ തന്നേ തുണയറ്റവർ ആയിരിക്കെ എന്റെ അപായത്തിന്നായി ശ്രമിക്കുന്നു.
[IRV | ML | OT | Job | Chapter 30 | Verse 14] വിസ്താരമുള്ള തുറവിൽകൂടി എന്നപോലെ അവർ ആക്രമിച്ചുവരുന്നു; ഇടിവിന്റെ നടുവിൽ അവർ എന്റെ മേൽ ഉരുണ്ടുകയറുന്നു.
[IRV | ML | OT | Job | Chapter 30 | Verse 15] ഘോരത്വങ്ങൾ എന്റെ നേരെ തിരിഞ്ഞിരിക്കുന്നു; കാറ്റുപോലെ എന്റെ മഹത്വത്തെ പാറ്റിക്കളയുന്നു; എന്റെ ക്ഷേമവും മേഘംപോലെ കടന്നു പോകുന്നു.
[IRV | ML | OT | Job | Chapter 30 | Verse 16] ഇപ്പോൾ എന്റെ പ്രാണൻ എന്റെ ഉള്ളിൽ തൂകിപ്പോകുന്നു; കഷ്ടകാലം എന്നെ പിടിച്ചിരിക്കുന്നു.
[IRV | ML | OT | Job | Chapter 30 | Verse 17] രാത്രി എന്റെ അസ്ഥികളെ തുളച്ചെടുത്തുകളയുന്നു; എന്നെ കടിച്ചുകാരുന്നവർ ഉറങ്ങുന്നതുമില്ല.
[IRV | ML | OT | Job | Chapter 30 | Verse 18] ഉഗ്രബലത്താൽ എന്റെ വസ്ത്രം വിരൂപമായിരിക്കുന്നു; അങ്കിയുടെ കഴുത്തുപോലെ എന്നോടു പറ്റിയിരിക്കുന്നു.
[IRV | ML | OT | Job | Chapter 30 | Verse 19] അവൻ എന്നെ ചെളിയിൽ ഇട്ടിരിക്കുന്നു; ഞാൻ പൊടിക്കും ചാരത്തിന്നും തുല്യമായിരിക്കുന്നു.
