[IRV | ML | OT | Job | Chapter 29 | Verse 1] ഇയ്യോബ് പിന്നെയും സുഭാഷിതം ചൊല്ലിയതെന്തെന്നാൽ:
[IRV | ML | OT | Job | Chapter 29 | Verse 2] അയ്യോ പണ്ടത്തെ മാസങ്ങളിലെപ്പോലെ ദൈവം എന്നെ കാത്തുപോന്ന നാളുകളിലെപ്പോലെ ഞാൻ ആയെങ്കിൽ കൊള്ളായിരുന്നു.
[IRV | ML | OT | Job | Chapter 29 | Verse 3] അന്നു അവന്റെ ദീപം എന്റെ തലെക്കു മീതെ പ്രകാശിച്ചു; അവന്റെ വെളിച്ചത്താൽ ഞാൻ ഇരുട്ടിൽകൂടി നടന്നു.
[IRV | ML | OT | Job | Chapter 29 | Verse 4] എന്റെ കൂടാരത്തിന്നു ദൈവത്തിന്റെ സഖ്യത ഉണ്ടായിരിക്കും സർവ്വശക്തൻ എന്നോടുകൂടെ വസിക്കയും
[IRV | ML | OT | Job | Chapter 29 | Verse 5] എന്റെ മക്കൾ എന്റെ ചുറ്റും ഇരിക്കയും ചെയ്ത എന്റെ ശുഭകാലത്തിലെപ്പോലെ ഞാൻ ആയെങ്കിൽ കൊള്ളായിരുന്നു.
[IRV | ML | OT | Job | Chapter 29 | Verse 6] അന്നു ഞാൻ എന്റെ കാലുകളെ വെണ്ണകൊണ്ടു കഴുകി; പാറ എനിക്കു തൈലനദികളെ ഒഴുക്കിത്തന്നു.
[IRV | ML | OT | Job | Chapter 29 | Verse 7] ഞാൻ പുറപ്പെട്ടു പട്ടണത്തിലേക്കു പടിവാതില്ക്കൽ ചെന്നു. വിശാലസ്ഥലത്തു എന്റെ ഇരിപ്പിടം വെക്കുമ്പോൾ
[IRV | ML | OT | Job | Chapter 29 | Verse 8] യൗവനക്കാർ എന്നെ കണ്ടിട്ടു ഒളിക്കും; വൃദ്ധന്മാർ എഴുന്നേറ്റുനില്ക്കും.
[IRV | ML | OT | Job | Chapter 29 | Verse 9] പ്രഭുക്കന്മാർ സംസാരം നിർത്തി, കൈകൊണ്ടു വായ്പൊത്തും.
[IRV | ML | OT | Job | Chapter 29 | Verse 10] ശ്രേഷ്ഠന്മാരുടെ ശബ്ദം അടങ്ങും; അവരുടെ നാവു അണ്ണാക്കോടു പറ്റും.
[IRV | ML | OT | Job | Chapter 29 | Verse 11] എന്റെ വാക്കു കേട്ട ചെവി എന്നെ വാഴ്ത്തും; എന്നെ കണ്ട കണ്ണു എനിക്കു സാക്ഷ്യം നല്കും.
