[IRV | PA | OT | Ezra | Chapter 7 | Verse 1] ਇਨ੍ਹਾਂ ਗੱਲਾਂ ਦੇ ਬਾਅਦ ਫ਼ਾਰਸ ਦੇ ਰਾਜਾ ਅਰਤਹਸ਼ਸ਼ਤਾ ਦੇ ਰਾਜ ਵਿੱਚ ਅਜ਼ਰਾ ਸਰਾਯਾਹ ਦਾ ਪੁੱਤਰ, ਉਹ ਅਜ਼ਰਯਾਹ ਦਾ ਪੁੱਤਰ, ਉਹ ਹਿਲਕੀਯਾਹ ਦਾ ਪੁੱਤਰ,
[IRV | PA | OT | Ezra | Chapter 7 | Verse 2] ਉਹ ਸ਼ੱਲੂਮ ਦਾ ਪੁੱਤਰ, ਉਹ ਸਾਦੋਕ ਦਾ ਪੁੱਤਰ, ਉਹ ਅਹੀਟੂਬ ਦਾ ਪੁੱਤਰ,
[IRV | PA | OT | Ezra | Chapter 7 | Verse 3] ਉਹ ਅਮਰਯਾਹ ਦਾ ਪੁੱਤਰ, ਉਹ ਅਜ਼ਰਯਾਹ ਦਾ ਪੁੱਤਰ, ਉਹ ਮਰਾਯੋਥ ਦਾ ਪੁੱਤਰ,
[IRV | PA | OT | Ezra | Chapter 7 | Verse 4] ਉਹ ਜ਼ਰਹਯਾਹ ਦਾ ਪੁੱਤਰ, ਉਹ ਉੱਜ਼ੀ ਦਾ ਪੁੱਤਰ, ਉਹ ਬੁੱਕੀ ਦਾ ਪੁੱਤਰ,
[IRV | PA | OT | Ezra | Chapter 7 | Verse 5] ਉਹ ਅਬੀਸ਼ੂਆ ਦਾ ਪੁੱਤਰ, ਉਹ ਫ਼ੀਨਹਾਸ ਦਾ ਪੁੱਤਰ, ਉਹ ਅਲਆਜ਼ਾਰ ਦਾ ਪੁੱਤਰ, ਉਹ ਹਾਰੂਨ ਪ੍ਰਧਾਨ ਜਾਜਕ ਦਾ ਪੁੱਤਰ।
[IRV | PA | OT | Ezra | Chapter 7 | Verse 6] ਇਹ ਅਜ਼ਰਾ ਬਾਬਲ ਤੋਂ ਗਿਆ ਅਤੇ ਉਹ ਮੂਸਾ ਦੀ ਬਿਵਸਥਾ ਵਿੱਚ ਜੋ ਇਸਰਾਏਲ ਦੇ ਪਰਮੇਸ਼ੁਰ ਯਹੋਵਾਹ ਨੇ ਦਿੱਤੀ ਸੀ, ਬਹੁਤ ਨਿਪੁੰਨ ਸ਼ਾਸਤਰੀ ਸੀ ਅਤੇ ਯਹੋਵਾਹ, ਉਸ ਦੇ ਪਰਮੇਸ਼ੁਰ ਦਾ ਹੱਥ ਉਸ ਦੇ ਉੱਤੇ ਸੀ, ਇਸ ਲਈ ਰਾਜਾ ਨੇ ਉਸ ਦੀਆਂ ਸਾਰੀਆਂ ਮੰਗਾਂ ਪੂਰੀਆਂ ਕਰ ਦਿੱਤੀਆਂ।
[IRV | PA | OT | Ezra | Chapter 7 | Verse 7] ਅਤੇ ਇਸਰਾਏਲੀਆਂ, ਜਾਜਕਾਂ, ਲੇਵੀਆਂ, ਗਾਇਕਾਂ, ਦਰਬਾਨਾਂ ਤੇ ਨਥੀਨੀਮੀਆਂ ਵਿੱਚੋਂ ਕੁਝ ਲੋਕ ਅਰਤਹਸ਼ਸ਼ਤਾ ਰਾਜਾ ਦੇ ਸੱਤਵੇਂ ਸਾਲ ਵਿੱਚ ਯਰੂਸ਼ਲਮ ਨੂੰ ਆਏ
[IRV | PA | OT | Ezra | Chapter 7 | Verse 8] ਅਤੇ ਅਜ਼ਰਾ, ਰਾਜਾ ਦੇ ਸੱਤਵੇਂ ਸਾਲ ਦੇ ਪੰਜਵੇ ਮਹੀਨੇ ਯਰੂਸ਼ਲਮ ਵਿੱਚ ਪਹੁੰਚਿਆ।
[IRV | PA | OT | Ezra | Chapter 7 | Verse 9] ਪਹਿਲੇ ਮਹੀਨੇ ਦੇ ਪਹਿਲੇ ਦਿਨ, ਉਹ ਬਾਬਲ ਤੋਂ ਚੱਲਿਆ ਅਤੇ ਪੰਜਵੇ ਮਹੀਨੇ ਦੇ ਪਹਿਲੇ ਦਿਨ ਉਹ ਯਰੂਸ਼ਲਮ ਵਿੱਚ ਪਹੁੰਚ ਗਿਆ ਇਸ ਲਈ ਕਿ ਉਸ ਦੇ ਪਰਮੇਸ਼ੁਰ ਦੀ ਭਲਿਆਈ ਦਾ ਹੱਥ ਉਸ ਦੇ ਉੱਤੇ ਸੀ
[IRV | PA | OT | Ezra | Chapter 7 | Verse 10] ਕਿਉਂ ਜੋ ਅਜ਼ਰਾ ਨੇ ਯਹੋਵਾਹ ਦੀ ਬਿਵਸਥਾ ਦੀ ਖੋਜ ਕਰਨ ਅਤੇ ਉਸ ਦੇ ਉੱਤੇ ਚੱਲਣ ਅਤੇ ਇਸਰਾਏਲ ਨੂੰ ਬਿਧੀਆਂ ਤੇ ਨਿਯਮਾਂ ਦੀ ਸਿੱਖਿਆ ਦੇਣ ਉੱਤੇ ਮਨ ਲਗਾਇਆ ਸੀ।
[IRV | PA | OT | Ezra | Chapter 7 | Verse 11] ਜੋ ਚਿੱਠੀ ਅਰਤਹਸ਼ਸ਼ਤਾ ਰਾਜਾ ਨੇ ਅਜ਼ਰਾ ਜਾਜਕ ਤੇ ਸ਼ਾਸਤਰੀ ਨੂੰ ਦਿੱਤੀ, ਜੋ ਯਹੋਵਾਹ ਦੀਆਂ ਆਗਿਆ ਦੇ ਬਚਨਾਂ ਦਾ ਅਤੇ ਇਸਰਾਏਲ ਦੇ ਲਈ ਬਿਧੀਆਂ ਦਾ ਸ਼ਾਸਤਰੀ ਸੀ - ਉਹ ਦੀ ਨਕਲ ਇਹ ਹੈ:
