[IRV | PA | OT | Ezra | Chapter 2 | Verse 1] ਜਿਨ੍ਹਾਂ ਲੋਕਾਂ ਨੂੰ ਬਾਬਲ ਦਾ ਰਾਜਾ ਨਬੂਕਦਨੱਸਰ ਗ਼ੁਲਾਮ ਬਣਾ ਕੇ ਲੈ ਗਿਆ ਸੀ, ਉਨ੍ਹਾਂ ਵਿੱਚੋਂ ਯਰੂਸ਼ਲਮ ਅਤੇ ਯਹੂਦਾਹ ਦੇ ਸੂਬਿਆਂ ਦੇ ਜਿਹੜੇ ਲੋਕ ਗ਼ੁਲਾਮੀ ਤੋਂ ਛੁੱਟ ਕੇ ਆਪੋ ਆਪਣੇ ਨਗਰਾਂ ਨੂੰ ਮੁੜ ਆਏ ਸਨ, ਉਹ ਇਹ ਹਨ -
[IRV | PA | OT | Ezra | Chapter 2 | Verse 2] ਇਹ ਜ਼ਰੂੱਬਾਬਲ, ਯੇਸ਼ੂਆ, ਨਹਮਯਾਹ, ਸਰਾਯਾਹ, ਰਏਲਾਯਾਹ, ਮਾਰਦਕਈ, ਬਿਲਸ਼ਾਨ, ਮਿਸਪਾਰ, ਬਿਗਵਈ, ਰਹੂਮ ਅਤੇ ਬਆਨਾਹ ਨਾਲ ਆਏ। ਇਸਰਾਏਲੀ ਪਰਜਾ ਦੇ ਮਨੁੱਖਾਂ ਦੀ ਗਿਣਤੀ ਇਹ ਹੈ:
[IRV | PA | OT | Ezra | Chapter 2 | Verse 3] ਪਰੋਸ਼ ਦੀ ਸੰਤਾਨ, ਦੋ ਹਜ਼ਾਰ ਇੱਕ ਸੌ ਬਹੱਤਰ
[IRV | PA | OT | Ezra | Chapter 2 | Verse 4] ਸ਼ਫ਼ਟਯਾਹ ਦੀ ਸੰਤਾਨ, ਤਿੰਨ ਸੌ ਬਹੱਤਰ
[IRV | PA | OT | Ezra | Chapter 2 | Verse 5] ਆਰਹ ਦੀ ਸੰਤਾਨ, ਸੱਤ ਸੌ ਪੰਝੱਤਰ
[IRV | PA | OT | Ezra | Chapter 2 | Verse 6] ਪਹਥ-ਮੋਆਬ ਦੀ ਸੰਤਾਨ, ਯੇਸ਼ੂਆ ਅਤੇ ਯੋਆਬ ਦੇ ਵੰਸ਼ ਵਿੱਚੋਂ, ਦੋ ਹਜ਼ਾਰ ਅੱਠ ਸੌ ਬਾਰਾਂ
[IRV | PA | OT | Ezra | Chapter 2 | Verse 7] ਏਲਾਮ ਦੀ ਸੰਤਾਨ, ਇੱਕ ਹਜ਼ਾਰ ਦੋ ਸੌ ਚੁਰੰਜਾ
[IRV | PA | OT | Ezra | Chapter 2 | Verse 8] ਜ਼ੱਤੂ ਦੀ ਸੰਤਾਨ, ਨੌ ਸੌ ਪੰਤਾਲੀ
[IRV | PA | OT | Ezra | Chapter 2 | Verse 9] ਜ਼ੱਕਈ ਦੀ ਸੰਤਾਨ, ਸੱਤ ਸੌ ਸੱਠ
[IRV | PA | OT | Ezra | Chapter 2 | Verse 10] ਬਾਨੀ ਦੀ ਸੰਤਾਨ, ਛੇ ਸੌ ਬਤਾਲੀ
[IRV | PA | OT | Ezra | Chapter 2 | Verse 11] ਬੇਬਾਈ ਦੀ ਸੰਤਾਨ, ਛੇ ਸੌ ਤੇਈ
[IRV | PA | OT | Ezra | Chapter 2 | Verse 12] ਅਜ਼ਗਾਦ ਦੀ ਸੰਤਾਨ, ਇੱਕ ਹਜ਼ਾਰ ਦੋ ਸੌ ਬਾਈ
[IRV | PA | OT | Ezra | Chapter 2 | Verse 13] ਅਦੋਨੀਕਾਮ ਦੀ ਸੰਤਾਨ, ਛੇ ਸੌ ਛਿਆਹਠ
[IRV | PA | OT | Ezra | Chapter 2 | Verse 14] ਬਿਗਵਈ ਦੀ ਸੰਤਾਨ, ਦੋ ਹਜ਼ਾਰ ਛਿਪੰਜਾ,
[IRV | PA | OT | Ezra | Chapter 2 | Verse 15] ਆਦੀਨ ਦੀ ਸੰਤਾਨ, ਚਾਰ ਸੌ ਚੁਰੰਜਾ
[IRV | PA | OT | Ezra | Chapter 2 | Verse 16] ਅਟੇਰ ਦੀ ਸੰਤਾਨ, ਹਿਜ਼ਕੀਯਾਹ ਦੇ ਵੰਸ਼ ਵਿੱਚੋਂ ਅਠਾਨਵੇਂ
