[JPS | EN | OT | Isaiah | Chapter 32 | Verse 1] Behold, a king shall reign in righteousness, and as for princes, they shall rule in justice.
[JPS | EN | OT | Isaiah | Chapter 32 | Verse 2] And a man shall be as in a hiding-place from the wind, and a covert from the tempest; as by the watercourses in a dry place, as in the shadow of a great rock in a weary land.
[JPS | EN | OT | Isaiah | Chapter 32 | Verse 3] And the eyes of them that see shall not be closed, and the ears of them that hear shall attend.
[JPS | EN | OT | Isaiah | Chapter 32 | Verse 4] The heart also of the rash shall understand knowledge, and the tongue of the stammerers shall be ready to speak plainly.
[JPS | EN | OT | Isaiah | Chapter 32 | Verse 5] The vile person shall be no more called liberal, nor the churl said to be noble.
[JPS | EN | OT | Isaiah | Chapter 32 | Verse 6] For the vile person will speak villainy, and his heart will work iniquity, to practise ungodliness, and to utter wickedness against the LORD, to make empty the soul of the hungry, and to cause the drink of the thirsty to fail.
[JPS | EN | OT | Isaiah | Chapter 32 | Verse 7] The instruments also of the churl are evil; he deviseth wicked devices to destroy the poor with lying words, and the needy when he speaketh right.
[JPS | EN | OT | Isaiah | Chapter 32 | Verse 8] But the liberal deviseth liberal things; and by liberal things shall he stand.
[JPS | EN | OT | Isaiah | Chapter 32 | Verse 9] Rise up, ye women that are at ease, and hear my voice; ye confident daughters, give ear unto my speech.
[JPS | EN | OT | Isaiah | Chapter 32 | Verse 10] After a year and days shall ye be troubled, ye confident women; for the vintage shall fail, the ingathering shall not come.
[JPS | EN | OT | Isaiah | Chapter 32 | Verse 11] Tremble, ye women that are at ease; be troubled, ye confident ones; strip you, and make you bare, and gird sackcloth upon your loins,
[JPS | EN | OT | Isaiah | Chapter 32 | Verse 12] Smiting upon the breasts for the pleasant fields, for the fruitful vine;
[JPS | EN | OT | Isaiah | Chapter 32 | Verse 13] For the land of my people whereon thorns and briers come up; yea, for all the houses of joy and the joyous city.
[JPS | EN | OT | Isaiah | Chapter 32 | Verse 14] For the palace shall be forsaken; the city with its stir shall be deserted; the mound and the tower shall be for dens for ever, a joy of wild asses, a pasture of flocks;
[JPS | EN | OT | Isaiah | Chapter 32 | Verse 15] Until the spirit be poured upon us from on high, and the wilderness become a fruitful field, and the fruitful field be counted for a forest.
[JPS | EN | OT | Isaiah | Chapter 32 | Verse 16] Then justice shall dwell in the wilderness, and righteousness shall abide in the fruitful field.
[JPS | EN | OT | Isaiah | Chapter 32 | Verse 17] And the work of righteousness shall be peace; and the effect of righteousness quietness and confidence for ever.
[JPS | EN | OT | Isaiah | Chapter 32 | Verse 18] And my people shall abide in a peaceable habitation, and in secure dwellings, and in quiet resting-places.
[JPS | EN | OT | Isaiah | Chapter 32 | Verse 19] And it shall hail, in the downfall of the forest; but the city shall descend into the valley.
[JPS | EN | OT | Isaiah | Chapter 32 | Verse 20] Happy are ye that sow beside all waters, that send forth freely the feet of the ox and the ass.
