[JPS | EN | OT | Isaiah | Chapter 24 | Verse 1] Behold, the LORD maketh the earth empty and maketh it waste, and turneth it upside down, and scattereth abroad the inhabitants thereof.
[JPS | EN | OT | Isaiah | Chapter 24 | Verse 2] And it shall be, as with the people, so with the priest; as with the servant, so with his master; as with the maid, so with her mistress; as with the buyer, so with the seller; as with the lender, so with the borrower; as with the creditor, so with the debtor.
[JPS | EN | OT | Isaiah | Chapter 24 | Verse 3] The earth shall be utterly emptied, and clean despoiled; for the LORD hath spoken this word.
[JPS | EN | OT | Isaiah | Chapter 24 | Verse 4] The earth fainteth and fadeth away, the world faileth and fadeth away, the lofty people of the earth do fail.
[JPS | EN | OT | Isaiah | Chapter 24 | Verse 5] The earth also is defiled under the inhabitants thereof; because they have transgressed the laws, violated the statute, broken the everlasting covenant.
[JPS | EN | OT | Isaiah | Chapter 24 | Verse 6] Therefore hath a curse devoured the earth, and they that dwell therein are found guilty; therefore the inhabitants of the earth waste away, and men are left few.
[JPS | EN | OT | Isaiah | Chapter 24 | Verse 7] The new wine faileth, the vine fadeth; all the merry-hearted do sigh.
[JPS | EN | OT | Isaiah | Chapter 24 | Verse 8] The mirth of tabrets ceaseth, the noise of them that rejoice endeth, the joy of the harp ceaseth.
[JPS | EN | OT | Isaiah | Chapter 24 | Verse 9] They drink not wine with a song; strong drink is bitter to them that drink it.
[JPS | EN | OT | Isaiah | Chapter 24 | Verse 10] Broken down is the city of wasteness; every house is shut up, that none may come in.
[JPS | EN | OT | Isaiah | Chapter 24 | Verse 11] There is a crying in the streets amidst the wine; all joy is darkened, the mirth of the land is gone.
[JPS | EN | OT | Isaiah | Chapter 24 | Verse 12] In the city is left desolation, and the gate is smitten unto ruin.
[JPS | EN | OT | Isaiah | Chapter 24 | Verse 13] For thus shall it be in the midst of the earth, among the peoples, as at the beating of an olive-tree, as at the gleanings when the vintage is done.
[JPS | EN | OT | Isaiah | Chapter 24 | Verse 14] Those yonder lift up their voice, they sing for joy; for the majesty of the LORD they shout from the sea:
[JPS | EN | OT | Isaiah | Chapter 24 | Verse 15] 'Therefore glorify ye the LORD in the regions of light, even the name of the LORD, the God of Israel, in the isles of the sea.'
[JPS | EN | OT | Isaiah | Chapter 24 | Verse 16] From the uttermost part of the earth have we heard songs: 'Glory to the righteous.' But I say: I waste away, I waste away, woe is me! The treacherous deal treacherously; yea, the treacherous deal very treacherously.
[JPS | EN | OT | Isaiah | Chapter 24 | Verse 17] Terror, and the pit, and the trap, are upon thee, O inhabitant of the earth.
[JPS | EN | OT | Isaiah | Chapter 24 | Verse 18] And it shall come to pass, that he who fleeth from the noise of the terror shall fall into the pit; and he that cometh up out of the midst of the pit shall be taken in the trap; for the windows on high are opened, and the foundations of the earth do shake;
[JPS | EN | OT | Isaiah | Chapter 24 | Verse 19] The earth is broken, broken down, the earth is crumbled in pieces, the earth trembleth and tottereth;
[JPS | EN | OT | Isaiah | Chapter 24 | Verse 20] The earth reeleth to and fro like a drunken man, and swayeth to and fro as a lodge; and the transgression thereof is heavy upon it, and it shall fall, and not rise again.
[JPS | EN | OT | Isaiah | Chapter 24 | Verse 21] And it shall come to pass in that day, that the LORD will punish the host of the high heaven on high, and the kings of the earth upon the earth.
[JPS | EN | OT | Isaiah | Chapter 24 | Verse 22] And they shall be gathered together, as prisoners are gathered in the dungeon, and shall be shut up in the prison, and after many days shall they be punished.
[JPS | EN | OT | Isaiah | Chapter 24 | Verse 23] Then the moon shall be confounded, and the sun ashamed; for the LORD of hosts will reign in mount Zion, and in Jerusalem, and before His elders shall be Glory.
