[JPS | EN | OT | Isaiah | Chapter 55 | Verse 1] Ho, every one that thirsteth, come ye for water, and he that hath no money; come ye, buy, and eat; yea, come, buy wine and milk without money and without price.
[JPS | EN | OT | Isaiah | Chapter 55 | Verse 2] Wherefore do ye spend money for that which is not bread? and your gain for that which satisfieth not? Hearken diligently unto Me, and eat ye that which is good, and let your soul delight itself in fatness.
[JPS | EN | OT | Isaiah | Chapter 55 | Verse 3] Incline your ear, and come unto Me; hear, and your soul shall live; and I will make an everlasting covenant with you, even the sure mercies of David.
[JPS | EN | OT | Isaiah | Chapter 55 | Verse 4] Behold, I have given him for a witness to the peoples, a prince and commander to the peoples.
[JPS | EN | OT | Isaiah | Chapter 55 | Verse 5] Behold, thou shalt call a nation that thou knowest not, and a nation that knew not thee shall run unto thee; because of the LORD thy God, and for the Holy One of Israel, for He hath glorified thee.
[JPS | EN | OT | Isaiah | Chapter 55 | Verse 6] Seek ye the LORD while He may be found, call ye upon Him while He is near;
[JPS | EN | OT | Isaiah | Chapter 55 | Verse 7] Let the wicked forsake his way, and the man of iniquity his thoughts; and let him return unto the LORD, and He will have compassion upon him, and to our God, for He will abundantly pardon.
[JPS | EN | OT | Isaiah | Chapter 55 | Verse 8] For My thoughts are not your thoughts, neither are your ways My ways, saith the LORD.
[JPS | EN | OT | Isaiah | Chapter 55 | Verse 9] For as the heavens are higher than the earth, so are My ways higher than your ways, and My thoughts than your thoughts.
[JPS | EN | OT | Isaiah | Chapter 55 | Verse 10] For as the rain cometh down and the snow from heaven, and returneth not thither, except it water the earth, and make it bring forth and bud, and give seed to the sower and bread to the eater;
[JPS | EN | OT | Isaiah | Chapter 55 | Verse 11] So shall My word be that goeth forth out of My mouth: it shall not return unto Me void, except it accomplish that which I please, and make the thing whereto I sent it prosper.
[JPS | EN | OT | Isaiah | Chapter 55 | Verse 12] For ye shall go out with joy, and be led forth with peace; the mountains and the hills shall break forth before you into singing, and all the trees of the field shall clap their hands.
[JPS | EN | OT | Isaiah | Chapter 55 | Verse 13] Instead of the thorn shall come up the cypress, and instead of the brier shall come up the myrtle; and it shall be to the LORD for a memorial, for an everlasting sign that shall not be cut off.
