[JPS | EN | OT | Isaiah | Chapter 10 | Verse 1] Woe unto them that decree unrighteous decrees, and to the writers that write iniquity;
[JPS | EN | OT | Isaiah | Chapter 10 | Verse 2] To turn aside the needy from judgment, and to take away the right of the poor of My people, that widows may be their spoil, and that they may make the fatherless their prey!
[JPS | EN | OT | Isaiah | Chapter 10 | Verse 3] And what will ye do in the day of visitation, and in the ruin which shall come from far? To whom will ye flee for help? And where will ye leave your glory?
[JPS | EN | OT | Isaiah | Chapter 10 | Verse 4] They can do nought except crouch under the captives, and fall under the slain. For all this His anger is not turned away, but His hand is stretched out still.
[JPS | EN | OT | Isaiah | Chapter 10 | Verse 5] O Asshur, the rod of Mine anger, in whose hand as a staff is Mine indignation!
[JPS | EN | OT | Isaiah | Chapter 10 | Verse 6] I do send him against an ungodly nation, and against the people of My wrath do I give him a charge, to take the spoil, and to take the prey, and to tread them down like the mire of the streets.
[JPS | EN | OT | Isaiah | Chapter 10 | Verse 7] Howbeit he meaneth not so, neither doth his heart think so; but it is in his heart to destroy, and to cut off nations not a few.
[JPS | EN | OT | Isaiah | Chapter 10 | Verse 8] For he saith: 'Are not my princes all of them kings?
[JPS | EN | OT | Isaiah | Chapter 10 | Verse 9] Is not Calno as Carchemish? Is not Hamath as Arpad? Is not Samaria as Damascus?
[JPS | EN | OT | Isaiah | Chapter 10 | Verse 10] As my hand hath reached the kingdoms of the idols, whose graven images did exceed them of Jerusalem and of Samaria;
[JPS | EN | OT | Isaiah | Chapter 10 | Verse 11] Shall I not, as I have done unto Samaria and her idols, so do to Jerusalem and her idols?'
[JPS | EN | OT | Isaiah | Chapter 10 | Verse 12] Wherefore it shall come to pass, that when the Lord hath performed His whole work upon mount Zion and on Jerusalem, I will punish the fruit of the arrogant heart of the king of Assyria, and the glory of his haughty looks.
[JPS | EN | OT | Isaiah | Chapter 10 | Verse 13] For he hath said: by the strength of my hand I have done it, and by my wisdom, for I am prudent; in that I have removed the bounds of the peoples, and have robbed their treasures, and have brought down as one mighty the inhabitants;
[JPS | EN | OT | Isaiah | Chapter 10 | Verse 14] And my hand hath found as a nest the riches of the peoples; and as one gathereth eggs that are forsaken, have I gathered all the earth; and there was none that moved the wing, or that opened the mouth, or chirped.
[JPS | EN | OT | Isaiah | Chapter 10 | Verse 15] Should the axe boast itself against him that heweth therewith? Should the saw magnify itself against him that moveth it? as if a rod should move them that lift it up, or as if a staff should lift up him that is not wood.
[JPS | EN | OT | Isaiah | Chapter 10 | Verse 16] Therefore will the Lord, the LORD of hosts, send among his fat ones leanness; and under his glory there shall be kindled a burning like the burning of fire.
[JPS | EN | OT | Isaiah | Chapter 10 | Verse 17] And the light of Israel shall be for a fire, and his Holy One for a flame; and it shall burn and devour his thorns and his briers in one day.
[JPS | EN | OT | Isaiah | Chapter 10 | Verse 18] And the glory of his forest and of his fruitful field, he will consume both soul and body; and it shall be as when a sick man wasteth away.
[JPS | EN | OT | Isaiah | Chapter 10 | Verse 19] And the remnant of the trees of his forest shall be few, that a child may write them down.
[JPS | EN | OT | Isaiah | Chapter 10 | Verse 20] And it shall come to pass in that day, that the remnant of Israel, and they that are escaped of the house of Jacob, shall no more again stay upon him that smote them; but shall stay upon the LORD, the Holy One of Israel, in truth.
[JPS | EN | OT | Isaiah | Chapter 10 | Verse 21] A remnant shall return, even the remnant of Jacob, unto God the Mighty.
[JPS | EN | OT | Isaiah | Chapter 10 | Verse 22] For though thy people, O Israel, be as the sand of the sea, only a remnant of them shall return; an extermination is determined, overflowing with righteousness.
[JPS | EN | OT | Isaiah | Chapter 10 | Verse 23] For an extermination wholly determined shall the Lord, the GOD of hosts, make in the midst of all the earth.
[JPS | EN | OT | Isaiah | Chapter 10 | Verse 24] Therefore thus saith the Lord, the GOD of hosts: O My people that dwellest in Zion, be not afraid of Asshur, though he smite thee with the rod, and lift up his staff against thee, after the manner of Egypt.
[JPS | EN | OT | Isaiah | Chapter 10 | Verse 25] For yet a very little while, and the indignation shall be accomplished, and Mine anger shall be to their destruction.
[JPS | EN | OT | Isaiah | Chapter 10 | Verse 26] And the LORD of hosts shall stir up against him a scourge, as in the slaughter of Midian at the Rock of Oreb; and as His rod was over the sea, so shall He lift it up after the manner of Egypt.
[JPS | EN | OT | Isaiah | Chapter 10 | Verse 27] And it shall come to pass in that day, that his burden shall depart from off thy shoulder, and his yoke from off thy neck, and the yoke shall be destroyed by reason of fatness.
[JPS | EN | OT | Isaiah | Chapter 10 | Verse 28] He is come to Aiath, he is passed through Migron; at Michmas he layeth up his baggage;
[JPS | EN | OT | Isaiah | Chapter 10 | Verse 29] They are gone over the pass; they have taken up their lodging at Geba; Ramah trembleth; Gibeath-shaul is fled.
[JPS | EN | OT | Isaiah | Chapter 10 | Verse 30] Cry thou with a shrill voice, O daughter of Gallim! Hearken, O Laish! O thou poor Anathoth!
[JPS | EN | OT | Isaiah | Chapter 10 | Verse 31] Madmenah is in mad flight; the inhabitants of Gebim flee to cover.
[JPS | EN | OT | Isaiah | Chapter 10 | Verse 32] This very day shall he halt at Nob, shaking his hand at the mount of the daughter of Zion, the hill of Jerusalem.
[JPS | EN | OT | Isaiah | Chapter 10 | Verse 33] Behold, the Lord, the LORD of hosts, shall lop the boughs with terror; and the high ones of stature shall be hewn down, and the lofty shall be laid low.
[JPS | EN | OT | Isaiah | Chapter 10 | Verse 34] And He shall cut down the thickets of the forest with iron, and Lebanon shall fall by a mighty one.
