[JPS | EN | OT | Isaiah | Chapter 63 | Verse 1] 'Who is this that cometh from Edom, with crimsoned garments from Bozrah? This that is glorious in his apparel, stately in the greatness of his strength?' — 'I that speak in victory, mighty to save.' —
[JPS | EN | OT | Isaiah | Chapter 63 | Verse 2] 'Wherefore is Thine apparel red, and Thy garments like his that treadeth in the winevat?' —
[JPS | EN | OT | Isaiah | Chapter 63 | Verse 3] 'I have trodden the winepress alone, and of the peoples there was no man with Me; yea, I trod them in Mine anger, and trampled them in My fury; and their lifeblood is dashed against My garments, and I have stained all My raiment.
[JPS | EN | OT | Isaiah | Chapter 63 | Verse 4] For the day of vengeance that was in My heart, and My year of redemption are come.
[JPS | EN | OT | Isaiah | Chapter 63 | Verse 5] And I looked, and there was none to help, and I beheld in astonishment, and there was none to uphold; therefore Mine own arm brought salvation unto Me, and My fury, it upheld Me.
[JPS | EN | OT | Isaiah | Chapter 63 | Verse 6] And I trod down the peoples in Mine anger, and made them drunk with My fury, and I poured out their lifeblood on the earth.'
[JPS | EN | OT | Isaiah | Chapter 63 | Verse 7] I will make mention of the mercies of the LORD, and the praises of the LORD, according to all that the LORD hath bestowed on us; and the great goodness toward the house of Israel, which He hath bestowed on them according to His compassions, and according to the multitude of His mercies.
[JPS | EN | OT | Isaiah | Chapter 63 | Verse 8] For He said: 'Surely, they are My people, children that will not deal falsely'; so He was their Saviour.
[JPS | EN | OT | Isaiah | Chapter 63 | Verse 9] In all their affliction He was afflicted, and the angel of His presence saved them; in His love and in His pity He redeemed them; and He bore them, and carried them all the days of old.
[JPS | EN | OT | Isaiah | Chapter 63 | Verse 10] But they rebelled, and grieved His holy spirit; therefore He was turned to be their enemy, Himself fought against them.
[JPS | EN | OT | Isaiah | Chapter 63 | Verse 11] Then His people remembered the days of old, the days of Moses: 'Where is He that brought them up out of the sea with the shepherds of His flock? Where is He that put His holy spirit in the midst of them?
[JPS | EN | OT | Isaiah | Chapter 63 | Verse 12] That caused His glorious arm to go at the right hand of Moses? That divided the water before them, to make Himself an everlasting name?
[JPS | EN | OT | Isaiah | Chapter 63 | Verse 13] That led them through the deep, as a horse in the wilderness, without stumbling?
[JPS | EN | OT | Isaiah | Chapter 63 | Verse 14] As the cattle that go down into the valley, the spirit of the LORD caused them to rest; so didst Thou lead Thy people, to make Thyself a glorious name.'
[JPS | EN | OT | Isaiah | Chapter 63 | Verse 15] Look down from heaven, and see, even from Thy holy and glorious habitation; Where is Thy zeal and Thy mighty acts, the yearning of Thy heart and Thy compassions, now restrained toward me?
[JPS | EN | OT | Isaiah | Chapter 63 | Verse 16] For Thou art our Father; for Abraham knoweth us not, and Israel doth not acknowledge us; Thou, O LORD, art our Father, our Redeemer from everlasting is Thy name.
[JPS | EN | OT | Isaiah | Chapter 63 | Verse 17] O LORD, why dost Thou make us to err from Thy ways, and hardenest our heart from Thy fear? Return for Thy servants' sake, the tribes of Thine inheritance.
[JPS | EN | OT | Isaiah | Chapter 63 | Verse 18] Thy holy people they have well nigh driven out, our adversaries have trodden down Thy sanctuary.
[JPS | EN | OT | Isaiah | Chapter 63 | Verse 19] We are become as they over whom Thou never borest rule, as they that were not called by Thy name.
