[JPS | EN | OT | Isaiah | Chapter 37 | Verse 1] And it came to pass, when king Hezekiah heard it, that he rent his clothes, and covered himself with sackcloth, and went into the house of the LORD.
[JPS | EN | OT | Isaiah | Chapter 37 | Verse 2] And he sent Eliakim, who was over the household, and Shebna the scribe, and the elders of the priests, covered with sackcloth, unto Isaiah the prophet the son of Amoz.
[JPS | EN | OT | Isaiah | Chapter 37 | Verse 3] And they said unto him: 'Thus saith Hezekiah: This day is a day of trouble, and of rebuke, and of contumely; for the children are come to the birth, and there is not strength to bring forth.
[JPS | EN | OT | Isaiah | Chapter 37 | Verse 4] It may be the LORD thy God will hear the words of Rab-shakeh, whom the king of Assyria his master hath sent to taunt the living God, and will rebuke the words which the LORD thy God hath heard; wherefore make prayer for the remnant that is left.'
[JPS | EN | OT | Isaiah | Chapter 37 | Verse 5] So the servants of king Hezekiah came to Isaiah.
[JPS | EN | OT | Isaiah | Chapter 37 | Verse 6] And Isaiah said unto them: 'Thus shall ye say to your master: Thus saith the LORD: Be not afraid of the words that thou hast heard, wherewith the servants of the king of Assyria have blasphemed Me.
[JPS | EN | OT | Isaiah | Chapter 37 | Verse 7] Behold, I will put a spirit in him, and he shall hear a rumour, and shall return unto his own land; and I will cause him to fall by the sword in his own land.'
[JPS | EN | OT | Isaiah | Chapter 37 | Verse 8] So Rab-shakeh returned, and found the king of Assyria warring against Libnah; for he had heard that he was departed from Lachish.
[JPS | EN | OT | Isaiah | Chapter 37 | Verse 9] And he heard say concerning Tirhakah king of Ethiopia: 'He is come out to fight against thee.' And when he heard it, he sent messengers to Hezekiah, saying:
[JPS | EN | OT | Isaiah | Chapter 37 | Verse 10] 'Thus shall ye speak to Hezekiah king of Judah, saying: Let not thy God in whom thou trustest beguile thee, saying: Jerusalem shall not be given into the hand of the king of Assyria.
[JPS | EN | OT | Isaiah | Chapter 37 | Verse 11] Behold, thou hast heard what the kings of Assyria have done to all lands, by destroying them utterly; and shalt thou be delivered?
[JPS | EN | OT | Isaiah | Chapter 37 | Verse 12] Have the gods of the nations delivered them, which my fathers have destroyed, Gozan, and Haran, and Rezeph, and the children of Eden that were in Telassar?
[JPS | EN | OT | Isaiah | Chapter 37 | Verse 13] Where is the king of Hamath, and the king of Arpad, and the king of the city of Sepharvaim, of Hena, and Ivvah?'
[JPS | EN | OT | Isaiah | Chapter 37 | Verse 14] And Hezekiah received the letter from the hand of the messengers, and read it; and Hezekiah went up unto the house of the LORD, and spread it before the LORD.
[JPS | EN | OT | Isaiah | Chapter 37 | Verse 15] And Hezekiah prayed unto the LORD, saying:
[JPS | EN | OT | Isaiah | Chapter 37 | Verse 16] 'O LORD of hosts, the God of Israel, that sittest upon the cherubim, Thou art the God, even Thou alone, of all the kingdoms of the earth; Thou hast made heaven and earth.
[JPS | EN | OT | Isaiah | Chapter 37 | Verse 17] Incline Thine ear, O LORD, and hear; open Thine eyes, O LORD, and see; and hear all the words of Sennacherib, who hath sent to taunt the living God.
[JPS | EN | OT | Isaiah | Chapter 37 | Verse 18] Of a truth, LORD, the kings of Assyria have laid waste all the countries, and their land,
[JPS | EN | OT | Isaiah | Chapter 37 | Verse 19] and have cast their gods into the fire; for they were no gods, but the work of men's hands, wood and stone; therefore they have destroyed them.
[JPS | EN | OT | Isaiah | Chapter 37 | Verse 20] Now therefore, O LORD our God, save us from his hand, that all the kingdoms of the earth may know that Thou art the LORD, even Thou only.'
[JPS | EN | OT | Isaiah | Chapter 37 | Verse 21] Then Isaiah the son of Amoz sent unto Hezekiah, saying: 'Thus saith the LORD, the God of Israel: Whereas thou hast prayed to Me against Sennacherib king of Assyria,
[JPS | EN | OT | Isaiah | Chapter 37 | Verse 22] this is the word which the LORD hath spoken concerning him: The virgin daughter of Zion hath despised thee and laughed thee to scorn; the daughter of Jerusalem hath shaken her head at thee.
[JPS | EN | OT | Isaiah | Chapter 37 | Verse 23] Whom hast thou taunted and blasphemed? And against whom hast thou exalted thy voice? Yea, thou hast lifted up thine eyes on high, even against the Holy One of Israel!
[JPS | EN | OT | Isaiah | Chapter 37 | Verse 24] By thy servants hast thou taunted the Lord, and hast said: With the multitude of my chariots am I come up to the height of the mountains, to the innermost parts of Lebanon; and I have cut down the tall cedars thereof, and the choice cypress-trees thereof; and I have entered into his farthest height, the forest of his fruitful field.
[JPS | EN | OT | Isaiah | Chapter 37 | Verse 25] I have digged and drunk water, and with the sole of my feet have I dried up all the rivers of Egypt.
[JPS | EN | OT | Isaiah | Chapter 37 | Verse 26] Hast thou not heard? Long ago I made it, in ancient times I fashioned it; now have I brought it to pass, yea, it is done; that fortified cities should be laid waste into ruinous heaps.
[JPS | EN | OT | Isaiah | Chapter 37 | Verse 27] Therefore their inhabitants were of small power, they were dismayed and confounded; they were as the grass of the field, and as the green herb, as the grass on the housetops, and as a field of corn before it is grown up.
[JPS | EN | OT | Isaiah | Chapter 37 | Verse 28] But I know thy sitting down, and thy going out, and thy coming in, and thy raging against Me.
[JPS | EN | OT | Isaiah | Chapter 37 | Verse 29] Because of thy raging against Me, and for that thine uproar is come up into Mine ears, therefore will I put My hook in thy nose, and My bridle in thy lips, and I will turn thee back by the way by which thou camest.
[JPS | EN | OT | Isaiah | Chapter 37 | Verse 30] And this shall be the sign unto thee: ye shall eat this year that which groweth of itself, and in the second year that which springeth of the same; and in the third year sow ye, and reap, and plant vineyards, and eat the fruit thereof.
