[JPS | EN | OT | Isaiah | Chapter 2 | Verse 1] The word that Isaiah the son of Amoz saw concerning Judah and Jerusalem.
[JPS | EN | OT | Isaiah | Chapter 2 | Verse 2] And it shall come to pass in the end of days, that the mountain of the LORD'S house shall be established as the top of the mountains, and shall be exalted above the hills; and all nations shall flow unto it.
[JPS | EN | OT | Isaiah | Chapter 2 | Verse 3] And many peoples shall go and say: 'Come ye, and let us go up to the mountain of the LORD, to the house of the God of Jacob; and He will teach us of His ways, and we will walk in His paths.' For out of Zion shall go forth the law, and the word of the LORD from Jerusalem.
[JPS | EN | OT | Isaiah | Chapter 2 | Verse 4] And He shall judge between the nations, and shall decide for many peoples; and they shall beat their swords into plowshares, and their spears into pruninghooks; nation shall not lift up sword against nation, neither shall they learn war any more.
[JPS | EN | OT | Isaiah | Chapter 2 | Verse 5] O house of Jacob, come ye, and let us walk in the light of the LORD.
[JPS | EN | OT | Isaiah | Chapter 2 | Verse 6] For Thou hast forsaken Thy people the house of Jacob; for they are replenished from the east, and with soothsayers like the Philistines, and they please themselves in the brood of aliens.
[JPS | EN | OT | Isaiah | Chapter 2 | Verse 7] Their land also is full of silver and gold, neither is there any end of their treasures; their land also is full of horses, neither is there any end of their chariots.
[JPS | EN | OT | Isaiah | Chapter 2 | Verse 8] Their land also is full of idols; every one worshippeth the work of his own hands, that which his own fingers have made.
[JPS | EN | OT | Isaiah | Chapter 2 | Verse 9] And man boweth down, and man lowereth himself; and Thou canst not bear with them.
[JPS | EN | OT | Isaiah | Chapter 2 | Verse 10] Enter into the rock, and hide thee in the dust, from before the terror of the LORD, and from the glory of His majesty.
[JPS | EN | OT | Isaiah | Chapter 2 | Verse 11] The lofty looks of man shall be brought low, and the haughtiness of men shall be bowed down, and the LORD alone shall be exalted in that day.
[JPS | EN | OT | Isaiah | Chapter 2 | Verse 12] For the LORD of hosts hath a day upon all that is proud and lofty, and upon all that is lifted up, and it shall be brought low;
[JPS | EN | OT | Isaiah | Chapter 2 | Verse 13] And upon all the cedars of Lebanon that are high and lifted up, and upon all the oaks of Bashan;
[JPS | EN | OT | Isaiah | Chapter 2 | Verse 14] And upon all the high mountains, and upon all the hills that are lifted up;
[JPS | EN | OT | Isaiah | Chapter 2 | Verse 15] And upon every lofty tower, and upon every fortified wall;
[JPS | EN | OT | Isaiah | Chapter 2 | Verse 16] And upon all the ships of Tarshish, and upon all delightful imagery.
[JPS | EN | OT | Isaiah | Chapter 2 | Verse 17] And the loftiness of man shall be bowed down, and the haughtiness of men shall be brought low; and the LORD alone shall be exalted in that day.
[JPS | EN | OT | Isaiah | Chapter 2 | Verse 18] And the idols shall utterly pass away.
[JPS | EN | OT | Isaiah | Chapter 2 | Verse 19] And men shall go into the caves of the rocks, and into the holes of the earth, from before the terror of the LORD, and from the glory of His majesty, when He ariseth to shake mightily the earth.
[JPS | EN | OT | Isaiah | Chapter 2 | Verse 20] In that day a man shall cast away his idols of silver, and his idols of gold, which they made for themselves to worship, to the moles and to the bats;
[JPS | EN | OT | Isaiah | Chapter 2 | Verse 21] To go into the clefts of the rocks, and into the crevices of the crags, from before the terror of the LORD, and from the glory of His majesty, when he ariseth to shake mightily the earth.
[JPS | EN | OT | Isaiah | Chapter 2 | Verse 22] Cease ye from man, in whose nostrils is a breath; for how little is he to be accounted!
