[JPS | EN | OT | Isaiah | Chapter 49 | Verse 1] Listen, O isles, unto me, and hearken, ye peoples, from far: the LORD hath called me from the womb, from the bowels of my mother hath He made mention of my name;
[JPS | EN | OT | Isaiah | Chapter 49 | Verse 2] And He hath made my mouth like a sharp sword, in the shadow of His hand hath He hid me; and He hath made me a polished shaft, in His quiver hath He concealed me;
[JPS | EN | OT | Isaiah | Chapter 49 | Verse 3] And He said unto me: 'Thou art My servant, Israel, in whom I will be glorified.'
[JPS | EN | OT | Isaiah | Chapter 49 | Verse 4] But I said: 'I have laboured in vain, I have spent my strength for nought and vanity; yet surely my right is with the LORD, and my recompense with my God.'
[JPS | EN | OT | Isaiah | Chapter 49 | Verse 5] And now saith the LORD that formed me from the womb to be His servant, to bring Jacob back to Him, and that Israel be gathered unto Him — for I am honourable in the eyes of the LORD, and my God is become my strength —
[JPS | EN | OT | Isaiah | Chapter 49 | Verse 6] Yea, He saith: 'It is too light a thing that thou shouldest be My servant to raise up the tribes of Jacob, and to restore the offspring of Israel; I will also give thee for a light of the nations, that My salvation may be unto the end of the earth.'
[JPS | EN | OT | Isaiah | Chapter 49 | Verse 7] Thus saith the LORD, the Redeemer of Israel, his Holy One, to him who is despised of men, to him who is abhorred of nations, to a servant of rulers: Kings shall see and arise, princes, and they shall prostrate themselves; because of the LORD that is faithful, even the Holy One of Israel, who hath chosen thee.
[JPS | EN | OT | Isaiah | Chapter 49 | Verse 8] Thus saith the LORD: In an acceptable time have I answered thee, and in a day of salvation have I helped thee; and I will preserve thee, and give thee for a covenant of the people, to raise up the land, to cause to inherit the desolate heritages;
[JPS | EN | OT | Isaiah | Chapter 49 | Verse 9] Saying to the prisoners: 'Go forth'; to them that are in darkness: 'Show yourselves'; they shall feed in the ways, and in all high hills shall be their pasture;
[JPS | EN | OT | Isaiah | Chapter 49 | Verse 10] They shall not hunger nor thirst, neither shall the heat nor sun smite them; for He that hath compassion on them will lead them, even by the springs of water will He guide them.
[JPS | EN | OT | Isaiah | Chapter 49 | Verse 11] And I will make all My mountains a way, and My highways shall be raised on high.
[JPS | EN | OT | Isaiah | Chapter 49 | Verse 12] Behold, these shall come from far; and, lo, these from the north and from the west, and these from the land of Sinim.
[JPS | EN | OT | Isaiah | Chapter 49 | Verse 13] Sing, O heavens, and be joyful, O earth, and break forth into singing, O mountains; for the LORD hath comforted His people, and hath compassion upon His afflicted.
[JPS | EN | OT | Isaiah | Chapter 49 | Verse 14] But Zion said: 'The LORD hath forsaken me, and the Lord hath forgotten me.'
[JPS | EN | OT | Isaiah | Chapter 49 | Verse 15] Can a woman forget her sucking child, that she should not have compassion on the son of her womb? Yea, these may forget, yet will not I forget thee.
[JPS | EN | OT | Isaiah | Chapter 49 | Verse 16] Behold, I have graven thee upon the palms of My hands; thy walls are continually before Me.
[JPS | EN | OT | Isaiah | Chapter 49 | Verse 17] Thy children make haste; thy destroyers and they that made thee waste shall go forth from thee.
[JPS | EN | OT | Isaiah | Chapter 49 | Verse 18] Lift up thine eyes round about, and behold: all these gather themselves together, and come to thee. As I live, saith the LORD, thou shalt surely clothe thee with them all as with an ornament, and gird thyself with them, like a bride.
[JPS | EN | OT | Isaiah | Chapter 49 | Verse 19] For thy waste and thy desolate places and thy land that hath been destroyed — surely now shalt thou be too strait for the inhabitants, and they that swallowed thee up shall be far away.
[JPS | EN | OT | Isaiah | Chapter 49 | Verse 20] The children of thy bereavement shall yet say in thine ears: 'The place is too strait for me; give place to me that I may dwell.'
[JPS | EN | OT | Isaiah | Chapter 49 | Verse 21] Then shalt thou say in thy heart: 'Who hath begotten me these, seeing I have been bereaved of my children, and am solitary, an exile, and wandering to and fro? And who hath brought up these? Behold, I was left alone; these, where were they?'
[JPS | EN | OT | Isaiah | Chapter 49 | Verse 22] Thus saith the Lord GOD: Behold, I will lift up My hand to the nations, and set up Mine ensign to the peoples, and they shall bring thy sons in their bosom, and thy daughters shall be carried upon their shoulders.
[JPS | EN | OT | Isaiah | Chapter 49 | Verse 23] And kings shall be thy foster-fathers, and their queens thy nursing mothers; they shall bow down to thee with their face to the earth, and lick the dust of thy feet; and thou shalt know that I am the LORD, for they shall not be ashamed that wait for Me.
[JPS | EN | OT | Isaiah | Chapter 49 | Verse 24] Shall the prey be taken from the mighty, or the captives of the victorious be delivered?
[JPS | EN | OT | Isaiah | Chapter 49 | Verse 25] But thus saith the LORD: Even the captives of the mighty shall be taken away, and the prey of the terrible shall be delivered; and I will contend with him that contendeth with thee, and I will save thy children.
[JPS | EN | OT | Isaiah | Chapter 49 | Verse 26] And I will feed them that oppress thee with their own flesh; and they shall be drunken with their own blood, as with sweet wine; and all flesh shall know that I the LORD am thy Saviour, and thy Redeemer, the Mighty One of Jacob.
