[ERV | EN | NT | Colossians | Chapter 3 | Verse 1] If then ye were raised together with Christ, seek the things that are above, where Christ is, seated on the right hand of God.
[ERV | EN | NT | Colossians | Chapter 3 | Verse 2] Set your mind on the things that are above, not on the things that are upon the earth.
[ERV | EN | NT | Colossians | Chapter 3 | Verse 3] For ye died, and your life is hid with Christ in God.
[ERV | EN | NT | Colossians | Chapter 3 | Verse 4] When Christ, who is our life, shall be manifested, then shall ye also with him be manifested in glory.
[ERV | EN | NT | Colossians | Chapter 3 | Verse 5] Mortify therefore your members which are upon the earth; fornication, uncleanness, passion, evil desire, and covetousness, the which is idolatry;
[ERV | EN | NT | Colossians | Chapter 3 | Verse 6] for which things’ sake cometh the wrath of God upon the sons of disobedience;
[ERV | EN | NT | Colossians | Chapter 3 | Verse 7] in the which ye also walked aforetime, when ye lived in these things.
[ERV | EN | NT | Colossians | Chapter 3 | Verse 8] But now put ye also away all these; anger, wrath, malice, railing, shameful speaking out of your mouth:
[ERV | EN | NT | Colossians | Chapter 3 | Verse 9] lie not one to another; seeing that ye have put off the old man with his doings,
[ERV | EN | NT | Colossians | Chapter 3 | Verse 10] and have put on the new man, which is being renewed unto knowledge after the image of him that created him:
[ERV | EN | NT | Colossians | Chapter 3 | Verse 11] where there cannot be Greek and Jew, circumcision and uncircumcision, barbarian, Scythian, bondman, freeman: but Christ is all, and in all.
[ERV | EN | NT | Colossians | Chapter 3 | Verse 12] Put on therefore, as God’s elect, holy and beloved, a heart of compassion, kindness, humility, meekness, longsuffering;
[ERV | EN | NT | Colossians | Chapter 3 | Verse 13] forbearing one another, and forgiving each other, if any man have a complaint against any; even as the Lord forgave you, so also do ye:
[ERV | EN | NT | Colossians | Chapter 3 | Verse 14] and above all these things put on love, which is the bond of perfectness.
[ERV | EN | NT | Colossians | Chapter 3 | Verse 15] And let the peace of Christ rule in your hearts, to the which also ye were called in one body; and be ye thankful.
[ERV | EN | NT | Colossians | Chapter 3 | Verse 16] Let the word of Christ dwell in you richly in all wisdom; teaching and admonishing one another with psalms and hymns and spiritual songs, singing with grace in your hearts unto God.
[ERV | EN | NT | Colossians | Chapter 3 | Verse 17] And whatsoever ye do, in word or in deed, do all in the name of the Lord Jesus, giving thanks to God the Father through him.
[ERV | EN | NT | Colossians | Chapter 3 | Verse 18] Wives, be in subjection to your husbands, as is fitting in the Lord.
[ERV | EN | NT | Colossians | Chapter 3 | Verse 19] Husbands, love your wives, and be not bitter against them.
[ERV | EN | NT | Colossians | Chapter 3 | Verse 20] Children, obey your parents in all things, for this is well-pleasing in the Lord.
[ERV | EN | NT | Colossians | Chapter 3 | Verse 21] Fathers, provoke not your children, that they be not discouraged.
[ERV | EN | NT | Colossians | Chapter 3 | Verse 22] Servants, obey in all things them that are your masters according to the flesh; not with eyeservice, as men-pleasers, but in singleness of heart, fearing the Lord:
[ERV | EN | NT | Colossians | Chapter 3 | Verse 23] whatsoever ye do, work heartily, as unto the Lord, and not unto men;
[ERV | EN | NT | Colossians | Chapter 3 | Verse 24] knowing that from the Lord ye shall receive the recompense of the inheritance: ye serve the Lord Christ.
[ERV | EN | NT | Colossians | Chapter 3 | Verse 25] For he that doeth wrong shall receive again for the wrong that he hath done: and there is no respect of persons.
