[SBLGNT | EL | NT | Romans | Chapter 3 | Verse 1] Τί οὖν τὸ περισσὸν τοῦ Ἰουδαίου, ἢ τίς ἡ ὠφέλεια τῆς περιτομῆς;
[SBLGNT | EL | NT | Romans | Chapter 3 | Verse 2] πολὺ κατὰ πάντα τρόπον. πρῶτον μὲν ⸀γὰρ ὅτι ἐπιστεύθησαν τὰ λόγια τοῦ θεοῦ.
[SBLGNT | EL | NT | Romans | Chapter 3 | Verse 3] τί γάρ; εἰ ἠπίστησάν τινες, μὴ ἡ ἀπιστία αὐτῶν τὴν πίστιν τοῦ θεοῦ καταργήσει;
[SBLGNT | EL | NT | Romans | Chapter 3 | Verse 4] μὴ γένοιτο· γινέσθω δὲ ὁ θεὸς ἀληθής, πᾶς δὲ ἄνθρωπος ψεύστης, ⸀καθὼς γέγραπται· Ὅπως ἂν δικαιωθῇς ἐν τοῖς λόγοις σου καὶ ⸀νικήσεις ἐν τῷ κρίνεσθαί σε.
[SBLGNT | EL | NT | Romans | Chapter 3 | Verse 5] εἰ δὲ ἡ ἀδικία ἡμῶν θεοῦ δικαιοσύνην συνίστησιν, τί ἐροῦμεν; μὴ ἄδικος ὁ θεὸς ὁ ἐπιφέρων τὴν ὀργήν; κατὰ ἄνθρωπον λέγω.
[SBLGNT | EL | NT | Romans | Chapter 3 | Verse 6] μὴ γένοιτο· ἐπεὶ πῶς κρινεῖ ὁ θεὸς τὸν κόσμον;
[SBLGNT | EL | NT | Romans | Chapter 3 | Verse 7] εἰ ⸀δὲ ἡ ἀλήθεια τοῦ θεοῦ ἐν τῷ ἐμῷ ψεύσματι ἐπερίσσευσεν εἰς τὴν δόξαν αὐτοῦ, τί ἔτι κἀγὼ ὡς ἁμαρτωλὸς κρίνομαι,
[SBLGNT | EL | NT | Romans | Chapter 3 | Verse 8] καὶ μὴ καθὼς βλασφημούμεθα καὶ καθώς φασίν τινες ἡμᾶς λέγειν ὅτι Ποιήσωμεν τὰ κακὰ ἵνα ἔλθῃ τὰ ἀγαθά; ὧν τὸ κρίμα ἔνδικόν ἐστιν.
[SBLGNT | EL | NT | Romans | Chapter 3 | Verse 9] Τί οὖν; προεχόμεθα; οὐ πάντως, προῃτιασάμεθα γὰρ Ἰουδαίους τε καὶ Ἕλληνας πάντας ὑφʼ ἁμαρτίαν εἶναι,
[SBLGNT | EL | NT | Romans | Chapter 3 | Verse 10] καθὼς γέγραπται ὅτι Οὐκ ἔστιν δίκαιος οὐδὲ εἷς,
[SBLGNT | EL | NT | Romans | Chapter 3 | Verse 11] οὐκ ἔστιν ⸀ὁ συνίων, οὐκ ἔστιν ⸁ὁ ἐκζητῶν τὸν θεόν·
[SBLGNT | EL | NT | Romans | Chapter 3 | Verse 12] πάντες ἐξέκλιναν, ἅμα ἠχρεώθησαν· οὐκ ⸀ἔστιν ποιῶν χρηστότητα, οὐκ ἔστιν ἕως ἑνός.
[SBLGNT | EL | NT | Romans | Chapter 3 | Verse 13] τάφος ἀνεῳγμένος ὁ λάρυγξ αὐτῶν, ταῖς γλώσσαις αὐτῶν ἐδολιοῦσαν, ἰὸς ἀσπίδων ὑπὸ τὰ χείλη αὐτῶν,
[SBLGNT | EL | NT | Romans | Chapter 3 | Verse 14] ὧν τὸ στόμα ἀρᾶς καὶ πικρίας γέμει·
[SBLGNT | EL | NT | Romans | Chapter 3 | Verse 15] ὀξεῖς οἱ πόδες αὐτῶν ἐκχέαι αἷμα,
[SBLGNT | EL | NT | Romans | Chapter 3 | Verse 16] σύντριμμα καὶ ταλαιπωρία ἐν ταῖς ὁδοῖς αὐτῶν,
[SBLGNT | EL | NT | Romans | Chapter 3 | Verse 17] καὶ ὁδὸν εἰρήνης οὐκ ἔγνωσαν.
[SBLGNT | EL | NT | Romans | Chapter 3 | Verse 18] οὐκ ἔστιν φόβος θεοῦ ἀπέναντι τῶν ὀφθαλμῶν αὐτῶν.
[SBLGNT | EL | NT | Romans | Chapter 3 | Verse 19] Οἴδαμεν δὲ ὅτι ὅσα ὁ νόμος λέγει τοῖς ἐν τῷ νόμῳ λαλεῖ, ἵνα πᾶν στόμα φραγῇ καὶ ὑπόδικος γένηται πᾶς ὁ κόσμος τῷ θεῷ·
[SBLGNT | EL | NT | Romans | Chapter 3 | Verse 20] διότι ἐξ ἔργων νόμου οὐ δικαιωθήσεται πᾶσα σὰρξ ἐνώπιον αὐτοῦ, διὰ γὰρ νόμου ἐπίγνωσις ἁμαρτίας.
[SBLGNT | EL | NT | Romans | Chapter 3 | Verse 21] Νυνὶ δὲ χωρὶς νόμου δικαιοσύνη θεοῦ πεφανέρωται, μαρτυρουμένη ὑπὸ τοῦ νόμου καὶ τῶν προφητῶν,
[SBLGNT | EL | NT | Romans | Chapter 3 | Verse 22] δικαιοσύνη δὲ θεοῦ διὰ πίστεως Ἰησοῦ Χριστοῦ, εἰς ⸀πάντας τοὺς πιστεύοντας, οὐ γάρ ἐστιν διαστολή.
[SBLGNT | EL | NT | Romans | Chapter 3 | Verse 23] πάντες γὰρ ἥμαρτον καὶ ὑστεροῦνται τῆς δόξης τοῦ θεοῦ,
[SBLGNT | EL | NT | Romans | Chapter 3 | Verse 24] δικαιούμενοι δωρεὰν τῇ αὐτοῦ χάριτι διὰ τῆς ἀπολυτρώσεως τῆς ἐν Χριστῷ Ἰησοῦ·
[SBLGNT | EL | NT | Romans | Chapter 3 | Verse 25] ὃν προέθετο ὁ θεὸς ἱλαστήριον ⸀διὰ πίστεως ἐν τῷ αὐτοῦ αἵματι εἰς ἔνδειξιν τῆς δικαιοσύνης αὐτοῦ διὰ τὴν πάρεσιν τῶν προγεγονότων ἁμαρτημάτων
[SBLGNT | EL | NT | Romans | Chapter 3 | Verse 26] ἐν τῇ ἀνοχῇ τοῦ θεοῦ, πρὸς ⸀τὴν ἔνδειξιν τῆς δικαιοσύνης αὐτοῦ ἐν τῷ νῦν καιρῷ, εἰς τὸ εἶναι αὐτὸν δίκαιον καὶ δικαιοῦντα τὸν ἐκ πίστεως Ἰησοῦ.
[SBLGNT | EL | NT | Romans | Chapter 3 | Verse 27] Ποῦ οὖν ἡ καύχησις; ἐξεκλείσθη. διὰ ποίου νόμου; τῶν ἔργων; οὐχί, ἀλλὰ διὰ νόμου πίστεως.
[SBLGNT | EL | NT | Romans | Chapter 3 | Verse 28] λογιζόμεθα ⸀γὰρ ⸂δικαιοῦσθαι πίστει⸃ ἄνθρωπον χωρὶς ἔργων νόμου.
[SBLGNT | EL | NT | Romans | Chapter 3 | Verse 29] ἢ Ἰουδαίων ὁ θεὸς μόνον; ⸀οὐχὶ καὶ ἐθνῶν; ναὶ καὶ ἐθνῶν,
[SBLGNT | EL | NT | Romans | Chapter 3 | Verse 30] ⸀εἴπερ εἷς ὁ θεός, ὃς δικαιώσει περιτομὴν ἐκ πίστεως καὶ ἀκροβυστίαν διὰ τῆς πίστεως.
[SBLGNT | EL | NT | Romans | Chapter 3 | Verse 31] νόμον οὖν καταργοῦμεν διὰ τῆς πίστεως; μὴ γένοιτο, ἀλλὰ νόμον ⸀ἱστάνομεν.
