[GNV | EN | OT | Malachi | Chapter 3 | Verse 1] Behold, I will send my messenger, and he shall prepare the way before me: and the Lord whom ye seeke, shall speedely come to his Temple: euen the messenger of the couenant whom ye desire: beholde, he shall come, sayth the Lord of hostes.
[GNV | EN | OT | Malachi | Chapter 3 | Verse 2] But who may abide the day of his comming? and who shall endure, when he appeareth? for he is like a purging fire, and like fullers sope.
[GNV | EN | OT | Malachi | Chapter 3 | Verse 3] And he shall sit downe to trye and fine the siluer: he shall euen fine the sonnes of Leui and purifie them as golde and siluer, that they may bring offerings vnto the Lord in righteousnesse.
[GNV | EN | OT | Malachi | Chapter 3 | Verse 4] Then shall the offerings of Iudah and Ierusalem be acceptable vnto the Lord, as in old time and in the yeeres afore.
[GNV | EN | OT | Malachi | Chapter 3 | Verse 5] And I will come neere to you to iudgement, and I will be a swift witnesse against the southsayers, and against the adulterers, and against false swearers, and against those that wrongfully keepe backe the hirelings wages, and vexe the widowe, and the fatherlesse, and oppresse the stranger, and feare not me, sayth the Lord of hostes.
[GNV | EN | OT | Malachi | Chapter 3 | Verse 6] For I am the Lord: I change not, and ye sonnes of Iaakob are not consumed.
[GNV | EN | OT | Malachi | Chapter 3 | Verse 7] From the dayes of your fathers, ye are gone away from mine ordinances, and haue not kept them: returne vnto me, and I will returne vnto you, saith the Lord of hostes: but ye saide, Wherein shall we returne?
[GNV | EN | OT | Malachi | Chapter 3 | Verse 8] Will a man spoyle his gods? yet haue ye spoyled me: but ye say, Wherein haue we spoyled thee? In tithes, and offerings.
[GNV | EN | OT | Malachi | Chapter 3 | Verse 9] Ye are cursed with a curse: for ye haue spoyled me, euen this whole nation.
[GNV | EN | OT | Malachi | Chapter 3 | Verse 10] Bring ye all the tythes into the storehouse that there may be meate in mine House, and proue me nowe herewith, sayeth the Lord of hostes, if I will not open the windowes of heauen vnto you, and powre you out a blessing without measure.
[GNV | EN | OT | Malachi | Chapter 3 | Verse 11] And I will rebuke the deuourer for your sakes, and he shall not destroy the fruite of your grounde, neither shall your vine be baren in the fielde, sayeth the Lord of hostes.
[GNV | EN | OT | Malachi | Chapter 3 | Verse 12] And all nations shall call you blessed: for ye shall be a pleasant lande, sayeth the Lord of hostes.
[GNV | EN | OT | Malachi | Chapter 3 | Verse 13] Your wordes haue bene stout against me, sayeth the Lord: yet ye say, What haue we spoken against thee?
[GNV | EN | OT | Malachi | Chapter 3 | Verse 14] Ye haue saide, It is in vaine to serue God: and what profite is it that we haue kept his commandement, and that we walked humbly before the Lord of hostes?
[GNV | EN | OT | Malachi | Chapter 3 | Verse 15] Therefore wee count the proude blessed: euen they that worke wickednesse, are set vp, and they that tempt God, yea, they are deliuered.
[GNV | EN | OT | Malachi | Chapter 3 | Verse 16] Then spake they that feared the Lord, euery one to his neighbour, and the Lord hearkened and heard it, and a booke of remembrance was written before him for them that feared the Lord, and that thought vpon his Name.
[GNV | EN | OT | Malachi | Chapter 3 | Verse 17] And they shall be to me, sayeth the Lord of hostes, in that day that I shall do this, for a flocke, and I will spare them, as a man spareth his owne sonne that serueth him.
[GNV | EN | OT | Malachi | Chapter 3 | Verse 18] Then shall you returne, and discerne betweene the righteous and wicked, betweene him that serueth God, and him that serueth him not.
