[IRV | UR | NT | Hebrews | Chapter 2 | Verse 1] इसलिए जो बातें हम ने सुनी, उन पर और भी दिल लगाकर ग़ौर करना चाहिए, ताकि बहक कर उनसे दूर न चले जाएँ।
[IRV | UR | NT | Hebrews | Chapter 2 | Verse 2] क्यूँकि जो कलाम फ़रिश्तों के ज़रिए फ़रमाया गया था, जब वो क़ाईम रहा और हर क़ुसूर और नाफ़रमानी का ठीक ठीक बदला मिला,
[IRV | UR | NT | Hebrews | Chapter 2 | Verse 3] तो इतनी बड़ी नजात से ग़ाफ़िल रहकर हम क्यूँकर चल सकते हैं? जिसका बयान पहले ख़ुदावन्द के वसीले से हुआ, और सुनने वालों से हमें पूरे — सबूत को पहुँचा।
[IRV | UR | NT | Hebrews | Chapter 2 | Verse 4] और साथ ही ख़ुदा भी अपनी मर्ज़ी के मुवाफ़िक़ निशानों, और 'अजीब कामों, और तरह तरह के मोजिज़ों, और रूह — उल — क़ुद्दूस की ने'मतों के ज़रिए से उसकी गवाही देता रहा।
[IRV | UR | NT | Hebrews | Chapter 2 | Verse 5] उसने उस आनेवाले जहान को जिसका हम ज़िक्र करते हैं, फ़रिश्तों के ताबे' नहीं किया।
[IRV | UR | NT | Hebrews | Chapter 2 | Verse 6] बल्कि किसी ने किसी मौक़े पर ये बयान किया है, “इंसान क्या चीज़ है जो तू उसका ख़याल करता है? या आदमज़ाद क्या है जो तू उस पर निगाह करता है?
[IRV | UR | NT | Hebrews | Chapter 2 | Verse 7] तू ने उसे फ़रिश्तों से कुछ ही कम किया; तू ने उस पर जलाल और 'इज़्ज़त का ताज रख्खा, और अपने हाथों के कामों पर उसे इख़्तियार बख़्शा।
[IRV | UR | NT | Hebrews | Chapter 2 | Verse 8] तू ने सब चीज़ें ताबे' करके उसके क़दमों तले कर दी हैं।” पस जिस सूरत में उसने सब चीज़ें उसके ताबे' कर दीं, तो उसने कोई चीज़ ऐसी न छोड़ी जो उसके ताबे, न हो। मगर हम अब तक सब चीज़ें उसके ताबे' नहीं देखते।
[IRV | UR | NT | Hebrews | Chapter 2 | Verse 9] अलबत्ता उसको देखते हैं जो फ़रिश्तों से कुछ ही कम किया गया, या'नी ईसा को मौत का दुःख सहने की वजह से जलाल और 'इज़्ज़त का ताज उसे पहनाया गया है, ताकि ख़ुदा के फ़ज़ल से वो हर एक आदमी के लिए मौत का मज़ा चखे।
[IRV | UR | NT | Hebrews | Chapter 2 | Verse 10] क्यूँकि जिसके लिए सब चीज़ें है और जिसके वसीले से सब चीज़ें हैं, उसको यही मुनासिब था कि जब बहुत से बेटों को जलाल में दाख़िल करे, तो उनकी नजात के बानी को दुखों के ज़रिए से कामिल कर ले।
[IRV | UR | NT | Hebrews | Chapter 2 | Verse 11] इसलिए कि पाक करने वाला और पाक होनेवाला सब एक ही नस्ल से हैं, इसी ज़रिए वो उन्हें भाई कहने से नहीं शरमाता।
[IRV | UR | NT | Hebrews | Chapter 2 | Verse 12] चुनाँचे वो फ़रमाता है, “तेरा नाम मैं अपने भाइयों से बयान करूँगा, कलीसिया में तेरी हम्द के गीत गाऊँगा।”
[IRV | UR | NT | Hebrews | Chapter 2 | Verse 13] और फिर ये, “देख मैं उस पर भरोसा रखूँगा।” और फिर ये, “देख मैं उन लड़कों समेत जिन्हें ख़ुदा ने मुझे दिया।”
[IRV | UR | NT | Hebrews | Chapter 2 | Verse 14] पस जिस सूरत में कि लड़के ख़ून और गोश्त में शरीक हैं, तो वो ख़ुद भी उनकी तरह उनमें शरीक हुआ, ताकि मौत के वसीले से उसको जिसे मौत पर क़ुदरत हासिल थी, या'नी इब्लीस को, तबाह कर दे;
[IRV | UR | NT | Hebrews | Chapter 2 | Verse 15] और जो उम्र भर मौत के डर से ग़ुलामी में गिरफ़्तार रहे, उन्हें छुड़ा ले।
[IRV | UR | NT | Hebrews | Chapter 2 | Verse 16] क्यूँकि हक़ीक़त में वो फ़रिश्तों का नहीं, बल्कि अब्रहाम की नस्ल का साथ देता है।
[IRV | UR | NT | Hebrews | Chapter 2 | Verse 17] पस उसको सब बातों में अपने भाइयों की तरह बनना ज़रूरी हुआ, ताकि उम्मत के गुनाहों का कफ़्फ़ारा देने के वास्ते, उन बातों में जो ख़ुदा से ता'अल्लुक़ रखती है, एक रहम दिल और दियानतदार सरदार काहिन बने।
[IRV | UR | NT | Hebrews | Chapter 2 | Verse 18] क्यूँकि जिस सूरत में उसने ख़ुद की आज़माइश की हालत में दुःख उठाया, तो वो उनकी भी मदद कर सकता है जिनकी आज़माइश होती है।
