[GRCGTR | EL | NT | Romans | Chapter 4 | Verse 1] Τί οὖν ἐροῦμεν Ἀβραὰμ τὸν πατέρα ἡμῶν εὑρηκέναι κατὰ σάρκα;
[GRCGTR | EL | NT | Romans | Chapter 4 | Verse 2] Εἰ γὰρ Ἀβραὰμ ἐξ ἔργων ἐδικαιώθη, ἔχει καύχημα, ἀλλ᾿ οὐ πρὸς τὸν Θεόν.
[GRCGTR | EL | NT | Romans | Chapter 4 | Verse 3] Τί γὰρ ἡ γραφὴ λέγει; Ἐπίστευσε δὲ Ἀβραὰμ τῷ Θεῷ, καὶ ἐλογίσθη αὐτῷ εἰς δικαιοσύνην.
[GRCGTR | EL | NT | Romans | Chapter 4 | Verse 4] Τῷ δὲ ἐργαζομένῳ ὁ μισθὸς οὐ λογίζεται κατὰ χάριν, ἀλλὰ κατὰ τὸ ὀφείλημα.
[GRCGTR | EL | NT | Romans | Chapter 4 | Verse 5] Τῷ δὲ μὴ ἐργαζομένῳ, πιστεύοντι δὲ ἐπὶ τὸν δικαιοῦντα τὸν ἀσεβῆ, λογίζεται ἡ πίστις αὐτοῦ εἰς δικαιοσύνην.
[GRCGTR | EL | NT | Romans | Chapter 4 | Verse 6] Καθάπερ καὶ Δαβὶδ λέγει τὸν μακαρισμὸν τοῦ ἀνθρώπου, ᾧ ὁ Θεὸς λογίζεται δικαιοσύνην χωρὶς ἔργων,
[GRCGTR | EL | NT | Romans | Chapter 4 | Verse 7] Μακάριοι ὧν ἀφέθησαν αἱ ἀνομίαι, καὶ ὧν ἐπεκαλύφθησαν αἱ ἁμαρτίαι.
[GRCGTR | EL | NT | Romans | Chapter 4 | Verse 8] Μακάριος ἀνὴρ ᾧ οὐ μὴ λογίσηται Κύριος ἁμαρτίαν.
[GRCGTR | EL | NT | Romans | Chapter 4 | Verse 9] Ὁ μακαρισμὸς οὖν οὗτος ἐπὶ τὴν περιτομήν, ἢ καὶ ἐπὶ τὴν ἀκροβυστίαν; Λέγομεν γὰρ ὅτι Ἐλογίσθη τῷ Ἀβραὰμ ἡ πίστις εἰς δικαιοσύνην.
[GRCGTR | EL | NT | Romans | Chapter 4 | Verse 10] Πῶς οὖν ἐλογίσθη; Ἐν περιτομῇ ὄντι, ἢ ἐν ἀκροβυστίᾳ; Οὐκ ἐν περιτομῇ, ἀλλ᾿ ἐν ἀκροβυστίᾳ·
[GRCGTR | EL | NT | Romans | Chapter 4 | Verse 11] καὶ σημεῖον ἔλαβε περιτομῆς, σφραγῖδα τῆς δικαιοσύνης τῆς πίστεως τῆς ἐν τῇ ἀκροβυστίᾳ· εἰς τὸ εἶναι αὐτὸν πατέρα πάντων τῶν πιστευόντων δι᾿ ἀκροβυστίας, εἰς τὸ λογισθῆναι καὶ αὐτοῖς τὴν δικαιοσύνην·
