[GRCGTR | EL | NT | Romans | Chapter 10 | Verse 1] Ἀδελφοί, ἡ μὲν εὐδοκία τῆς ἐμῆς καρδίας καὶ ἡ δέησις ἡ πρὸς τὸν Θεὸν ὑπὲρ τοῦ Ἰσραήλ ἐστιν εἰς σωτηρίαν.
[GRCGTR | EL | NT | Romans | Chapter 10 | Verse 2] Μαρτυρῶ γὰρ αὐτοῖς ὅτι ζῆλον Θεοῦ ἔχουσιν, ἀλλ᾿ οὐ κατ᾿ ἐπίγνωσιν.
[GRCGTR | EL | NT | Romans | Chapter 10 | Verse 3] Ἀγνοοῦντες γὰρ τὴν τοῦ Θεοῦ δικαιοσύνην, καὶ τὴν ἰδίαν δικαιοσύνην ζητοῦντες στῆσαι, τῇ δικαιοσύνῃ τοῦ Θεοῦ οὐχ ὑπετάγησαν.
[GRCGTR | EL | NT | Romans | Chapter 10 | Verse 4] Τέλος γὰρ νόμου Χριστὸς εἰς δικαιοσύνην παντὶ τῷ πιστεύοντι.
[GRCGTR | EL | NT | Romans | Chapter 10 | Verse 5] Μωσῆς γὰρ γράφει τὴν δικαιοσύνην τὴν ἐκ τοῦ νόμου, ὅτι ὁ ποιήσας αὐτὰ ἄνθρωπος ζήσεται ἐν αὐτοῖς.
[GRCGTR | EL | NT | Romans | Chapter 10 | Verse 6] Ἡ δὲ ἐκ πίστεως δικαιοσύνη οὕτω λέγει, Μὴ εἴπῃς ἐν + 10:6 τῇ ¦ — ELZ τῇ καρδίᾳ σου, Τίς ἀναβήσεται εἰς τὸν οὐρανόν; — τοῦτ᾿ ἔστι Χριστὸν καταγαγεῖν —
[GRCGTR | EL | NT | Romans | Chapter 10 | Verse 7] ἤ, Τίς καταβήσεται εἰς τὴν ἄβυσσον; — τοῦτ᾿ ἔστι Χριστὸν ἐκ νεκρῶν ἀναγαγεῖν.
[GRCGTR | EL | NT | Romans | Chapter 10 | Verse 8] Ἀλλὰ τί λέγει; Ἐγγύς σου τὸ ῥῆμά ἐστιν, ἐν τῷ στόματί σου καὶ ἐν τῇ καρδίᾳ σου· τοῦτ᾿ ἔστι τὸ ῥῆμα τῆς πίστεως ὃ κηρύσσομεν·
[GRCGTR | EL | NT | Romans | Chapter 10 | Verse 9] ὅτι ἐὰν ὁμολογήσῃς ἐν τῷ στόματί σου Κύριον Ἰησοῦν, καὶ πιστεύσῃς ἐν τῇ καρδίᾳ σου ὅτι ὁ Θεὸς αὐτὸν ἤγειρεν ἐκ νεκρῶν, σωθήσῃ·
[GRCGTR | EL | NT | Romans | Chapter 10 | Verse 10] καρδίᾳ γὰρ πιστεύεται εἰς δικαιοσύνην, στόματι δὲ ὁμολογεῖται εἰς σωτηρίαν.
[GRCGTR | EL | NT | Romans | Chapter 10 | Verse 11] Λέγει γὰρ ἡ γραφή, Πᾶς ὁ πιστεύων ἐπ᾿ αὐτῷ οὐ καταισχυνθήσεται.
