[GRCGTR | EL | NT | Romans | Chapter 12 | Verse 1] Παρακαλῶ οὖν ὑμᾶς, ἀδελφοί, διὰ τῶν οἰκτιρμῶν τοῦ Θεοῦ, παραστῆσαι τὰ σώματα ὑμῶν θυσίαν ζῶσαν, ἁγίαν, εὐάρεστον τῷ Θεῷ, τὴν λογικὴν λατρείαν ὑμῶν,
[GRCGTR | EL | NT | Romans | Chapter 12 | Verse 2] καὶ μὴ συσχηματίζεσθε τῷ αἰῶνι τούτῳ, ἀλλὰ μεταμορφοῦσθε τῇ ἀνακαινώσει τοῦ νοὸς ὑμῶν, εἰς τὸ δοκιμάζειν ὑμᾶς τί τὸ θέλημα τοῦ Θεοῦ τὸ ἀγαθὸν καὶ εὐάρεστον καὶ τέλειον.
[GRCGTR | EL | NT | Romans | Chapter 12 | Verse 3] Λέγω γάρ, διὰ τῆς χάριτος τῆς δοθείσης μοι, παντὶ τῷ ὄντι ἐν ὑμῖν, μὴ ὑπερφρονεῖν παρ᾿ ὃ δεῖ φρονεῖν, ἀλλὰ φρονεῖν εἰς τὸ σωφρονεῖν, ἑκάστῳ ὡς ὁ Θεὸς ἐμέρισε μέτρον πίστεως.
[GRCGTR | EL | NT | Romans | Chapter 12 | Verse 4] Καθάπερ γὰρ ἐν ἑνὶ σώματι μέλη πολλὰ ἔχομεν, τὰ δὲ μέλη πάντα οὐ τὴν αὐτὴν ἔχει πρᾶξιν·
[GRCGTR | EL | NT | Romans | Chapter 12 | Verse 5] οὕτως οἱ πολλοὶ ἓν σῶμά ἐσμεν ἐν Χριστῷ, ὁ δὲ καθ᾿ εἷς ἀλλήλων μέλη.
[GRCGTR | EL | NT | Romans | Chapter 12 | Verse 6] Ἔχοντες δὲ χαρίσματα κατὰ τὴν χάριν τὴν δοθεῖσαν ἡμῖν διάφορα, εἴτε προφητείαν, κατὰ τὴν ἀναλογίαν τῆς πίστεως·
[GRCGTR | EL | NT | Romans | Chapter 12 | Verse 7] εἴτε διακονίαν, ἐν τῇ διακονίᾳ· εἴτε ὁ διδάσκων, ἐν τῇ διδασκαλίᾳ·
[GRCGTR | EL | NT | Romans | Chapter 12 | Verse 8] εἴτε ὁ παρακαλῶν, ἐν τῇ παρακλήσει· ὁ μεταδιδούς, ἐν ἁπλότητι· ὁ προϊστάμενος, ἐν σπουδῇ· ὁ ἐλεῶν, ἐν ἱλαρότητι.
[GRCGTR | EL | NT | Romans | Chapter 12 | Verse 9] Ἡ ἀγάπη ἀνυπόκριτος. Ἀποστυγοῦντες τὸ πονηρόν, κολλώμενοι τῷ ἀγαθῷ.
[GRCGTR | EL | NT | Romans | Chapter 12 | Verse 10] Τῇ φιλαδελφίᾳ εἰς ἀλλήλους φιλόστοργοι· τῇ τιμῇ ἀλλήλους προηγούμενοι·
[GRCGTR | EL | NT | Romans | Chapter 12 | Verse 11] τῇ σπουδῇ μὴ ὀκνηροί· τῷ πνεύματι ζέοντες· τῷ + 12:11 Κυρίῳ ¦ καιρῷ ST Κυρίῳ δουλεύοντες·
[GRCGTR | EL | NT | Romans | Chapter 12 | Verse 12] τῇ ἐλπίδι χαίροντες· τῇ θλίψει ὑπομένοντες· τῇ προσευχῇ προσκαρτεροῦντες·
[GRCGTR | EL | NT | Romans | Chapter 12 | Verse 13] ταῖς χρείαις τῶν ἁγίων κοινωνοῦντες· τὴν φιλοξενίαν διώκοντες.
[GRCGTR | EL | NT | Romans | Chapter 12 | Verse 14] Εὐλογεῖτε τοὺς διώκοντας ὑμᾶς· εὐλογεῖτε, καὶ μὴ καταρᾶσθε.
[GRCGTR | EL | NT | Romans | Chapter 12 | Verse 15] Χαίρειν μετὰ χαιρόντων, καὶ κλαίειν μετὰ κλαιόντων.
[GRCGTR | EL | NT | Romans | Chapter 12 | Verse 16] Τὸ αὐτὸ εἰς ἀλλήλους φρονοῦντες. Μὴ τὰ ὑψηλὰ φρονοῦντες, ἀλλὰ τοῖς ταπεινοῖς συναπαγόμενοι. Μὴ γίνεσθε φρόνιμοι παρ᾿ ἑαυτοῖς.
[GRCGTR | EL | NT | Romans | Chapter 12 | Verse 17] Μηδενὶ κακὸν ἀντὶ κακοῦ ἀποδιδόντες. Προνοούμενοι καλὰ ἐνώπιον πάντων ἀνθρώπων.
[GRCGTR | EL | NT | Romans | Chapter 12 | Verse 18] Εἰ δυνατόν, τὸ ἐξ ὑμῶν, μετὰ πάντων ἀνθρώπων εἰρηνεύοντες.
[GRCGTR | EL | NT | Romans | Chapter 12 | Verse 19] Μὴ ἑαυτοὺς ἐκδικοῦντες, ἀγαπητοί, ἀλλὰ δότε τόπον τῇ ὀργῇ· γέγραπται γάρ, Ἐμοὶ ἐκδίκησις, ἐγὼ ἀνταποδώσω, λέγει Κύριος.
[GRCGTR | EL | NT | Romans | Chapter 12 | Verse 20] Ἐὰν οὖν πεινᾷ ὁ ἐχθρός σου, ψώμιζε αὐτόν· ἐὰν διψᾷ, πότιζε αὐτόν· τοῦτο γὰρ ποιῶν, ἄνθρακας πυρὸς σωρεύσεις ἐπὶ τὴν κεφαλὴν αὐτοῦ.
[GRCGTR | EL | NT | Romans | Chapter 12 | Verse 21] Μὴ νικῶ ὑπὸ τοῦ κακοῦ, ἀλλὰ νίκα ἐν τῷ ἀγαθῷ τὸ κακόν.
