[GNV | EN | OT | Isaiah | Chapter 19 | Verse 1] The burden of Egypt. Beholde, the Lord rideth vpon a swift cloude, and shall come into Egypt, and the idoles of Egypt shall be moued at his presence, and the heart of Egypt shall melt in the middes of her.
[GNV | EN | OT | Isaiah | Chapter 19 | Verse 2] And I will set the Egyptians against the Egyptians: so euery one shall fight against his brother, and euery one against his neighbour, citie against citie, and kingdome against kingdome.
[GNV | EN | OT | Isaiah | Chapter 19 | Verse 3] And the spirite of Egypt shall faile in the middes of her, and I will destroy their counsell, and they shall seeke at the idoles, and at the sorcerers, and at them that haue spirits of diuination, and at the southsayers.
[GNV | EN | OT | Isaiah | Chapter 19 | Verse 4] And I will deliuer the Egyptians into the hand of the cruell Lordes, and a mightie King shall rule ouer them, sayth the Lord God of hostes.
[GNV | EN | OT | Isaiah | Chapter 19 | Verse 5] Then the waters of the sea shall faile, and the riuers shall be dryed vp, and wasted.
[GNV | EN | OT | Isaiah | Chapter 19 | Verse 6] And the riuers shall goe farre away: the riuers of defence shalbe emptied and dryed vp: the reedes and flagges shall be cut downe.
[GNV | EN | OT | Isaiah | Chapter 19 | Verse 7] The grasse in the riuer, and at the head of the riuers, and all that groweth by the riuer, shall wither, and be driuen away, and be no more.
[GNV | EN | OT | Isaiah | Chapter 19 | Verse 8] The fishers also shall mourne, and all they that cast angle into the riuer, shall lament, and they that spread their nette vpon the waters, shall be weakened.
[GNV | EN | OT | Isaiah | Chapter 19 | Verse 9] Moreouer, they that worke in flaxe of diuers sortes, shall be confounded, and they that weaue nettes.
[GNV | EN | OT | Isaiah | Chapter 19 | Verse 10] For their nettes shalbe broken, and all they, that make pondes, shalbe heauie in heart.
[GNV | EN | OT | Isaiah | Chapter 19 | Verse 11] Surely the princes of Zoan are fooles: the counsell of the wise counselers of Pharaoh is become foolish: how say ye vnto Pharaoh, I am the sonne of the wise? I am the sonne of the ancient Kings?
[GNV | EN | OT | Isaiah | Chapter 19 | Verse 12] Where are nowe thy wise men, that they may tell thee, or may knowe what the Lord of hostes hath determined against Egypt?
[GNV | EN | OT | Isaiah | Chapter 19 | Verse 13] The princes of Zoan are become fooles: the princes of Noph are deceiued, they haue deceiued Egypt, euen the corners of the tribes thereof.
[GNV | EN | OT | Isaiah | Chapter 19 | Verse 14] The Lord hath mingled among them the spirite of errours: and they haue caused Egypt to erre in euery worke thereof, as a drunken man erreth in his vomite.
[GNV | EN | OT | Isaiah | Chapter 19 | Verse 15] Neither shall there be any worke in Egypt, which the head may doe, nor the tayle, ye branch nor the rush.
[GNV | EN | OT | Isaiah | Chapter 19 | Verse 16] In that day shall Egypt be like vnto women: for it shall be afraide and feare because of the moouing of the hand of the Lord of hostes, which he shaketh ouer it.
[GNV | EN | OT | Isaiah | Chapter 19 | Verse 17] And the land of Iudah shall be a feare vnto Egypt: euery one that maketh mention of it, shalbe afraid thereat, because of ye counsell of the Lord of hostes, which he hath determined vpon it.
[GNV | EN | OT | Isaiah | Chapter 19 | Verse 18] In that day shall fiue cities in the lande of Egypt speake the language of Canaan, and shall sweare by the Lord of hostes. one shall be called the citie of destruction.
[GNV | EN | OT | Isaiah | Chapter 19 | Verse 19] In that day shall the altar of the Lord be in the middes of the land of Egypt, and a pillar by the border thereof vnto the Lord.
[GNV | EN | OT | Isaiah | Chapter 19 | Verse 20] And it shall be for a signe and for a witnes vnto the Lord of hostes in the land of Egypt: for they shall crie vnto the Lord, because of the oppressers, and he shall send them a Sauiour and a great man, and shall deliuer them.
[GNV | EN | OT | Isaiah | Chapter 19 | Verse 21] And the Lord shall be knowen of the Egyptians, and the Egyptians shall knowe the Lord in that day, and doe sacrifice and oblation, and shall vowe vowes vnto the Lord, and performe them.
[GNV | EN | OT | Isaiah | Chapter 19 | Verse 22] So ye Lord shall smite Egypt, he shall smite and heale it: for he shall returne vnto ye Lord, and he shall be intreated of them and shall heale them.
[GNV | EN | OT | Isaiah | Chapter 19 | Verse 23] In that day shall there be a path from Egypt to Asshur, and Asshur shall come into Egypt, and Egypt into Asshur: so the Egyptians shall worship with Asshur.
[GNV | EN | OT | Isaiah | Chapter 19 | Verse 24] In that day shall Israel be the third with Egypt and Asshur, euen a blessing in the middes of the land.
[GNV | EN | OT | Isaiah | Chapter 19 | Verse 25] For the Lord of hostes shall blesse it, saying, Blessed be my people Egypt and Asshur, the worke of mine hands, and Israel mine inheritance.
