[GNV | EN | OT | Isaiah | Chapter 28 | Verse 1] Woe to the crowne of pride, the drunkards of Ephraim: for his glorious beautie shall be a fading flowre, which is vpon the head of the valley of them that be fat, and are ouercome with wine.
[GNV | EN | OT | Isaiah | Chapter 28 | Verse 2] Beholde, the Lord hath a mightie and strong hoste, like a tempest of haile, and a whirlewinde that ouerthroweth, like a tempest of mightie waters that ouerflowe, which throwe to the ground mightily.
[GNV | EN | OT | Isaiah | Chapter 28 | Verse 3] They shall be troden vnder foote, euen the crowne and the pride of the drunkards of Ephraim.
[GNV | EN | OT | Isaiah | Chapter 28 | Verse 4] For his glorious beautie shall be a fading floure, which is vpon the head of the valley of them that be fatte, and as the hastie fruite afore sommer, which when hee that looketh vpon it, seeth it, while it is in his hand, he eateth it.
[GNV | EN | OT | Isaiah | Chapter 28 | Verse 5] In that day shall the Lord of hostes be for a crowne of glory, and for a diademe of beautie vnto the residue of his people:
[GNV | EN | OT | Isaiah | Chapter 28 | Verse 6] And for a spirite of iudgement to him that sitteth in iudgement, and for strength vnto them that turne away the battell to the gate.
[GNV | EN | OT | Isaiah | Chapter 28 | Verse 7] But they haue erred because of wine, and are out of the way by strong drinke: the priest and the prophet haue erred by strong drinke: they are swallowed vp with wine: they haue gone astraye through strong drinke: they faile in vision: they stumble in iudgement.
[GNV | EN | OT | Isaiah | Chapter 28 | Verse 8] For all their tables are full of filthy vomiting: no place is cleane.
[GNV | EN | OT | Isaiah | Chapter 28 | Verse 9] Whome shall he teache knowledge? and whome shall he make to vnderstand the thinges that hee heareth? them that are weyned from the milke, and drawen from the breastes.
[GNV | EN | OT | Isaiah | Chapter 28 | Verse 10] For precept must be vpon precept, precept vpon precept, line vnto line, line vnto line, there a litle, and there a litle.
[GNV | EN | OT | Isaiah | Chapter 28 | Verse 11] For with a stammering tongue and with a strange language shall he speake vnto this people.
[GNV | EN | OT | Isaiah | Chapter 28 | Verse 12] Vnto whome hee saide, This is the rest: giue rest to him that is weary: and this is the refreshing, but they would not heare.
[GNV | EN | OT | Isaiah | Chapter 28 | Verse 13] Therefore shall the worde of the Lord be vnto them precept vpon precept, precept vpon precept, line vnto line, line vnto line, there a litle and there a litle, that they may goe, and fall backward, and be broken, and be snared, and be taken.
[GNV | EN | OT | Isaiah | Chapter 28 | Verse 14] Wherefore, heare the worde of the Lord, ye scornefull men that rule this people, which is at Ierusalem.
[GNV | EN | OT | Isaiah | Chapter 28 | Verse 15] Because ye haue said, We haue made a couenant with death, and with hell are we at agreement: though a scourge runne ouer, and passe through, it shall not come at vs: for we haue made falshood our refuge, and vnder vanitie are we hid,
[GNV | EN | OT | Isaiah | Chapter 28 | Verse 16] Therefore thus saith the Lord God, Behold, I will laye in Zion a stone, a tried stone, a precious corner stone, a sure foundation. Hee that beleeueth, shall not make haste.
[GNV | EN | OT | Isaiah | Chapter 28 | Verse 17] Iudgement also will I laye to the rule, and righteousnesse to the balance, and the haile shall sweepe away the vaine confidence, and the waters shall ouerflowe the secret place.
[GNV | EN | OT | Isaiah | Chapter 28 | Verse 18] And your couenant with death shalbe disanulled, and your agreement with hell shall not stand: when a scourge shall runne ouer and passe through, then shall ye be trode downe by it.
[GNV | EN | OT | Isaiah | Chapter 28 | Verse 19] When it passeth ouer, it shall take you away: for it shall passe through euery morning in the day, and in the night, and there shalbe onely feare to make you to vnderstand the hearing.
[GNV | EN | OT | Isaiah | Chapter 28 | Verse 20] For the bed is streight that it can not suffice, and the couering narowe that one can not wrappe himselfe.
[GNV | EN | OT | Isaiah | Chapter 28 | Verse 21] For the Lord shall stand as in mount Perazim: hee shall be wroth as in the valley of Gibeon, that he may do his worke, his strage worke, and bring to passe his acte, his strange acte.
[GNV | EN | OT | Isaiah | Chapter 28 | Verse 22] Nowe therefore be no mockers, least your bondes increase: for I haue heard of the Lord of hostes a consumption, euen determined vpon the whole earth.
[GNV | EN | OT | Isaiah | Chapter 28 | Verse 23] Hearken ye, and heare my voyce: hearken ye, and heare my speach.
[GNV | EN | OT | Isaiah | Chapter 28 | Verse 24] Doeth the plowe man plowe all the day, to sowe? doeth he open, and breake the clots of his ground?
[GNV | EN | OT | Isaiah | Chapter 28 | Verse 25] When he hath made it plaine, wil he not then sowe the fitches, and sowe cummin, and cast in wheat by measure, and the appointed barly and rye in their place?
[GNV | EN | OT | Isaiah | Chapter 28 | Verse 26] For his God doeth instruct him to haue discretion, and doeth teach him.
[GNV | EN | OT | Isaiah | Chapter 28 | Verse 27] For fitches shall not be threshed with a threshing instrument, neither shall a cart wheele be turned about vpon the cummin: but ye fitches are beaten out with a staffe, and cummin with a rod.
[GNV | EN | OT | Isaiah | Chapter 28 | Verse 28] Bread corne when it is threshed, hee doeth not alway thresh it, neither doeth the wheele of his cart still make a noyse, neither will he breake it with the teeth thereof.
[GNV | EN | OT | Isaiah | Chapter 28 | Verse 29] This also commeth from the Lord of hostes, which is wonderfull in counsell, and excellent in workes.
