[GNV | EN | OT | Isaiah | Chapter 1 | Verse 1] A vision of Isaiah, the sonne of Amoz, which he sawe concerning Iudah and Ierusalem: in the dayes of Vzziah, Iotham, Ahaz and Hezekiah Kings of Iudah.
[GNV | EN | OT | Isaiah | Chapter 1 | Verse 2] Heare, O heauens, and hearken, O earth: for the Lord hath sayde, I haue nourished and brought vp children, but they haue rebelled against me.
[GNV | EN | OT | Isaiah | Chapter 1 | Verse 3] The oxe knoweth his owner, and the asse his masters crib: but Israel hath not knowen: my people hath not vnderstand.
[GNV | EN | OT | Isaiah | Chapter 1 | Verse 4] Ah, sinfull nation, a people laden with iniquitie: a seede of the wicked, corrupt children: they haue forsaken the Lord: they haue prouoked the holy one of Israel to anger: they are gone backewarde.
[GNV | EN | OT | Isaiah | Chapter 1 | Verse 5] Wherefore shoulde ye be smitten any more? for ye fall away more and more: the whole head is sicke, and the whole heart is heauie.
[GNV | EN | OT | Isaiah | Chapter 1 | Verse 6] From the sole of the foote vnto the head, there is nothing whole therein, but wounds, and swelling, and sores full of corruption: they haue not bene wrapped, nor bound vp, nor mollified with oyle.
[GNV | EN | OT | Isaiah | Chapter 1 | Verse 7] Your land is waste: your cities are burnt with fire: strangers deuoure your lande in your presence, and it is desolate like the ouerthrowe of strangers.
[GNV | EN | OT | Isaiah | Chapter 1 | Verse 8] And the daughter of Zion shall remaine like a cotage in a vineyarde, like a lodge in a garden of cucumbers, and like a besieged citie.
[GNV | EN | OT | Isaiah | Chapter 1 | Verse 9] Except the Lord of hostes had reserued vnto vs, euen a small remnant: we should haue bene as Sodom, and should haue bene like vnto Gomorah.
[GNV | EN | OT | Isaiah | Chapter 1 | Verse 10] Heare the worde of the Lord, O princes of Sodom: hearken vnto the Law of our God, O people of Gomorah.
[GNV | EN | OT | Isaiah | Chapter 1 | Verse 11] What haue I to doe with the multitude of your sacrifices, sayth the Lord? I am full of the burnt offerings of rams, and of the fat of fed beasts: and I desire not the blood of bullocks, nor of lambs, nor of goates.
[GNV | EN | OT | Isaiah | Chapter 1 | Verse 12] When ye come to appeare before me, who required this of your hands to tread in my courts?
[GNV | EN | OT | Isaiah | Chapter 1 | Verse 13] Bring no more oblations, in vaine: incense is an abomination vnto me: I can not suffer your newe moones, nor Sabbaths, nor solemne dayes (it is iniquitie) nor solemne assemblies.
[GNV | EN | OT | Isaiah | Chapter 1 | Verse 14] My soule hateth your newe moones and your appointed feastes: they are a burden vnto me: I am weary to beare them.
[GNV | EN | OT | Isaiah | Chapter 1 | Verse 15] And when you shall stretch out your hands, I wil hide mine eyes from you: and though ye make many prayers, I wil not heare: for your hands are full of blood.
[GNV | EN | OT | Isaiah | Chapter 1 | Verse 16] Wash you, make you cleane: take away the euill of your workes from before mine eyes: cease to doe euill.
[GNV | EN | OT | Isaiah | Chapter 1 | Verse 17] Learne to doe well: seeke iudgement, relieue the oppressed: iudge the fatherlesse and defend the widowe.
[GNV | EN | OT | Isaiah | Chapter 1 | Verse 18] Come nowe, and let vs reason together, sayth the Lord: though your sinnes were as crimsin, they shalbe made white as snowe: though they were red like skarlet, they shalbe as wooll.
[GNV | EN | OT | Isaiah | Chapter 1 | Verse 19] If ye consent and obey, ye shall eate the good things of the land.
[GNV | EN | OT | Isaiah | Chapter 1 | Verse 20] But if ye refuse and be rebellious, ye shalbe deuoured with the sword: for the mouth of the Lord hath spoken it.
[GNV | EN | OT | Isaiah | Chapter 1 | Verse 21] Howe is the faithfull citie become an harlot? it was full of iudgement, and iustice lodged therein, but now they are murtherers.
[GNV | EN | OT | Isaiah | Chapter 1 | Verse 22] Thy siluer is become drosse: thy wine is mixt with water.
[GNV | EN | OT | Isaiah | Chapter 1 | Verse 23] Thy Princes are rebellious and companions of theeues: euery one loueth giftes, and followeth after rewards: they iudge not the fatherlesse, neither doeth the widowes cause come before them.
[GNV | EN | OT | Isaiah | Chapter 1 | Verse 24] Therefore sayth the Lord God of hostes, the mightie one of Israel, Ah, I will ease me of mine aduersaries, and auenge me of mine enemies.
[GNV | EN | OT | Isaiah | Chapter 1 | Verse 25] Then I will turne mine hand vpon thee, and burne out thy drosse, till it be pure, and take away all thy tinne.
[GNV | EN | OT | Isaiah | Chapter 1 | Verse 26] And I will restore thy iudges as at the first, and thy counsellers as at the beginning: afterward shalt thou be called a citie of righteousnes, and a faithfull citie.
[GNV | EN | OT | Isaiah | Chapter 1 | Verse 27] Zion shall be redeemed in iudgement, and they that returne in her, in iustice.
[GNV | EN | OT | Isaiah | Chapter 1 | Verse 28] And the destruction of the transgressers and of the sinners shalbe together: and they that forsake the Lord, shalbe consumed.
[GNV | EN | OT | Isaiah | Chapter 1 | Verse 29] For they shalbe confounded for the okes, which ye haue desired, and ye shall be ashamed of the gardens, that ye haue chosen.
[GNV | EN | OT | Isaiah | Chapter 1 | Verse 30] For ye shalbe as an oke, whose leafe fadeth: and as a garden that hath no water.
[GNV | EN | OT | Isaiah | Chapter 1 | Verse 31] And the strong shall be as towe, and the maker thereof, as a sparke: and they shall both burne together, and none shall quench them.
