[GNV | EN | OT | Isaiah | Chapter 55 | Verse 1] Ho, euery one that thirsteth, come ye to the waters, and ye that haue no siluer, come, bye and eate: come, I say, bye wine and milke without siluer and without money.
[GNV | EN | OT | Isaiah | Chapter 55 | Verse 2] Wherefore doe ye lay out siluer and not for bread? and your labour without being satisfied? hearken diligently vnto me, and eate that which is good, and let your soule delite in fatnes.
[GNV | EN | OT | Isaiah | Chapter 55 | Verse 3] Encline your eares, and come vnto me: heare, and your soule shall liue, and I will make an euerlasting couenant with you, euen the sure mercies of Dauid.
[GNV | EN | OT | Isaiah | Chapter 55 | Verse 4] Beholde, I gaue him for a witnes to the people, for a prince and a master vnto the people.
[GNV | EN | OT | Isaiah | Chapter 55 | Verse 5] Beholde, thou shalt call a nation that thou knowest not, and a nation that knew not thee, shall runne vnto thee, because of the Lord thy God, and the holy one of Israel: for hee hath glorified thee.
[GNV | EN | OT | Isaiah | Chapter 55 | Verse 6] Seeke ye the Lord while he may be found: call ye vpon him while he is neere.
[GNV | EN | OT | Isaiah | Chapter 55 | Verse 7] Let the wicked forsake his wayes, and the vnrighteous his owne imaginations, and returne vnto the Lord, and he wil haue mercy vpon him: and to our God, for hee is very ready to forgiue.
[GNV | EN | OT | Isaiah | Chapter 55 | Verse 8] For my thoughtes are not your thoughts, neither are your wayes my wayes, sayth the Lord.
[GNV | EN | OT | Isaiah | Chapter 55 | Verse 9] For as ye heauens are higher then the earth, so are my wayes higher then your wayes, and my thoughtes aboue your thoughts.
[GNV | EN | OT | Isaiah | Chapter 55 | Verse 10] Surely as the raine commeth downe and the snow from heauen, and returneth not thither, but watereth the earth and maketh it to bring forth and bud, that it may giue seede to the sower, and bread vnto him that eateth,
[GNV | EN | OT | Isaiah | Chapter 55 | Verse 11] So shall my worde be, that goeth out of my mouth: it shall not returne vnto me voyde, but it shall accomplish that which I will, and it shall prosper in the thing whereto I sent it.
[GNV | EN | OT | Isaiah | Chapter 55 | Verse 12] Therefore ye shall go out with ioy, and be led forth with peace: the mountaines and the hilles shall breake foorth before you into ioye, and all the trees of the fielde shall clap their handes.
[GNV | EN | OT | Isaiah | Chapter 55 | Verse 13] For thornes there shall grow firre trees: for nettles shall growe the myrrhe tree, and it shalbe to the Lord for a name, and for an euerlasting signe that shall not be taken away.
