[GNV | EN | OT | Isaiah | Chapter 25 | Verse 1] O Lord, thou art my God: I will exalt thee, I will prayse thy Name: for thou hast done wonderfull things, according to the counsels of old, with a stable trueth.
[GNV | EN | OT | Isaiah | Chapter 25 | Verse 2] For thou hast made of a citie an heape, of a strong citie, a ruine: euen the palace of strangers of a citie, it shall neuer be built.
[GNV | EN | OT | Isaiah | Chapter 25 | Verse 3] Therefore shall the mightie people giue glory vnto thee: the citie of the strong nations shall feare thee.
[GNV | EN | OT | Isaiah | Chapter 25 | Verse 4] For thou hast bene a strength vnto the poore, euen a strength to the needie in his trouble, a refuge against the tempest, a shadow against the heate: for the blaste of the mightie is like a storme against the wall.
[GNV | EN | OT | Isaiah | Chapter 25 | Verse 5] Thou shalt bring downe the noyse of the strangers, as the heate in a drie place: he wil bring downe the song of the mightie, as the heate in the shadowe of a cloude.
[GNV | EN | OT | Isaiah | Chapter 25 | Verse 6] And in this mountaine shall the Lord of hostes make vnto all people a feast of fat thinges, euen a feast of fined wines, and of fat thinges full of marow, of wines fined and purified.
[GNV | EN | OT | Isaiah | Chapter 25 | Verse 7] And he will destroy in this mountaine the couering that couereth all people, and the vaile that is spread vpon all nations.
[GNV | EN | OT | Isaiah | Chapter 25 | Verse 8] He wil destroy death for euer: and the Lord God wil wipe away the teares from all faces, and the rebuke of his people will he take away out of all the earth: for the Lord hath spoken it.
[GNV | EN | OT | Isaiah | Chapter 25 | Verse 9] And in that day shall men say, Loe, this is our God: we haue waited for him, and he wil saue vs. This is the Lord, we haue waited for him: we will reioyce and be ioyfull in his saluation.
[GNV | EN | OT | Isaiah | Chapter 25 | Verse 10] For in this mountaine shall the hand of the Lord rest, and Moab shalbe threshed vnder him, euen as strawe is thresshed in Madmenah.
[GNV | EN | OT | Isaiah | Chapter 25 | Verse 11] And he shall stretche out his hande in the middes of them (as he that swimmeth, stretcheth them out to swimme) and with the strength of his handes shall he bring downe their pride.
[GNV | EN | OT | Isaiah | Chapter 25 | Verse 12] The defence also of the height of thy walles shall he bring downe and lay lowe, and cast them to the ground, euen vnto the dust.
