[GNV | EN | OT | Isaiah | Chapter 22 | Verse 1] The burden of the valley of vision. What aileth thee nowe that thou art wholy gone vp vnto the house toppes?
[GNV | EN | OT | Isaiah | Chapter 22 | Verse 2] Thou that art full of noise, a citie full of brute, a ioyous citie: thy slaine men shall not bee slaine with sworde, nor die in battell.
[GNV | EN | OT | Isaiah | Chapter 22 | Verse 3] All thy princes shall flee together from the bowe: they shalbe bound: all that shall be found in thee, shall be bound together, which haue fled from farre.
[GNV | EN | OT | Isaiah | Chapter 22 | Verse 4] Therefore said I, Turne away from me: I wil weepe bitterly: labour not to comfort mee for the destruction of the daughter of my people.
[GNV | EN | OT | Isaiah | Chapter 22 | Verse 5] For it is a day of trouble, and of ruine, and of perplexitie by the Lord God of hostes in the valley of vision, breaking downe the citie: and a crying vnto the mountaines.
[GNV | EN | OT | Isaiah | Chapter 22 | Verse 6] And Elam bare the quiuer in a mans charet with horsemen, and Kir vncouered the shield.
[GNV | EN | OT | Isaiah | Chapter 22 | Verse 7] And thy chiefe valleis were full of charets, and the horsemen set themselues in aray against the gate.
[GNV | EN | OT | Isaiah | Chapter 22 | Verse 8] And hee discouered the couering of Iudah: and thou didest looke in that day to the armour of the house of the forest.
[GNV | EN | OT | Isaiah | Chapter 22 | Verse 9] And ye haue seene the breaches of the citie of Dauid: for they were many, and ye gathered the waters of the lower poole.
[GNV | EN | OT | Isaiah | Chapter 22 | Verse 10] And yee nombred the houses of Ierusalem, and the houses haue yee broken downe to fortifie the wall,
[GNV | EN | OT | Isaiah | Chapter 22 | Verse 11] And haue also made a ditche betweene the two walles, for the waters of the olde poole, and haue not looked vnto the maker thereof, neither had respect vnto him that formed it of olde.
[GNV | EN | OT | Isaiah | Chapter 22 | Verse 12] And in that day did the Lord God of hosts call vnto weeping and mourning, and to baldnes and girding with sackecloth.
[GNV | EN | OT | Isaiah | Chapter 22 | Verse 13] And beholde, ioy and gladnes, slaying oxen and killing sheepe, eating flesh, and drinking wine, eating and drinking: for to morowe we shall die.
[GNV | EN | OT | Isaiah | Chapter 22 | Verse 14] And it was declared in ye eares of the Lord of hostes. Surely this iniquitie shall not be purged from you, til ye die, saith the Lord God of hostes.
[GNV | EN | OT | Isaiah | Chapter 22 | Verse 15] Thus sayeth the Lord God of hostes, Goe, get thee to that treasurer, to Shebna, the steward of the house, and say,
[GNV | EN | OT | Isaiah | Chapter 22 | Verse 16] What haste thou to doe here? and whome hast thou here? that thou shouldest here hewe thee out a sepulchre, as he that heweth out his sepulchre in an hie place, or that graueth an habitation for him selfe in a rocke?
[GNV | EN | OT | Isaiah | Chapter 22 | Verse 17] Beholde, the Lord wil carie thee away with a great captiuitie, and will surely couer thee.
[GNV | EN | OT | Isaiah | Chapter 22 | Verse 18] He wil surely rolle and turne thee like a bal in a large countrey: there shalt thou die, and there the charets of thy glory shalbe the shame of thy lordes house.
[GNV | EN | OT | Isaiah | Chapter 22 | Verse 19] And I wil driue thee from thy station, and out of thy dwelling will he destroy thee.
[GNV | EN | OT | Isaiah | Chapter 22 | Verse 20] And in that day will I call my seruant Eliakim the sonne of Hilkiah,
[GNV | EN | OT | Isaiah | Chapter 22 | Verse 21] And with thy garments will I clothe him, and with thy girdle will I strengthen him: thy power also will I commit into his hande, and hee shalbe a father of the inhabitats of Ierusalem, and of the house of Iudah.
[GNV | EN | OT | Isaiah | Chapter 22 | Verse 22] And the key of the house of Dauid will I lay vpon his shoulder: so hee shall open, and no man shall shut: and he shall shut, and no man shall open.
[GNV | EN | OT | Isaiah | Chapter 22 | Verse 23] And I will fasten him as a naile in a sure place, and hee shall be for the throne of glorie to his fathers house.
[GNV | EN | OT | Isaiah | Chapter 22 | Verse 24] And they shall hang vpon him all the glorie of his fathers house, euen of the nephewes and posteritie all small vessels, from the vessels of the cuppes, euen to all the instruments of musike.
[GNV | EN | OT | Isaiah | Chapter 22 | Verse 25] In that day, sayeth the Lord of hostes, shall the naile, that is fastned in the sure place, depart and shall be broken, and fall: and the burden, that was vpon it, shall bee cut off: for the Lord hath spoken it.
