[GNV | EN | OT | Isaiah | Chapter 32 | Verse 1] Behold, a King shall reigne in iustice, and the princes shall rule in iudgement.
[GNV | EN | OT | Isaiah | Chapter 32 | Verse 2] And that man shall bee as an hiding place from the winde, and as a refuge for the tempest: as riuers of water in a drie place, and as the shadowe of a great rocke in a weary land.
[GNV | EN | OT | Isaiah | Chapter 32 | Verse 3] The eyes of the seeing shall not be shut, and the eares of them that heare, shall hearken.
[GNV | EN | OT | Isaiah | Chapter 32 | Verse 4] And the heart of the foolish shall vnderstand knowledge, and the tongue of the stutters shalbe ready to speake distinctly.
[GNV | EN | OT | Isaiah | Chapter 32 | Verse 5] A nigard shall no more be called liberall, nor the churle riche.
[GNV | EN | OT | Isaiah | Chapter 32 | Verse 6] But the nigarde will speake of nigardnesse, and his heart will worke iniquitie, and do wickedly, and speake falsely against the Lord, to make emptie the hungrie soule, and to cause the drinke of the thirstie to faile.
[GNV | EN | OT | Isaiah | Chapter 32 | Verse 7] For the weapons of the churle are wicked: hee deuiseth wicked counsels, to vndoe the poore with lying words: and to speake against the poore in iudgement.
[GNV | EN | OT | Isaiah | Chapter 32 | Verse 8] But the liberall man will deuise of liberall things, and he will continue his liberalitie.
[GNV | EN | OT | Isaiah | Chapter 32 | Verse 9] Rise vp, ye women that are at ease: heare my voyce, ye carelesse daughters: hearken to my wordes.
[GNV | EN | OT | Isaiah | Chapter 32 | Verse 10] Yee women, that are carelesse, shall be in feare aboue a yeere in dayes: for the vintage shall faile, and the gatherings shall come no more.
[GNV | EN | OT | Isaiah | Chapter 32 | Verse 11] Yee women, that are at ease, be astonied: feare, O yee carelesse women: put off the clothes: make bare, and girde sackcloth vpon the loynes.
[GNV | EN | OT | Isaiah | Chapter 32 | Verse 12] Men shall lament for the teates, euen for the pleasant fieldes, and for the fruitefull vine.
[GNV | EN | OT | Isaiah | Chapter 32 | Verse 13] Vpon the lande of my people shall growe thornes and briers: yea, vpon all the houses of ioye in the citie of reioysing,
[GNV | EN | OT | Isaiah | Chapter 32 | Verse 14] Because the palace shalbe forsaken, and the noise of the citie shalbe left: the towre and fortresse shalbe dennes for euer, and the delite of wilde asses, and a pasture for flockes,
[GNV | EN | OT | Isaiah | Chapter 32 | Verse 15] Vntill the Spirit be powred vpon vs from aboue, and the wildernes become a fruitfull fielde, and the plenteous fielde be counted as a forest.
[GNV | EN | OT | Isaiah | Chapter 32 | Verse 16] And iudgement shall dwel in the desert, and iustice shall remaine in the fruitfull fielde.
[GNV | EN | OT | Isaiah | Chapter 32 | Verse 17] And the worke of iustice shall bee peace, euen the worke of iustice and quietnesse, and assurance for euer.
[GNV | EN | OT | Isaiah | Chapter 32 | Verse 18] And my people shall dwell in the tabernacle of peace, and in sure dwellings, and in safe resting places.
[GNV | EN | OT | Isaiah | Chapter 32 | Verse 19] When it haileth, it shall fall on the forest, and the citie shall be set in the lowe place.
[GNV | EN | OT | Isaiah | Chapter 32 | Verse 20] Blessed are ye that sowe vpon all waters, and driue thither the feete of the oxe and the asse.
