[GNV | EN | OT | Isaiah | Chapter 7 | Verse 1] And in the dayes of Ahaz, the sonne of Iotham, the sonne of Vzziah king of Iudah, Rezin the King of Aram came vp, and Pekah the sonne of Remaliah King of Israel, to Ierusalem to fight against it, but he could not ouercome it.
[GNV | EN | OT | Isaiah | Chapter 7 | Verse 2] And it was tolde the house of Dauid, saying, Aram is ioyned with Ephraim: therefore his heart was moued, and the heart of his people, as the trees of the forest are moued by the winde.
[GNV | EN | OT | Isaiah | Chapter 7 | Verse 3] Then sayde the Lord vnto Isaiah, Goe foorth nowe to meete Ahaz (thou and Sheariashub thy sonne) at the ende of the conduit of the vpper poole, in the path of the fullers fielde,
[GNV | EN | OT | Isaiah | Chapter 7 | Verse 4] And say vnto him, Take heede, and be still: feare not, neither be faint hearted for the two tailes of these smoking firebrands, for the furious wrath of Rezin and of Aram, and of Remaliahs sonne:
[GNV | EN | OT | Isaiah | Chapter 7 | Verse 5] Because Aram hath taken wicked counsell against thee, and Ephraim, and Remaliahs sonne, saying,
[GNV | EN | OT | Isaiah | Chapter 7 | Verse 6] Let vs goe vp against Iudah, and let vs waken them vp, and make a breach therein for vs, and set a King in the mids thereof, euen the sonne of Tabeal.
[GNV | EN | OT | Isaiah | Chapter 7 | Verse 7] Thus sayth the Lord God, It shall not stand, neither shall it be.
[GNV | EN | OT | Isaiah | Chapter 7 | Verse 8] For the head of Aram is Damascus, and the head of Damascus is Rezin: and within fiue and threescore yeere, Ephraim shalbe destroyed from being a people.
[GNV | EN | OT | Isaiah | Chapter 7 | Verse 9] And the head of Ephraim is Samaria, and the head of Samaria is Remaliahs sonne. If ye beleeue not, surely ye shall not be established.
[GNV | EN | OT | Isaiah | Chapter 7 | Verse 10] And the Lord spake againe vnto Ahaz, saying,
[GNV | EN | OT | Isaiah | Chapter 7 | Verse 11] Aske a signe for thee of the Lord thy God: aske it, either in the depth beneath or in the height aboue.
[GNV | EN | OT | Isaiah | Chapter 7 | Verse 12] But Ahaz sayd, I wil not aske, neither will I tempt the Lord.
[GNV | EN | OT | Isaiah | Chapter 7 | Verse 13] Then he sayd, Heare you nowe, O house of Dauid, Is it a small thing for you to grieue men, that ye will also grieue my God?
[GNV | EN | OT | Isaiah | Chapter 7 | Verse 14] Therefore the Lord himselfe will giue you a signe. Beholde, the virgine shall conceiue and beare a sonne, and she shall call his name Immanu-el.
[GNV | EN | OT | Isaiah | Chapter 7 | Verse 15] Butter and hony shall he eate, till he haue knowledge to refuse the euill, and to chuse the good.
[GNV | EN | OT | Isaiah | Chapter 7 | Verse 16] For afore the childe shall haue knowledge to eschew the euill, and to chuse the good, the land, that thou abhorrest, shalbe forsaken of both her Kings.
[GNV | EN | OT | Isaiah | Chapter 7 | Verse 17] The Lord shall bring vpon thee, and vpon thy people, and vpon thy fathers house (the dayes that haue not come from the day that Ephraim departed from Iudah) euen the King of Asshur.
[GNV | EN | OT | Isaiah | Chapter 7 | Verse 18] And in that day shall the Lord hisse for the flie that is at the vttermost part of the floods of Egypt, and for the bee which is in the lande of Asshur,
[GNV | EN | OT | Isaiah | Chapter 7 | Verse 19] And they shall come and shall light all in the desolate valleys, and in the holes of the rockes, and vpon all thorny places, and vpon all bushy places.
[GNV | EN | OT | Isaiah | Chapter 7 | Verse 20] In that day shall the Lord shaue with a rasor that is hired, euen by them beyond the Riuer, by the King of Asshur, the head and the heare of the feete, and it shall consume the beard.
[GNV | EN | OT | Isaiah | Chapter 7 | Verse 21] And in the same day shall a man nourish a yong kow, and two sheepe.
[GNV | EN | OT | Isaiah | Chapter 7 | Verse 22] And for the abundance of milke, that they shall giue, hee shall eate butter: for butter and hony shall euery one eate, which is left within the land.
[GNV | EN | OT | Isaiah | Chapter 7 | Verse 23] And at the same day euery place, wherein shalbe a thousand vines, shalbe at a thousand pieces of siluer: so it shalbe for the briers and for the thornes.
[GNV | EN | OT | Isaiah | Chapter 7 | Verse 24] With arrowes and with bowe shall one come thither: because all the land shall be briers and thornes.
[GNV | EN | OT | Isaiah | Chapter 7 | Verse 25] But on all the mountaines, which shalbe digged with the mattocke, there shall not come thither the feare of briers and thornes: but they shalbe for the sending out of bullocks, and for the treading of sheepe.
